plasmid,conc,260/280,260/230,mean,sd
HPCA-RFP,36.5,1.92,2.14,35.4333333333333,0.929157324317758
,35,1.98,2.04,1.96,0.034641016151378
,34.8,1.98,2.04,2.07333333333333,0.057735026918963
HPCA-CFP,70.2,1.97,2.06,70.3666666666667,0.665832811847937
,71.1,1.95,2.05,1.95,0.02
,69.8,1.93,2.03,2.04666666666667,0.01527525231652
HPCA-YFP,51,1.88,1.92,50.2333333333333,0.709459888459758
,49.6,1.91,1.94,1.90333333333333,0.020816659994661
,50.1,1.92,1.9,1.92,0.02
EYFP-Mem,59.4,1.96,1.83,59.4,0.800000000000001
,60.2,1.97,1.88,1.96,0.01
,58.6,1.95,1.9,1.87,0.03605551275464
CFP-YFP,28.2,1.99,2.23,26.7,1.41067359796659
,26.5,1.93,2.15,1.94666666666667,0.037859388972002
,25.4,1.92,2.16,2.18,0.043588989435407
NCALD-YFP,67.3,1.59,2.21,67.4666666666667,0.288675134594813
,67.3,1.61,2.2,1.60666666666667,0.01527525231652
,67.8,1.62,2.19,2.2,0.01
