plasmid,Raw conc,Raw 260/280,Raw 260/230,conc,260/280,260/230
NCALD-EYFP,598.7,1.89,2.19,603.2,,
,595.9,1.9,2.18,,,
,615.9,1.91,2.19,,,
PHD-CFP,125.3,1.94,1.9,125.9,,
,134.5,1.95,1.92,,,
,117.9,1.9,1.85,,,
EYFP-Mem,189.8,1.99,1.07,217,,
,215.8,1.96,1.12,,,
,245.2,1.97,1.18,,,
HPCA-CFP,1818.7,1.94,2.17,1807.3,,
,1931.5,1.94,2.18,,,
,1671.8,1.95,2.17,,,
HPCA-G2A-EYFP,474,1.88,1.99,473,,
,472,1.88,1.98,,,
,473,1.88,1.98,,,
GluR1-SEP,366,1.89,2.21,391.9,,
,416.3,1.93,2.27,,,
,393.4,1.92,2.22,,,
GluR2-SEP,356.6,1.95,2.24,353.5,,
,353.1,1.95,2.23,,,
,350.8,1.95,2.23,,,
