ID,power,ch,frame,time,mask,mask_region,mean,delta,rel
cell4_02_2_2022,3,ca,1,0.0,master,1,259.352,0.021708830789619077,1
cell4_02_2_2022,3,ca,2,2.0,master,1,255.092,0.004926698324229414,1
cell4_02_2_2022,3,ca,3,4.0,master,1,254.306,0.0018302767003335431,1
cell4_02_2_2022,3,ca,4,6.0,master,1,252.568,-0.0050165181881283065,1
cell4_02_2_2022,3,ca,5,8.0,master,1,247.889,-0.02344928762605294,1
cell4_02_2_2022,3,ca,6,10.0,master,1,248.342,-0.021664708751212184,1
cell4_02_2_2022,3,ca,7,12.0,master,1,246.357,-0.02948455216524951,1
cell4_02_2_2022,3,ca,8,14.0,master,1,245.818,-0.031607925263569904,1
cell4_02_2_2022,3,ca,9,16.0,master,1,333.6,0.3142064296840471,1
cell4_02_2_2022,3,ca,10,18.0,master,1,322.864,0.2719123042970927,1
cell4_02_2_2022,3,ca,11,20.0,master,1,315.39,0.24246872259607782,1
cell4_02_2_2022,3,ca,12,22.0,master,1,309.972,0.22112468651685668,1
cell4_02_2_2022,3,ca,13,24.0,master,1,305.372,0.20300313502840772,1
cell4_02_2_2022,3,ca,14,26.0,master,1,492.849,0.9415627238110098,1
cell4_02_2_2022,3,ca,15,28.0,master,1,420.597,0.6569283024754828,1
cell4_02_2_2022,3,ca,16,30.0,master,1,396.215,0.560876200651273,1
cell4_02_2_2022,3,ca,17,32.0,master,1,378.427,0.49080094893898346,1
cell4_02_2_2022,3,ca,18,34.0,master,1,366.021,0.4419279124681792,1
cell4_02_2_2022,3,ca,19,36.0,master,1,356.268,0.4035062838449521,1
cell4_02_2_2022,3,ca,20,38.0,master,1,506.598,0.9957264654228982,1
cell4_02_2_2022,3,ca,21,40.0,master,1,462.865,0.8234417238480408,1
cell4_02_2_2022,3,ca,22,42.0,master,1,434.004,0.7097447461288824,1
cell4_02_2_2022,3,ca,23,44.0,master,1,408.93,0.6109665326459752,1
cell4_02_2_2022,3,ca,24,46.0,master,1,394.875,0.5555973139133336,1
cell4_02_2_2022,3,ca,25,48.0,master,1,378.624,0.4915770240788149,1
cell4_02_2_2022,3,ca,26,50.0,master,1,366.761,0.4448431185771906,1
cell4_02_2_2022,3,ca,27,52.0,master,1,357.573,0.4086472892128708,1
cell4_02_2_2022,3,ca,28,54.0,master,1,347.863,0.3703950577013838,1
cell4_02_2_2022,3,ca,29,56.0,master,1,342.32,0.3485585881578026,1
cell4_02_2_2022,3,ca,30,58.0,master,1,336.646,0.32620604834357225,1
cell4_02_2_2022,3,fp,1,0.0,master,1,528.905,0.000490309390521904,1
cell4_02_2_2022,3,fp,2,2.0,master,1,530.01,0.0025805558277394477,1
cell4_02_2_2022,3,fp,3,4.0,master,1,528.86,0.00040518623244525026,1
cell4_02_2_2022,3,fp,4,6.0,master,1,528.253,-0.000743030588723046,1
cell4_02_2_2022,3,fp,5,8.0,master,1,527.201,-0.0027330208619835558,1
cell4_02_2_2022,3,fp,6,10.0,master,1,525.747,-0.005483444680729614,1
cell4_02_2_2022,3,fp,7,12.0,master,1,523.302,-0.010108469602898552,1
cell4_02_2_2022,3,fp,8,14.0,master,1,522.63,-0.011379642096844451,1
cell4_02_2_2022,3,fp,9,16.0,master,1,521.528,-0.013464213656856799,1
cell4_02_2_2022,3,fp,10,18.0,master,1,520.394,-0.015609317240390452,1
cell4_02_2_2022,3,fp,11,20.0,master,1,519.969,-0.016413258177781716,1
cell4_02_2_2022,3,fp,12,22.0,master,1,520.92,-0.014614322103760305,1
cell4_02_2_2022,3,fp,13,24.0,master,1,518.372,-0.01943418447663833,1
cell4_02_2_2022,3,fp,14,26.0,master,1,517.248,-0.021560371802821398,1
cell4_02_2_2022,3,fp,15,28.0,master,1,515.167,-0.02549684495743649,1
cell4_02_2_2022,3,fp,16,30.0,master,1,516.297,-0.023359307876843025,1
cell4_02_2_2022,3,fp,17,32.0,master,1,511.906,-0.031665436479396986,1
cell4_02_2_2022,3,fp,18,34.0,master,1,514.493,-0.026771800702852375,1
cell4_02_2_2022,3,fp,19,36.0,master,1,511.374,-0.032671781370437414,1
cell4_02_2_2022,3,fp,20,38.0,master,1,511.536,-0.032365338001361224,1
cell4_02_2_2022,3,fp,21,40.0,master,1,510.174,-0.03494173225248367,1
cell4_02_2_2022,3,fp,22,42.0,master,1,507.528,-0.03994697394739538,1
cell4_02_2_2022,3,fp,23,44.0,master,1,507.72,-0.03958378180626798,1
cell4_02_2_2022,3,fp,24,46.0,master,1,506.844,-0.04124084595016174,1
cell4_02_2_2022,3,fp,25,48.0,master,1,507.106,-0.04074524000758166,1
cell4_02_2_2022,3,fp,26,50.0,master,1,505.03,-0.04467225503352157,1
cell4_02_2_2022,3,fp,27,52.0,master,1,507.48,-0.04003777198267723,1
cell4_02_2_2022,3,fp,28,54.0,master,1,504.458,-0.04575426495396347,1
cell4_02_2_2022,3,fp,29,56.0,master,1,502.822,-0.04884896465648645,1
cell4_02_2_2022,3,fp,30,58.0,master,1,502.606,-0.049257555815254775,1
cell4_02_2_2022,3,fp,1,0.0,down,1,93.741,-0.0013870068775087788,0.8534680463646773
cell4_02_2_2022,3,fp,2,2.0,down,1,93.982,0.001180340722181005,0.85387449829162
cell4_02_2_2022,3,fp,3,4.0,down,1,93.771,-0.0010674200393731086,0.8538108797353482
cell4_02_2_2022,3,fp,4,6.0,down,1,93.722,-0.001589411874994754,0.8543424172383542
cell4_02_2_2022,3,fp,5,8.0,down,1,94.14,0.002863498069695485,0.8598691823918226
cell4_02_2_2022,3,fp,6,10.0,down,1,94.308,0.004653184363255239,0.8637785830745074
cell4_02_2_2022,3,fp,7,12.0,down,1,95.787,0.020408815483343182,0.8814251025462905
cell4_02_2_2022,3,fp,8,14.0,down,1,95.809,0.02064317916464257,0.88276507523712
cell4_02_2_2022,3,fp,9,16.0,down,1,95.71,0.019588542598794858,0.883713919242243
cell4_02_2_2022,3,fp,10,18.0,down,1,98.192,0.04602902700721831,0.9086066094432473
cell4_02_2_2022,3,fp,11,20.0,down,1,98.68,0.05122763957422516,0.9138715639055053
cell4_02_2_2022,3,fp,12,22.0,down,1,98.224,0.04636991963456313,0.9079824809504985
cell4_02_2_2022,3,fp,13,24.0,down,1,96.332,0.026214643042807503,0.8948755025138532
cell4_02_2_2022,3,fp,14,26.0,down,1,95.965,0.022305030722948056,0.8934001780340237
cell4_02_2_2022,3,fp,15,28.0,down,1,96.413,0.027077527505773816,0.9011982146276493
cell4_02_2_2022,3,fp,16,30.0,down,1,96.477,0.027759312760463294,0.8998245906277195
cell4_02_2_2022,3,fp,17,32.0,down,1,96.927,0.032553115332498196,0.9117717248628724
cell4_02_2_2022,3,fp,18,34.0,down,1,96.697,0.03010294957345811,0.9050342429440656
cell4_02_2_2022,3,fp,19,36.0,down,1,96.836,0.03158370192348661,0.9118666646003349
cell4_02_2_2022,3,fp,20,38.0,down,1,96.675,0.02986858589215857,0.9100635138886546
cell4_02_2_2022,3,fp,21,40.0,down,1,96.681,0.029932503259785703,0.9125510626966498
cell4_02_2_2022,3,fp,22,42.0,down,1,96.912,0.03239332191343036,0.9194930987613644
cell4_02_2_2022,3,fp,23,44.0,down,1,96.955,0.03285139638142472,0.9195528270335522
cell4_02_2_2022,3,fp,24,46.0,down,1,96.994,0.03326685927100109,0.9215152362993737
cell4_02_2_2022,3,fp,25,48.0,down,1,96.78,0.030987139825633413,0.919011239956052
cell4_02_2_2022,3,fp,26,50.0,down,1,96.784,0.031029751404051554,0.9228262851696937
cell4_02_2_2022,3,fp,27,52.0,down,1,96.591,0.02897374274537869,0.9165391308144718
cell4_02_2_2022,3,fp,28,54.0,down,1,96.985,0.03317098321956039,0.9257948173294829
cell4_02_2_2022,3,fp,29,56.0,down,1,97.379,0.0373682236937421,0.9325785439738917
