ID,stim_num,stim_frame,mask,area,rel_area
cell4_02_2_2022,1,7,down,61581,0.8772980789093162
cell4_02_2_2022,2,12,down,60918,0.8450733319562074
cell4_02_2_2022,3,18,down,60662,0.8814294567238173
cell4_02_2_2022,1,7,up,524,0.003924808923776079
cell4_02_2_2022,2,12,up,300,0.005370791158851477
cell4_02_2_2022,3,18,up,0,0.0
cell4_02_2_2022,0,0,master,4841,1.0
cell7_02_2_2022,1,6,down,63712,0.8479721900347624
cell7_02_2_2022,2,12,down,62568,0.7828505214368482
cell7_02_2_2022,3,17,down,61841,0.699188876013905
cell7_02_2_2022,1,6,up,428,0.07415990730011587
cell7_02_2_2022,2,12,up,1315,0.06581691772885284
cell7_02_2_2022,3,17,up,1773,0.0
cell7_02_2_2022,0,0,master,4315,1.0
cell5_02_2_2022,1,6,down,62942,0.7863789348643833
cell5_02_2_2022,2,12,down,62481,0.6283904177390616
cell5_02_2_2022,3,17,down,62374,0.5590972084735696
cell5_02_2_2022,1,6,up,656,0.020589982181746187
cell5_02_2_2022,2,12,up,737,0.0981983765590972
cell5_02_2_2022,3,17,up,799,0.09661453177588597
cell5_02_2_2022,0,0,master,5051,1.0
cell2_02_2_2022,1,7,down,62785,0.8459016393442623
cell2_02_2_2022,2,12,down,62288,0.8723132969034608
cell2_02_2_2022,3,17,down,61896,0.8431693989071039
cell2_02_2_2022,1,7,up,714,0.06265938069216757
cell2_02_2_2022,2,12,up,1466,0.1284153005464481
cell2_02_2_2022,3,17,up,1630,0.12477231329690346
cell2_02_2_2022,0,0,master,5490,1.0
cell6_02_2_2022,1,6,down,63289,0.6996119607395572
cell6_02_2_2022,2,12,down,63379,0.6194932663775393
cell6_02_2_2022,3,17,down,63116,0.5393745720155215
cell6_02_2_2022,1,6,up,312,0.011412919424788861
cell6_02_2_2022,2,12,up,758,0.015749828806208628
cell6_02_2_2022,3,17,up,1002,0.02214106368409039
cell6_02_2_2022,0,0,master,4381,1.0
