ID,stim_num,stim_frame,mask,area,rel_area
cell4_02_2_2022,1,7,down,61642,0.7022888836809624
cell4_02_2_2022,2,12,down,61039,0.6569018045465198
cell4_02_2_2022,3,18,down,60746,0.6354191078821967
cell4_02_2_2022,1,7,up,524,0.001718615733145848
cell4_02_2_2022,2,12,up,284,0.0037497070541363956
cell4_02_2_2022,3,18,up,0,0.0
cell4_02_2_2022,0,0,master,12801,1.0
cell7_02_2_2022,1,6,down,63712,0.8424604204515962
cell7_02_2_2022,2,12,down,62568,0.7432303832511463
cell7_02_2_2022,3,17,down,61841,0.6810277705683883
cell7_02_2_2022,1,6,up,428,0.037027424517691844
cell7_02_2_2022,2,12,up,1315,0.03503763301323644
cell7_02_2_2022,3,17,up,1773,0.0
cell7_02_2_2022,0,0,master,11559,1.0
cell5_02_2_2022,1,6,down,62942,0.8024889296075737
cell5_02_2_2022,2,12,down,62481,0.7672927164452589
cell5_02_2_2022,3,17,down,62373,0.7586654451061231
cell5_02_2_2022,1,6,up,656,0.008321881203237135
cell5_02_2_2022,2,12,up,737,0.05626813253931898
cell5_02_2_2022,3,17,up,799,0.05741334554893877
cell5_02_2_2022,0,0,master,13098,1.0
cell2_02_2_2022,1,7,down,62785,0.7937919083854441
cell2_02_2_2022,2,12,down,62288,0.7573269042416937
cell2_02_2_2022,3,17,down,61896,0.7257590597453477
cell2_02_2_2022,1,7,up,714,0.027574775860769986
cell2_02_2_2022,2,12,up,1466,0.057183756498154145
cell2_02_2_2022,3,17,up,1630,0.05982068861598734
cell2_02_2_2022,0,0,master,13273,1.0
cell6_02_2_2022,1,6,down,63289,0.8035856221849333
cell6_02_2_2022,2,12,down,63379,0.809502781948247
cell6_02_2_2022,3,17,down,63116,0.786275721981807
cell6_02_2_2022,1,6,up,312,0.004415790868144484
cell6_02_2_2022,2,12,up,758,0.030380641172834056
cell6_02_2_2022,3,17,up,1002,0.04618917248079131
cell6_02_2_2022,0,0,master,11323,1.0
cell1_02_2_2022,1,6,down,61840,0.7205715581764572
cell1_02_2_2022,2,12,down,61312,0.6807288122779164
cell1_02_2_2022,3,17,down,60884,0.6482951538519695
cell1_02_2_2022,1,6,up,304,0.022983291751719967
cell1_02_2_2022,2,12,up,0,0.0
cell1_02_2_2022,3,17,up,0,0.0
cell1_02_2_2022,0,0,master,13227,1.0
