ID,power,ch,frame,time,mask,mask_region,mean,delta,rel
cell4_02_2_2022,3,ca,1,0.0,master,1,150.417,0.03654511149180852,1
cell4_02_2_2022,3,ca,2,2.0,master,1,145.568,0.003129957316258098,1
cell4_02_2_2022,3,ca,3,4.0,master,1,144.331,-0.005394387025906625,1
cell4_02_2_2022,3,ca,4,6.0,master,1,144.832,-0.0019419242001794733,1
cell4_02_2_2022,3,ca,5,8.0,master,1,140.421,-0.03233875758198052,1
cell4_02_2_2022,3,ca,6,10.0,master,1,142.568,-0.017543472777916267,1
cell4_02_2_2022,3,ca,7,12.0,master,1,139.235,-0.040511653612543976,1
cell4_02_2_2022,3,ca,8,14.0,master,1,139.281,-0.04019466101776669,1
cell4_02_2_2022,3,ca,9,16.0,master,1,162.069,0.11684071397758167,1
cell4_02_2_2022,3,ca,10,18.0,master,1,156.946,0.08153738652009665,1
cell4_02_2_2022,3,ca,11,20.0,master,1,153.02,0.05448275767018721,1
cell4_02_2_2022,3,ca,12,22.0,master,1,151.838,0.0463374262130824,1
cell4_02_2_2022,3,ca,13,24.0,master,1,147.634,0.017367059507779333,1
cell4_02_2_2022,3,ca,14,26.0,master,1,185.308,0.27698399463042106,1
cell4_02_2_2022,3,ca,15,28.0,master,1,179.132,0.23442429320988084,1
cell4_02_2_2022,3,ca,16,30.0,master,1,173.752,0.19734994190766153,1
cell4_02_2_2022,3,ca,17,32.0,master,1,167.892,0.15696784179037415,1
cell4_02_2_2022,3,ca,18,34.0,master,1,162.489,0.11973499419076619,1
cell4_02_2_2022,3,ca,19,36.0,master,1,161.346,0.11185841732488576,1
cell4_02_2_2022,3,ca,20,38.0,master,1,195.251,0.3455026331058797,1
cell4_02_2_2022,3,ca,21,40.0,master,1,185.108,0.27560576595747616,1
cell4_02_2_2022,3,ca,22,42.0,master,1,178.177,0.2278432512965686,1
cell4_02_2_2022,3,ca,23,44.0,master,1,170.804,0.17703485126845278,1
cell4_02_2_2022,3,ca,24,46.0,master,1,166.522,0.14752697538070117,1
cell4_02_2_2022,3,ca,25,48.0,master,1,160.815,0.10819922019821684,1
cell4_02_2_2022,3,ca,26,50.0,master,1,157.078,0.08244701744424035,1
cell4_02_2_2022,3,ca,27,52.0,master,1,154.843,0.06704531202408036,1
cell4_02_2_2022,3,ca,28,54.0,master,1,151.842,0.046364990786541424,1
cell4_02_2_2022,3,ca,29,56.0,master,1,150.338,0.036000711165995215,1
cell4_02_2_2022,3,ca,30,58.0,master,1,147.774,0.018331819578840905,1
cell4_02_2_2022,3,fp,1,0.0,master,1,228.56,-0.006039605338231953,1
cell4_02_2_2022,3,fp,2,2.0,master,1,228.876,-0.004665386381664219,1
