,id,roi,int,index,time
0,24_02_16_07,1,353.3025869380831,0,0.0
1,24_02_16_07,1,351.1603053435114,1,0.25210084033613445
2,24_02_16_07,1,350.4807039864292,2,0.5042016806722689
3,24_02_16_07,1,350.78191263782867,3,0.7563025210084033
4,24_02_16_07,1,350.8953562340967,4,1.0084033613445378
5,24_02_16_07,1,350.4212256149279,5,1.2605042016806722
6,24_02_16_07,1,350.358566581849,6,1.5126050420168067
7,24_02_16_07,1,351.26569126378286,7,1.7647058823529411
8,24_02_16_07,1,351.1525657336726,8,2.0168067226890756
9,24_02_16_07,1,348.8498727735369,9,2.26890756302521
10,24_02_16_07,1,351.3391645462256,10,2.5210084033613445
11,24_02_16_07,1,354.0560856658185,11,2.773109243697479
12,24_02_16_07,1,354.154262086514,12,3.0252100840336134
13,24_02_16_07,1,357.55725190839695,13,3.277310924369748
14,24_02_16_07,1,354.0086938083121,14,3.5294117647058822
15,24_02_16_07,1,357.56530958439356,15,3.7815126050420167
16,24_02_16_07,1,358.6923240033927,16,4.033613445378151
17,24_02_16_07,1,343.69921543681085,17,4.285714285714286
18,24_02_16_07,1,323.4209075487701,18,4.53781512605042
19,24_02_16_07,1,315.9692536047498,19,4.7899159663865545
20,24_02_16_07,1,315.51961407972857,20,5.042016806722689
21,24_02_16_07,1,317.8874045801527,21,5.294117647058823
22,24_02_16_07,1,318.74321458863443,22,5.546218487394958
23,24_02_16_07,1,320.18034351145036,23,5.798319327731092
24,24_02_16_07,1,321.4480491942324,24,6.050420168067227
25,24_02_16_07,1,322.34128498727733,25,6.302521008403361
26,24_02_16_07,1,324.6387828668363,26,6.554621848739496
27,24_02_16_07,1,328.98187022900765,27,6.80672268907563
28,24_02_16_07,1,333.6005089058524,28,7.0588235294117645
29,24_02_16_07,1,338.69751908396944,29,7.310924369747899
30,24_02_16_07,1,342.47593299406276,30,7.563025210084033
31,24_02_16_07,1,347.26007209499573,31,7.815126050420168
32,24_02_16_07,1,350.8899491094148,32,8.067226890756302
33,24_02_16_07,1,352.4513358778626,33,8.319327731092436
34,24_02_16_07,1,354.2310220525869,34,8.571428571428571
35,24_02_16_07,1,357.82357930449535,35,8.823529411764707
36,24_02_16_07,1,359.47190415606445,36,9.07563025210084
37,24_02_16_07,1,359.7773536895674,37,9.327731092436974
38,24_02_16_07,1,361.50063613231555,38,9.579831932773109
39,24_02_16_07,1,360.7036683630195,39,9.831932773109244
40,24_02_16_07,1,361.9162425784563,40,10.084033613445378
41,24_02_16_07,1,362.9415818490246,41,10.336134453781511
42,24_02_16_07,1,363.01505513146736,42,10.588235294117647
43,24_02_16_07,1,363.46988973706533,43,10.840336134453782
44,24_02_16_07,1,365.1452502120441,44,11.092436974789916
45,24_02_16_07,1,364.75063613231555,45,11.34453781512605
46,24_02_16_07,1,365.0382739609839,46,11.596638655462185
47,24_02_16_07,1,364.5932994062765,47,11.84873949579832
48,24_02_16_07,1,365.59266327396097,48,12.100840336134453
49,24_02_16_07,1,363.8875106022053,49,12.352941176470587
50,24_02_16_07,1,364.80163273960983,50,12.605042016806722
51,24_02_16_07,1,364.67154368108567,51,12.857142857142858
52,24_02_16_07,1,365.2835029686175,52,13.109243697478991
53,24_02_16_07,1,369.70578880407123,53,13.361344537815125
54,24_02_16_07,1,371.0086938083121,54,13.61344537815126
55,24_02_16_07,1,373.89821882951657,55,13.865546218487395
56,24_02_16_07,1,374.0381679389313,56,14.117647058823529
57,24_02_16_07,1,374.12436386768445,57,14.369747899159663
58,24_02_16_07,1,377.62224342663274,58,14.621848739495798
59,24_02_16_07,1,378.0557675996607,59,14.873949579831933
60,24_02_16_07,1,378.4220737913486,60,15.126050420168067
61,24_02_16_07,1,377.2773536895674,61,15.3781512605042
62,24_02_16_07,1,376.40383799830363,62,15.630252100840336
63,24_02_16_07,1,379.04845207803226,63,15.882352941176471
64,24_02_16_07,1,378.9600296861747,64,16.134453781512605
65,24_02_16_07,1,379.2647370653096,65,16.386554621848738
66,24_02_16_07,1,379.83068278201864,66,16.63865546218487
67,24_02_16_07,1,378.75455894826126,67,16.89075630252101
68,24_02_16_07,1,379.6398430873622,68,17.142857142857142
69,24_02_16_07,1,379.6484308736217,69,17.394957983193276
70,24_02_16_07,1,379.16369804919424,70,17.647058823529413
71,24_02_16_07,1,379.56774809160305,71,17.899159663865547
72,24_02_16_07,1,376.8537955894826,72,18.15126050420168
73,24_02_16_07,1,376.1889312977099,73,18.403361344537814
74,24_02_16_07,1,373.9391433418151,74,18.655462184873947
75,24_02_16_07,1,373.07029262086513,75,18.907563025210084
76,24_02_16_07,1,370.95992366412213,76,19.159663865546218
77,24_02_16_07,1,349.9935326547922,77,19.41176470588235
78,24_02_16_07,1,326.2963316369805,78,19.66386554621849
79,24_02_16_07,1,324.12849872773535,79,19.915966386554622
80,24_02_16_07,1,322.14026717557255,80,20.168067226890756
81,24_02_16_07,1,323.0857718405428,81,20.42016806722689
82,24_02_16_07,1,326.1520356234097,82,20.672268907563023
83,24_02_16_07,1,329.2913486005089,83,20.92436974789916
84,24_02_16_07,1,331.4812340966921,84,21.176470588235293
85,24_02_16_07,1,331.39821882951657,85,21.428571428571427
86,24_02_16_07,1,335.4021416454623,86,21.680672268907564
87,24_02_16_07,1,339.71395250212043,87,21.932773109243698
88,24_02_16_07,1,338.6580788804071,88,22.18487394957983
89,24_02_16_07,1,337.77003816793894,89,22.436974789915965
90,24_02_16_07,1,336.1816157760814,90,22.6890756302521
91,24_02_16_07,1,336.92991942324005,91,22.941176470588236
92,24_02_16_07,1,339.80746395250213,92,23.19327731092437
93,24_02_16_07,1,339.550042408821,93,23.445378151260503
94,24_02_16_07,1,342.1348600508906,94,23.69747899159664
95,24_02_16_07,1,343.7373833757421,95,23.949579831932773
96,24_02_16_07,1,345.29081849024595,96,24.201680672268907
97,24_02_16_07,1,342.93628074639525,97,24.45378151260504
98,24_02_16_07,1,343.52586938083124,98,24.705882352941174
99,24_02_16_07,1,346.2257209499576,99,24.95798319327731
100,24_02_16_07,1,343.1749363867684,100,25.210084033613445
101,24_02_16_07,1,344.8752120441052,101,25.462184873949578
102,24_02_16_07,1,344.83619592875317,102,25.714285714285715
103,24_02_16_07,1,345.61333757421545,103,25.96638655462185
104,24_02_16_07,1,345.60284139100935,104,26.218487394957982
105,24_02_16_07,1,344.12849872773535,105,26.470588235294116
106,24_02_16_07,1,346.0081636980492,106,26.72268907563025
107,24_02_16_07,1,347.84213316369807,107,26.974789915966387
108,24_02_16_07,1,345.04505937234944,108,27.22689075630252
109,24_02_16_07,1,346.0119804919423,109,27.478991596638654
110,24_02_16_07,1,346.43055555555554,110,27.73109243697479
111,24_02_16_07,1,346.62203138252755,111,27.983193277310924
112,24_02_16_07,1,346.4208015267176,112,28.235294117647058
113,24_02_16_07,1,347.19688295165395,113,28.48739495798319
114,24_02_16_07,1,346.29018235793046,114,28.739495798319325
115,24_02_16_07,1,345.7806403731976,115,28.991596638655462
116,24_02_16_07,1,346.5755937234945,116,29.243697478991596
117,24_02_16_07,1,345.2450169635284,117,29.49579831932773
118,24_02_16_07,1,346.58842239185753,118,29.747899159663866
119,24_02_16_07,1,346.67620865139946,120,30.0
120,24_02_16_07,2,351.05552226882367,0,0.0
121,24_02_16_07,2,349.56061513880564,1,0.25210084033613445
122,24_02_16_07,2,349.3485120830837,2,0.5042016806722689
123,24_02_16_07,2,349.1991212302776,3,0.7563025210084033
124,24_02_16_07,2,349.48052726183346,4,1.0084033613445378
125,24_02_16_07,2,348.86998202516475,5,1.2605042016806722
126,24_02_16_07,2,349.41342121030556,6,1.5126050420168067
127,24_02_16_07,2,349.5260635110845,7,1.7647058823529411
128,24_02_16_07,2,349.50629119233076,8,2.0168067226890756
129,24_02_16_07,2,346.35110844817257,9,2.26890756302521
130,24_02_16_07,2,347.6391052526463,10,2.5210084033613445
131,24_02_16_07,2,348.58817655282604,11,2.773109243697479
132,24_02_16_07,2,347.83003794687437,12,3.0252100840336134
133,24_02_16_07,2,350.3521070501298,13,3.277310924369748
134,24_02_16_07,2,345.9932095066906,14,3.5294117647058822
135,24_02_16_07,2,348.92510485320554,15,3.7815126050420167
136,24_02_16_07,2,350.769322947873,16,4.033613445378151
137,24_02_16_07,2,337.70701018574,17,4.285714285714286
138,24_02_16_07,2,323.3439185140803,18,4.53781512605042
139,24_02_16_07,2,319.5398442180947,19,4.7899159663865545
140,24_02_16_07,2,319.25144797283804,20,5.042016806722689
141,24_02_16_07,2,319.98062712202915,21,5.294117647058823
142,24_02_16_07,2,318.52985819852205,22,5.546218487394958
143,24_02_16_07,2,319.4146195326543,23,5.798319327731092
144,24_02_16_07,2,321.2844018374276,24,6.050420168067227
145,24_02_16_07,2,321.76652686239265,25,6.302521008403361
146,24_02_16_07,2,324.53525064909127,26,6.554621848739496
147,24_02_16_07,2,329.8412222887957,27,6.80672268907563
148,24_02_16_07,2,333.84381865388457,28,7.0588235294117645
149,24_02_16_07,2,338.14160175753943,29,7.310924369747899
150,24_02_16_07,2,339.97523467145993,30,7.563025210084033
151,24_02_16_07,2,342.43479129219094,31,7.815126050420168
152,24_02_16_07,2,344.991611743559,32,8.067226890756302
153,24_02_16_07,2,344.31336129418816,33,8.319327731092436
154,24_02_16_07,2,345.1525863790693,34,8.571428571428571
155,24_02_16_07,2,348.2129019372878,35,8.823529411764707
156,24_02_16_07,2,348.4661473936489,36,9.07563025210084
157,24_02_16_07,2,348.977032154983,37,9.327731092436974
158,24_02_16_07,2,350.066706610745,38,9.579831932773109
159,24_02_16_07,2,348.06391052526465,39,9.831932773109244
160,24_02_16_07,2,349.28060714999003,40,10.084033613445378
161,24_02_16_07,2,349.7841022568404,41,10.336134453781511
162,24_02_16_07,2,350.1110445376473,42,10.588235294117647
