TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area,Sample,Group
4.7178,-32.02,4.72,-52.25,4.7246,-30.19,0.7008,20.23,55.98,220512_s13,-70ctrl
5.4188,-38.02,5.4208,-47.56,5.4278,-34.06,0.3888,9.54,35.07,220512_s13,-70ctrl
5.808,-36.65,5.8096,-55.5,5.8164,-38.38,0,18.85,86.07,220512_s13,-70ctrl
31.6992,-29.5,31.7018,-77.69,31.7094,-38.94,4.3342,48.19,268.75,220512_s13,-70ctrl
36.0324,-29.08,36.036,-47.5,36.0444,-32.06,1.5572,18.42,107.47,220512_s13,-70ctrl
37.5908,-28.63,37.5932,-55.19,37.602,-32.44,0,26.56,166.01,220512_s13,-70ctrl
41.6406,-32.06,41.6464,-45.88,41.6498,-32.13,1.4702,13.81,55.28,220512_s13,-70ctrl
43.115,-31.5,43.1166,-47.5,43.1274,-32.75,2.2134,16,90.79,220512_s13,-70ctrl
45.326,-33.06,45.33,-55.5,45.339,-37.94,0.4828,22.44,169.77,220512_s13,-70ctrl
45.8096,-34.42,45.8128,-82.75,45.8236,-50.31,0.2696,48.33,428.15,220512_s13,-70ctrl
46.0768,-33.83,46.0824,-85,46.091,-47.5,1.8018,51.17,435.41,220512_s13,-70ctrl
47.88,-31.17,47.8842,-54.38,47.8982,-34.38,0.5716,23.21,219.85,220512_s13,-70ctrl
48.4526,-37.9,48.4558,-90.25,48.4658,-50.94,0.9418,52.35,414.28,220512_s13,-70ctrl
49.3938,-36.48,49.3976,-53.63,49.4056,-37.06,0.059,17.15,99.45,220512_s13,-70ctrl
49.4522,-36.1,49.4566,-49.94,49.464,-36.31,0.4336,13.83,91.98,220512_s13,-70ctrl
49.8848,-32.21,49.8902,-69.06,49.9004,-47,0.075,36.85,402.92,220512_s13,-70ctrl
49.9624,-35,49.9652,-60.69,49.9732,-37.44,0.06,25.69,147.8,220512_s13,-70ctrl
50.0204,-32,50.0252,-52.44,50.0364,-36.94,0.054,20.44,195.66,220512_s13,-70ctrl
50.075,-37.19,50.0792,-69.88,50.0896,-48.44,0.0536,32.69,318.25,220512_s13,-70ctrl
50.1288,-33.48,50.1328,-60.44,50.1426,-41.13,0.048,26.96,225.5,220512_s13,-70ctrl
50.1768,-34.06,50.1808,-57.13,50.192,-43.19,0.0516,23.06,253.8,220512_s13,-70ctrl
