TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area,Sample,Group
0.5518,-47.08,0.5558,-61.25,0.5636,-48.13,0,14.17,83.22,180313_s14,-70ctrl
3.76,-53.96,0.5558,-61.25,3.7762,-50.63,3.3068,7.29,41.55,180313_s14,-70ctrl
3.8606,-49.06,3.8626,-58.75,3.866,-45.63,0.8,9.69,20.25,180313_s14,-70ctrl
4.6588,-47.4,4.6626,-57.5,4.668,-45.63,1.4696,10.1,33.23,180313_s14,-70ctrl
6.1308,-46.41,6.1322,-61.41,6.1362,-45.78,0.4224,15,39.56,180313_s14,-70ctrl
6.5516,-48.02,6.5546,-55.31,6.5616,-47.03,1.476,7.29,42.56,180313_s14,-70ctrl
8.0292,-46.82,8.0306,-61.56,8.0388,-45.78,4.379,14.74,67.85,180313_s14,-70ctrl
12.406,-46.3,12.4096,-65.63,12.4192,-47.81,0.386,19.32,131.3,180313_s14,-70ctrl
12.7902,-47.66,12.7956,-55.16,12.8042,-44.53,2.0974,7.5,34.53,180313_s14,-70ctrl
14.89,-46.82,14.893,-66.09,14.9024,-48.75,5.7456,19.27,129.06,180313_s14,-70ctrl
20.6352,-46.41,20.6386,-94.69,20.648,-53.28,8.0472,48.28,326.56,180313_s14,-70ctrl
28.6816,-46.82,28.6858,-59.53,28.6926,-45.31,11.828,12.71,44.4,180313_s14,-70ctrl
40.5116,-44.9,40.5138,-55.94,40.5216,-44.84,0.3556,11.04,56.38,180313_s14,-70ctrl
40.8662,-45.47,40.8694,-56.88,40.8786,-46.09,2.9356,11.41,67.41,180313_s14,-70ctrl
43.8022,-46.77,43.805,-58.75,43.8118,-44.53,3.0902,11.98,30.52,180313_s14,-70ctrl
46.8938,-45.47,46.8952,-54.38,46.9012,-43.28,1.416,8.91,17.25,180313_s14,-70ctrl
48.309,-44.64,48.3112,-83.75,48.3226,-46.25,0.9934,39.11,238.03,180313_s14,-70ctrl
49.3022,-44.43,49.3046,-57.66,49.31,-44.38,0.79,13.23,43.3,180313_s14,-70ctrl
50.0894,-48.96,50.0946,-52.66,50.1018,-44.84,1.3682,3.7,5.78,180313_s14,-70ctrl
51.4562,-48.96,51.4628,-79.53,51.478,-54.53,4.5222,30.57,331.04,180313_s14,-70ctrl
55.983,-43.8,55.985,-102.66,55.9926,-49.38,0.3338,58.85,283.18,180313_s14,-70ctrl
56.3168,-44.74,56.3188,-83.13,56.3302,-47.03,2.6428,38.39,193.57,180313_s14,-70ctrl
58.9602,-43.8,58.9616,-75,58.9678,-45,0,31.2,110.75,180313_s14,-70ctrl
62.8004,-48.28,58.9616,-75,62.8158,-43.28,16.4904,26.72,0,180313_s14,-70ctrl
75.45,-46.61,75.452,-69.84,75.4606,-49.84,6.7122,23.23,154.59,180313_s14,-70ctrl
82.1622,-43.7,82.1642,-69.06,82.1758,-44.06,0,25.36,166.28,180313_s14,-70ctrl
83.8146,-43.75,82.1642,-69.06,83.8248,-41.72,3.195,25.31,39.47,180313_s14,-70ctrl
85.3566,-44.43,85.3592,-52.5,85.3662,-43.59,3.7144,8.07,36.4,180313_s14,-70ctrl
