NumEvent,TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area,Sample,Group
[-],[s],[pA],[s],[pA],[s],[pA],[s],[pA],[fC],[ID],[interval]
6,1.1312,-194.74,1.133,-218.59,1.139,-192.03,0,23.85,57.77,260313_s7,-70ctrl
7,1.1758,-193.49,1.133,-218.59,1.1902,-188.28,0.1916,25.1,11.55,260313_s7,-70ctrl
8,1.322,-197.19,1.3246,-249.22,1.3342,-194.69,0.3302,52.03,209.31,260313_s7,-70ctrl
9,1.6506,-190.31,1.6548,-204.53,1.6596,-189.22,0.1508,14.22,56.09,260313_s7,-70ctrl
10,1.8014,-188.91,1.8056,-201.41,1.8162,-187.34,0.2586,12.5,87.78,260313_s7,-70ctrl
11,2.0618,-188.75,2.0642,-213.75,2.069,-186.56,0.2628,25,68.88,260313_s7,-70ctrl
12,2.3254,-185.68,2.327,-213.44,2.3334,-183.44,0.12,27.76,66.07,260313_s7,-70ctrl
13,2.4454,-187.03,2.447,-212.66,2.4546,-187.19,0.288,25.63,84.72,260313_s7,-70ctrl
14,2.733,-186.56,2.735,-199.69,2.737,-186.41,0.088,13.13,28.59,260313_s7,-70ctrl
15,2.8176,-189.38,2.823,-199.38,2.8266,-187.19,0,10,27.34,260313_s7,-70ctrl
16,3.0132,-192.45,2.823,-199.38,3.025,-188.75,0.56,6.93,71.66,260313_s7,-70ctrl
17,3.3776,-191.72,3.383,-200.94,3.3876,-187.03,0.2882,9.22,22.75,260313_s7,-70ctrl
18,3.67,-192.19,3.6712,-239.84,3.6778,-190.31,0.0834,47.66,115.22,260313_s7,-70ctrl
19,3.7526,-189.06,3.7546,-249.37,3.764,-186.56,0.3968,60.31,171.53,260313_s7,-70ctrl
20,4.1506,-190.83,4.1514,-218.75,4.1634,-188.44,0.1296,27.92,106.82,260313_s7,-70ctrl
21,4.2788,-192.29,4.281,-245.31,4.2902,-192.66,0.0546,53.02,224.42,260313_s7,-70ctrl
22,4.333,-185.73,4.3356,-210.78,4.3446,-186.72,0.333,25.05,112.71,260313_s7,-70ctrl
23,4.6662,-188.28,4.6686,-205.63,4.6724,-188.59,0.419,17.34,40.22,260313_s7,-70ctrl
24,5.0864,-190.68,5.0876,-232.5,5.0928,-190.94,0.09,41.82,86.91,260313_s7,-70ctrl
25,5.1758,-193.39,5.1776,-235.62,5.187,-190.94,0.869,42.24,135.75,260313_s7,-70ctrl
26,6.0452,-181.77,6.0466,-208.59,6.0522,-183.28,0.7792,26.82,82.78,260313_s7,-70ctrl
27,6.8244,-185.57,6.8258,-230.94,6.8298,-187.81,0.0216,45.36,76.48,260313_s7,-70ctrl
28,6.8448,-186.82,6.8474,-207.97,6.8532,-188.28,0.342,21.15,93.51,260313_s7,-70ctrl
29,7.1878,-187.55,7.1894,-247.03,7.1974,-188.75,0.1132,59.48,188.9,260313_s7,-70ctrl
30,7.301,-191.41,7.3026,-241.56,7.3086,-190.63,0.1576,50.16,153.19,260313_s7,-70ctrl
31,7.4548,-194.9,7.4602,-206.09,7.4712,-192.34,0.2044,11.2,64.17,260313_s7,-70ctrl
32,7.6592,-198.85,7.6646,-202.19,7.671,-188.13,0.1382,3.33,0,260313_s7,-70ctrl
33,7.801,-188.75,7.8028,-221.41,7.813,-188.75,0.1292,32.66,140.31,260313_s7,-70ctrl
34,7.9292,-183.23,7.932,-204.22,7.9382,-187.81,0.026,20.99,116.98,260313_s7,-70ctrl
35,7.9564,-188.33,7.958,-226.88,7.9624,-187.19,0.519,38.54,110.65,260313_s7,-70ctrl
36,8.4756,-185.57,8.477,-229.53,8.4864,-190.47,0.2652,43.96,200.45,260313_s7,-70ctrl
37,8.7406,-187.45,8.7422,-234.84,8.749,-188.13,0.0528,47.4,167.39,260313_s7,-70ctrl
38,8.7936,-188.28,8.795,-207.5,8.8026,-188.28,0.5866,19.22,71.56,260313_s7,-70ctrl
39,9.3762,-195.83,9.3816,-207.34,9.3852,-189.53,0.5032,11.51,21.4,260313_s7,-70ctrl
40,9.8832,-187.24,9.8848,-316.72,9.8928,-195,0,129.48,418.18,260313_s7,-70ctrl
41,9.9304,-189.79,9.8848,-316.72,9.9402,-187.66,0.1026,126.93,54.52,260313_s7,-70ctrl
42,9.9858,-185.31,9.9874,-219.69,9.9914,-187.19,0.1812,34.38,89.97,260313_s7,-70ctrl
43,10.1646,-191.51,10.1686,-221.72,10.1752,-193.91,0,30.21,139.69,260313_s7,-70ctrl
44,10.2462,-187.34,10.1686,-221.72,10.2526,-188.59,0.1122,34.38,56.97,260313_s7,-70ctrl
