,id,roi,int,index,time
0,24_03_14_04_xform_ch0,1,0.04816815192891996,0,0.0
1,24_03_14_04_xform_ch0,1,-0.015560347597908862,1,10.0
2,24_03_14_04_xform_ch0,1,0.0002194095445367849,2,20.0
3,24_03_14_04_xform_ch0,1,-0.02513458226860615,3,30.0
4,24_03_14_04_xform_ch0,1,-0.007692631606942385,4,40.0
5,24_03_14_04_xform_ch0,1,-0.030309544758439083,5,50.0
6,24_03_14_04_xform_ch0,1,-0.03425448404405044,6,60.0
7,24_03_14_04_xform_ch0,1,-0.17064300294097445,7,70.0
8,24_03_14_04_xform_ch0,1,-0.21548898408948378,8,80.0
9,24_03_14_04_xform_ch0,1,-0.2411310894459577,9,90.0
10,24_03_14_04_xform_ch0,1,-0.2660750735243601,10,100.0
11,24_03_14_04_xform_ch0,1,-0.28364999966756144,11,110.0
12,24_03_14_04_xform_ch0,1,-0.2946980459252989,12,120.0
13,24_03_14_04_xform_ch0,1,-0.2972024174942544,13,130.0
14,24_03_14_04_xform_ch0,1,-0.23612234630804668,14,140.0
15,24_03_14_04_xform_ch0,1,-0.18389622593420824,15,150.0
16,24_03_14_04_xform_ch0,1,-0.1516718342416299,16,160.0
17,24_03_14_04_xform_ch0,1,-0.12223992766133816,17,170.0
18,24_03_14_04_xform_ch0,1,-0.13112712234409193,18,180.0
19,24_03_14_04_xform_ch0,1,-0.13050657009691705,19,190.0
20,24_03_14_04_xform_ch0,1,-0.13568153258674998,20,200.0
21,24_03_14_04_xform_ch0,1,-0.14292869633054167,21,210.0
22,24_03_14_04_xform_ch0,1,-0.11232217299666906,22,220.0
23,24_03_14_04_xform_ch0,1,-0.10118547641790662,23,230.0
24,24_03_14_04_xform_ch0,1,-0.11715361549253019,24,240.0
25,24_03_14_04_xform_ch0,1,-0.11056024786629766,25,250.0
26,24_03_14_04_xform_ch0,1,-0.1086542659642607,26,260.0
27,24_03_14_04_xform_ch0,1,-0.1142724800592185,27,270.0
28,24_03_14_04_xform_ch0,1,-0.07275088594914586,28,280.0
29,24_03_14_04_xform_ch0,1,-0.08583788959045774,30,290.0
30,24_03_14_04_xform_ch0,2,0.0174213925043754,0,0.0
31,24_03_14_04_xform_ch0,2,-0.0032992013518679604,1,10.0
32,24_03_14_04_xform_ch0,2,-0.0031986159447987867,2,20.0
33,24_03_14_04_xform_ch0,2,-0.01013900903256969,3,30.0
34,24_03_14_04_xform_ch0,2,-0.0007845661751393119,4,40.0
35,24_03_14_04_xform_ch0,2,-0.022410428695005064,5,50.0
36,24_03_14_04_xform_ch0,2,-0.01350862016938588,6,60.0
37,24_03_14_04_xform_ch0,2,-0.14205677040374995,7,70.0
38,24_03_14_04_xform_ch0,2,-0.13974330604115964,8,80.0
39,24_03_14_04_xform_ch0,2,-0.15543462954394588,9,90.0
40,24_03_14_04_xform_ch0,2,-0.16685107324629353,10,100.0
41,24_03_14_04_xform_ch0,2,-0.19858576917660786,11,110.0
42,24_03_14_04_xform_ch0,2,-0.22720231748777894,12,120.0
43,24_03_14_04_xform_ch0,2,-0.2441006658753948,13,130.0
44,24_03_14_04_xform_ch0,2,-0.20185479490635505,14,140.0
45,24_03_14_04_xform_ch0,2,-0.19139391257116428,15,150.0
