,id,roi,int,index,time
0,24_03_14_04_xform_ch0,1,166.5122567082674,0,0.0
1,24_03_14_04_xform_ch0,1,162.61347573425476,1,10.0
2,24_03_14_04_xform_ch0,1,161.96147201314471,2,20.0
3,24_03_14_04_xform_ch0,1,159.4328690000121,3,30.0
4,24_03_14_04_xform_ch0,1,159.67300141353857,4,40.0
5,24_03_14_04_xform_ch0,1,159.5304877312102,5,50.0
6,24_03_14_04_xform_ch0,1,158.13089125418324,6,60.0
7,24_03_14_04_xform_ch0,1,153.56015995940606,7,70.0
8,24_03_14_04_xform_ch0,1,151.23423662877096,8,80.0
9,24_03_14_04_xform_ch0,1,148.50634884198573,9,90.0
10,24_03_14_04_xform_ch0,1,147.27336869193317,10,100.0
11,24_03_14_04_xform_ch0,1,141.6604003817762,11,110.0
12,24_03_14_04_xform_ch0,1,139.29986347875465,12,120.0
13,24_03_14_04_xform_ch0,1,137.0910342994527,13,130.0
14,24_03_14_04_xform_ch0,1,138.13845428954585,14,140.0
15,24_03_14_04_xform_ch0,1,137.63450967126167,15,150.0
16,24_03_14_04_xform_ch0,1,137.06513150741202,16,160.0
17,24_03_14_04_xform_ch0,1,138.33395754551714,17,170.0
18,24_03_14_04_xform_ch0,1,138.42221309395802,18,180.0
19,24_03_14_04_xform_ch0,1,140.80959514805912,19,190.0
20,24_03_14_04_xform_ch0,1,140.8013434657066,20,200.0
21,24_03_14_04_xform_ch0,1,141.61684648004737,21,210.0
22,24_03_14_04_xform_ch0,1,144.77672131543656,22,220.0
23,24_03_14_04_xform_ch0,1,144.5381957448865,23,230.0
24,24_03_14_04_xform_ch0,1,145.4570199707627,24,240.0
25,24_03_14_04_xform_ch0,1,145.11723912964686,25,250.0
26,24_03_14_04_xform_ch0,1,146.95591451112105,26,260.0
27,24_03_14_04_xform_ch0,1,145.28220028754032,27,270.0
28,24_03_14_04_xform_ch0,1,145.52757608341085,28,280.0
29,24_03_14_04_xform_ch0,1,146.78986601587513,30,290.0
