,id,roi,int,index,time
0,24_03_14_04_xform_ch3,1,1027.7383720930231,0,0.0
1,24_03_14_04_xform_ch3,1,1021.0959302325581,1,10.0
2,24_03_14_04_xform_ch3,1,993.6656976744187,2,20.0
3,24_03_14_04_xform_ch3,1,1001.5959302325581,3,30.0
4,24_03_14_04_xform_ch3,1,1002.0581395348837,4,40.0
5,24_03_14_04_xform_ch3,1,968.6744186046511,5,50.0
6,24_03_14_04_xform_ch3,1,969.4331395348837,6,60.0
7,24_03_14_04_xform_ch3,1,962.2703488372093,7,70.0
8,24_03_14_04_xform_ch3,1,930.5174418604652,8,80.0
9,24_03_14_04_xform_ch3,1,893.5872093023256,9,90.0
10,24_03_14_04_xform_ch3,1,866.3575581395348,10,100.0
11,24_03_14_04_xform_ch3,1,878.4156976744187,11,110.0
12,24_03_14_04_xform_ch3,1,833.046511627907,12,120.0
13,24_03_14_04_xform_ch3,1,830.3081395348837,13,130.0
14,24_03_14_04_xform_ch3,1,906.7703488372093,14,140.0
15,24_03_14_04_xform_ch3,1,811.7180232558139,15,150.0
16,24_03_14_04_xform_ch3,1,783.8895348837209,16,160.0
17,24_03_14_04_xform_ch3,1,783.5377906976744,17,170.0
18,24_03_14_04_xform_ch3,1,785.9651162790698,18,180.0
19,24_03_14_04_xform_ch3,1,772.9127906976744,19,190.0
20,24_03_14_04_xform_ch3,1,776.6075581395348,20,200.0
21,24_03_14_04_xform_ch3,1,758.8401162790698,21,210.0
22,24_03_14_04_xform_ch3,1,758.0697674418604,22,220.0
23,24_03_14_04_xform_ch3,1,775.7529069767442,23,230.0
24,24_03_14_04_xform_ch3,1,774.1279069767442,24,240.0
25,24_03_14_04_xform_ch3,1,780.2529069767442,25,250.0
26,24_03_14_04_xform_ch3,1,757.5959302325581,26,260.0
27,24_03_14_04_xform_ch3,1,763.4941860465116,27,270.0
28,24_03_14_04_xform_ch3,1,779.4651162790698,28,280.0
29,24_03_14_04_xform_ch3,1,776.4098837209302,30,290.0
30,24_03_14_04_xform_ch3,2,1293.377049180328,0,0.0
31,24_03_14_04_xform_ch3,2,1301.8524590163934,1,10.0
32,24_03_14_04_xform_ch3,2,1240.8360655737704,2,20.0
33,24_03_14_04_xform_ch3,2,1204.622950819672,3,30.0
34,24_03_14_04_xform_ch3,2,1213.4754098360656,4,40.0
35,24_03_14_04_xform_ch3,2,1196.655737704918,5,50.0
36,24_03_14_04_xform_ch3,2,1197.704918032787,6,60.0
37,24_03_14_04_xform_ch3,2,1183.7868852459017,7,70.0
38,24_03_14_04_xform_ch3,2,1170.1639344262296,8,80.0
39,24_03_14_04_xform_ch3,2,1146.2295081967213,9,90.0
40,24_03_14_04_xform_ch3,2,1096.4754098360656,10,100.0
41,24_03_14_04_xform_ch3,2,1100.5737704918033,11,110.0
42,24_03_14_04_xform_ch3,2,1028.655737704918,12,120.0
43,24_03_14_04_xform_ch3,2,1027.5573770491803,13,130.0
44,24_03_14_04_xform_ch3,2,1116.983606557377,14,140.0
45,24_03_14_04_xform_ch3,2,988.2786885245902,15,150.0
46,24_03_14_04_xform_ch3,2,964.2131147540983,16,160.0
47,24_03_14_04_xform_ch3,2,952.1967213114754,17,170.0
48,24_03_14_04_xform_ch3,2,970.6065573770492,18,180.0
49,24_03_14_04_xform_ch3,2,986.1967213114754,19,190.0
50,24_03_14_04_xform_ch3,2,982.4754098360655,20,200.0
51,24_03_14_04_xform_ch3,2,947.360655737705,21,210.0
52,24_03_14_04_xform_ch3,2,938.672131147541,22,220.0
53,24_03_14_04_xform_ch3,2,951.0983606557377,23,230.0
54,24_03_14_04_xform_ch3,2,958.9508196721312,24,240.0
55,24_03_14_04_xform_ch3,2,959.5081967213115,25,250.0
56,24_03_14_04_xform_ch3,2,907.2131147540983,26,260.0
57,24_03_14_04_xform_ch3,2,911.5573770491803,27,270.0
58,24_03_14_04_xform_ch3,2,916.016393442623,28,280.0
59,24_03_14_04_xform_ch3,2,926.8196721311475,30,290.0
60,24_03_14_04_xform_ch3,3,1092.64,0,0.0
61,24_03_14_04_xform_ch3,3,1093.16,1,10.0
62,24_03_14_04_xform_ch3,3,1082.16,2,20.0
63,24_03_14_04_xform_ch3,3,1079.96,3,30.0
64,24_03_14_04_xform_ch3,3,1108.04,4,40.0
65,24_03_14_04_xform_ch3,3,1052.16,5,50.0
66,24_03_14_04_xform_ch3,3,1051.96,6,60.0
67,24_03_14_04_xform_ch3,3,1029.04,7,70.0
68,24_03_14_04_xform_ch3,3,1019.36,8,80.0
69,24_03_14_04_xform_ch3,3,980.88,9,90.0
70,24_03_14_04_xform_ch3,3,951.36,10,100.0
71,24_03_14_04_xform_ch3,3,968.76,11,110.0
72,24_03_14_04_xform_ch3,3,902.08,12,120.0
73,24_03_14_04_xform_ch3,3,916.84,13,130.0
74,24_03_14_04_xform_ch3,3,1005.48,14,140.0
75,24_03_14_04_xform_ch3,3,905.16,15,150.0
76,24_03_14_04_xform_ch3,3,883.0,16,160.0
77,24_03_14_04_xform_ch3,3,867.52,17,170.0
78,24_03_14_04_xform_ch3,3,892.2,18,180.0
79,24_03_14_04_xform_ch3,3,869.12,19,190.0
80,24_03_14_04_xform_ch3,3,835.88,20,200.0
81,24_03_14_04_xform_ch3,3,809.72,21,210.0
82,24_03_14_04_xform_ch3,3,795.56,22,220.0
