,id,roi,int,index,time
0,24_03_14_04_xform_ch3,1,0.016128257634543244,0,0.0
1,24_03_14_04_xform_ch3,1,0.015544510138227396,1,10.0
2,24_03_14_04_xform_ch3,1,-0.011425029211475313,2,20.0
3,24_03_14_04_xform_ch3,1,-0.010270705734070424,3,30.0
4,24_03_14_04_xform_ch3,1,-0.009977032827225221,4,40.0
5,24_03_14_04_xform_ch3,1,-0.021907362868978417,5,50.0
6,24_03_14_04_xform_ch3,1,-0.02510899504163928,6,60.0
7,24_03_14_04_xform_ch3,1,-0.04952429809162724,7,70.0
8,24_03_14_04_xform_ch3,1,-0.07433203530812281,8,80.0
9,24_03_14_04_xform_ch3,1,-0.10193451031583374,9,90.0
10,24_03_14_04_xform_ch3,1,-0.12749759292651275,10,100.0
11,24_03_14_04_xform_ch3,1,-0.12494469553558885,11,110.0
12,24_03_14_04_xform_ch3,1,-0.16384356074545164,12,120.0
13,24_03_14_04_xform_ch3,1,-0.17127385181491742,13,130.0
14,24_03_14_04_xform_ch3,1,-0.09880578172681789,14,140.0
15,24_03_14_04_xform_ch3,1,-0.18901835980687398,15,150.0
16,24_03_14_04_xform_ch3,1,-0.20682959566567916,16,160.0
17,24_03_14_04_xform_ch3,1,-0.21456333367616093,17,170.0
18,24_03_14_04_xform_ch3,1,-0.2078162877625083,18,180.0
19,24_03_14_04_xform_ch3,1,-0.206549362055819,19,190.0
20,24_03_14_04_xform_ch3,1,-0.20524787576597395,20,200.0
21,24_03_14_04_xform_ch3,1,-0.2169223403378549,21,210.0
22,24_03_14_04_xform_ch3,1,-0.2286311311838532,22,220.0
23,24_03_14_04_xform_ch3,1,-0.21100228817503944,23,230.0
24,24_03_14_04_xform_ch3,1,-0.21347133640295587,24,240.0
25,24_03_14_04_xform_ch3,1,-0.2178964466920528,25,250.0
26,24_03_14_04_xform_ch3,1,-0.23739117625500422,26,260.0
27,24_03_14_04_xform_ch3,1,-0.2140803055936136,27,270.0
28,24_03_14_04_xform_ch3,1,-0.21675581355703127,28,280.0
29,24_03_14_04_xform_ch3,1,-0.21866705564644853,30,290.0
