,id,roi,int,index,time
0,cell 1 application 1,1,-0.02033861542247661,0,0.0
1,cell 1 application 1,1,-0.006344346607380433,1,1.0
2,cell 1 application 1,1,0.007191093721975068,2,2.0
3,cell 1 application 1,1,0.007483075485628306,3,3.0
4,cell 1 application 1,1,0.01200879282225402,4,4.0
5,cell 1 application 1,1,0.03063305817528089,5,5.0
6,cell 1 application 1,1,0.03830800739130994,6,6.0
7,cell 1 application 1,1,0.12181479179614668,7,7.0
8,cell 1 application 1,1,0.20901305992717142,8,8.0
9,cell 1 application 1,1,0.3570895257799043,9,9.0
10,cell 1 application 1,1,0.413650564567596,10,10.0
11,cell 1 application 1,1,0.4695859281474593,11,11.0
12,cell 1 application 1,1,0.5495889313884569,12,12.0
13,cell 1 application 1,1,0.5586403660617084,13,13.0
14,cell 1 application 1,1,0.6190180236171537,14,14.0
15,cell 1 application 1,1,0.6514697110631891,15,15.0
16,cell 1 application 1,1,0.6711159125890024,16,16.0
17,cell 1 application 1,1,0.6855898657301004,17,17.0
18,cell 1 application 1,1,0.6885096833666332,18,18.0
19,cell 1 application 1,1,0.7301379405274862,19,19.0
20,cell 1 application 1,1,0.7354561797940278,20,20.0
21,cell 1 application 1,1,0.7671570569906693,21,21.0
22,cell 1 application 1,1,0.7959798282312998,22,22.0
23,cell 1 application 1,1,0.8262625082901968,23,23.0
24,cell 1 application 1,1,0.8354807896855357,24,24.0
25,cell 1 application 1,1,0.8667228383964365,25,25.0
26,cell 1 application 1,1,0.7953332971832103,26,26.0
27,cell 1 application 1,1,0.7189174984670957,27,27.0
28,cell 1 application 1,1,0.6179126640833235,28,28.0
29,cell 1 application 1,1,0.5126323824460565,29,29.0
30,cell 1 application 1,1,0.45037769926712595,30,30.0
31,cell 1 application 1,1,0.3994060256693683,31,31.0
32,cell 1 application 1,1,0.3638468180244515,32,32.0
33,cell 1 application 1,1,0.372084874927526,33,33.0
34,cell 1 application 1,1,0.33051918528745616,34,34.0
35,cell 1 application 1,1,0.29262412353331313,35,35.0
36,cell 1 application 1,1,0.2715180131892334,36,36.0
37,cell 1 application 1,1,0.26430189245894536,37,37.0
38,cell 1 application 1,1,0.24953595755419394,38,38.0
39,cell 1 application 1,1,0.23723101180023456,39,39.0
40,cell 1 application 1,1,0.2109317972311788,40,40.0
41,cell 1 application 1,1,0.18807379630517945,41,41.0
42,cell 1 application 1,1,0.17065916968728753,42,42.0
43,cell 1 application 1,1,0.16492381361552688,43,43.0
44,cell 1 application 1,1,0.15729057608001984,44,44.0
45,cell 1 application 1,1,0.14177383092587428,45,45.0
46,cell 1 application 1,1,0.16354732815830433,46,46.0
47,cell 1 application 1,1,0.16248368030499583,47,47.0
48,cell 1 application 1,1,0.1665714249961417,48,48.0
49,cell 1 application 1,1,0.15380765075644143,49,49.0
50,cell 1 application 1,1,0.16406872416482798,50,50.0
51,cell 1 application 1,1,0.16073178972307622,51,51.0
52,cell 1 application 1,1,0.15624778406697232,52,52.0
53,cell 1 application 1,1,0.15211832769530464,53,53.0
54,cell 1 application 1,1,0.1526188678615673,54,54.0
55,cell 1 application 1,1,0.15480873108896695,55,55.0
56,cell 1 application 1,1,0.16198314013873316,56,56.0
57,cell 1 application 1,1,0.1598975561126383,57,57.0
58,cell 1 application 1,1,0.1685527298209319,58,58.0
59,cell 1 application 1,1,0.1606692222022934,60,59.0
60,cell 1 application 1,2,-0.01908597173362958,0,0.0
61,cell 1 application 1,2,-0.0072826019872864346,1,1.0
62,cell 1 application 1,2,-0.0007508897529265017,2,2.0
63,cell 1 application 1,2,0.007400892838774541,3,3.0
64,cell 1 application 1,2,0.01971857063506759,4,4.0
65,cell 1 application 1,2,0.029078977144150246,5,5.0
66,cell 1 application 1,2,0.03969943837560943,6,6.0
67,cell 1 application 1,2,0.08997305025818261,7,7.0
68,cell 1 application 1,2,0.15688452755662521,8,8.0
69,cell 1 application 1,2,0.29826781048776974,9,9.0
70,cell 1 application 1,2,0.36767368182846794,10,10.0
71,cell 1 application 1,2,0.40529531568228094,11,11.0
72,cell 1 application 1,2,0.48704458022176944,12,12.0
73,cell 1 application 1,2,0.508182641074698,13,13.0
74,cell 1 application 1,2,0.559201999629698,14,14.0
75,cell 1 application 1,2,0.5941492316237732,15,15.0
76,cell 1 application 1,2,0.6186560102038716,16,16.0
77,cell 1 application 1,2,0.6252905840482214,17,17.0
78,cell 1 application 1,2,0.6284535785554114,18,18.0
79,cell 1 application 1,2,0.6690324836964346,19,19.0
80,cell 1 application 1,2,0.6778785821555678,20,20.0
81,cell 1 application 1,2,0.6968565491987079,21,21.0
82,cell 1 application 1,2,0.7373325927297413,22,22.0
83,cell 1 application 1,2,0.7728712789812584,23,23.0
84,cell 1 application 1,2,0.7925692772943281,24,24.0
85,cell 1 application 1,2,0.8245335225986955,25,25.0
86,cell 1 application 1,2,0.7390298092945751,26,26.0
87,cell 1 application 1,2,0.6773128433006231,27,27.0
88,cell 1 application 1,2,0.5670194819889319,28,28.0
89,cell 1 application 1,2,0.4843444629595342,29,29.0
90,cell 1 application 1,2,0.4204674031557942,30,30.0
91,cell 1 application 1,2,0.37698265753255567,31,31.0
92,cell 1 application 1,2,0.33362648892180446,32,32.0
93,cell 1 application 1,2,0.34306404163837967,33,33.0
94,cell 1 application 1,2,0.29849924911024706,34,34.0
95,cell 1 application 1,2,0.27062375280297873,35,35.0
96,cell 1 application 1,2,0.2521086630047933,36,36.0
97,cell 1 application 1,2,0.24218251764076598,37,37.0
98,cell 1 application 1,2,0.23351642699911523,38,38.0
99,cell 1 application 1,2,0.22407887428254022,39,39.0
100,cell 1 application 1,2,0.19846633339505018,40,40.0
101,cell 1 application 1,2,0.17568248678228307,41,41.0
102,cell 1 application 1,2,0.1573474048015798,42,42.0
103,cell 1 application 1,2,0.1556759036392436,43,43.0
104,cell 1 application 1,2,0.14824415231747193,44,44.0
105,cell 1 application 1,2,0.13276348001398902,45,45.0
106,cell 1 application 1,2,0.15117570820218465,46,46.0
107,cell 1 application 1,2,0.15511016478429918,47,47.0
108,cell 1 application 1,2,0.15554732662675633,48,48.0
109,cell 1 application 1,2,0.14891275278240657,49,49.0
110,cell 1 application 1,2,0.1592760599888908,50,50.0
111,cell 1 application 1,2,0.1602532452837951,51,51.0
112,cell 1 application 1,2,0.14685552058260812,52,52.0
113,cell 1 application 1,2,0.14034952375074564,53,53.0
114,cell 1 application 1,2,0.14346108745294076,54,54.0
115,cell 1 application 1,2,0.13492357382377748,55,55.0
116,cell 1 application 1,2,0.14857845254993923,56,56.0
117,cell 1 application 1,2,0.1497099302598283,57,57.0
118,cell 1 application 1,2,0.15837602090147904,58,58.0
119,cell 1 application 1,2,0.14978707646732084,60,59.0
120,cell 1 application 1,3,-0.03693791216454044,0,0.0
121,cell 1 application 1,3,-0.010174196590448829,1,1.0
122,cell 1 application 1,3,0.002809193967206083,2,2.0
123,cell 1 application 1,3,0.029938171168239474,3,3.0
124,cell 1 application 1,3,0.014364743619543296,4,4.0
125,cell 1 application 1,3,0.03106716165151382,5,5.0
126,cell 1 application 1,3,0.03634685244094379,6,6.0
127,cell 1 application 1,3,0.08004542526415043,7,7.0
128,cell 1 application 1,3,0.1771054012232942,8,8.0
129,cell 1 application 1,3,0.2737337043505978,9,9.0
130,cell 1 application 1,3,0.3533275334214387,10,10.0
131,cell 1 application 1,3,0.37916149212695144,11,11.0
132,cell 1 application 1,3,0.4694143195840001,12,12.0
133,cell 1 application 1,3,0.5161013966276388,13,13.0
134,cell 1 application 1,3,0.5638510529496534,14,14.0
135,cell 1 application 1,3,0.5885892267743412,15,15.0
136,cell 1 application 1,3,0.6171460448806921,16,16.0
137,cell 1 application 1,3,0.6370029951453408,17,17.0
138,cell 1 application 1,3,0.6414193402710903,18,18.0
139,cell 1 application 1,3,0.6816645304395755,19,19.0
140,cell 1 application 1,3,0.7039454896830191,20,20.0
141,cell 1 application 1,3,0.740504857979638,21,21.0
142,cell 1 application 1,3,0.7577717712532457,22,22.0
143,cell 1 application 1,3,0.8220910231974338,23,23.0
144,cell 1 application 1,3,0.8331816944154815,24,24.0
145,cell 1 application 1,3,0.8536031399217675,25,25.0
146,cell 1 application 1,3,0.782742384295078,26,26.0
147,cell 1 application 1,3,0.7122136846928812,27,27.0
148,cell 1 application 1,3,0.6080145042071496,28,28.0
149,cell 1 application 1,3,0.5252329373011813,29,29.0
150,cell 1 application 1,3,0.4670899274125528,30,30.0
151,cell 1 application 1,3,0.41867615904155325,31,31.0
152,cell 1 application 1,3,0.37414744615711537,32,32.0
153,cell 1 application 1,3,0.37467873579630345,33,33.0
154,cell 1 application 1,3,0.33413469520577493,34,34.0
155,cell 1 application 1,3,0.2959814579915922,35,35.0
156,cell 1 application 1,3,0.2690517144052543,36,36.0
157,cell 1 application 1,3,0.26207853789091273,37,37.0
158,cell 1 application 1,3,0.24926117534550407,38,38.0
159,cell 1 application 1,3,0.23827012093480393,39,39.0
160,cell 1 application 1,3,0.21426247036399967,40,40.0
161,cell 1 application 1,3,0.2019431918553297,41,41.0
162,cell 1 application 1,3,0.1668448700664774,42,42.0
163,cell 1 application 1,3,0.1812228959270006,43,43.0
164,cell 1 application 1,3,0.19247959515729487,44,44.0
165,cell 1 application 1,3,0.16076824481826568,45,45.0
166,cell 1 application 1,3,0.18653579231887998,46,46.0
167,cell 1 application 1,3,0.17786913007962699,47,47.0
168,cell 1 application 1,3,0.17697257881349734,48,48.0
169,cell 1 application 1,3,0.1708959535652854,49,49.0
170,cell 1 application 1,3,0.17820118610411934,50,50.0
171,cell 1 application 1,3,0.1742497194126592,51,51.0
172,cell 1 application 1,3,0.17923055978004604,52,52.0
173,cell 1 application 1,3,0.1661807580174925,53,53.0
174,cell 1 application 1,3,0.18374652171314323,54,54.0
175,cell 1 application 1,3,0.17630846676451242,55,55.0
176,cell 1 application 1,3,0.19154983828871583,56,56.0
177,cell 1 application 1,3,0.19955238847898413,57,57.0
178,cell 1 application 1,3,0.19566733299242245,58,58.0
179,cell 1 application 1,3,0.20400193920718288,60,59.0
180,cell 1 application 1,4,-0.019640616445988288,0,0.0
181,cell 1 application 1,4,-0.022935046436928584,1,1.0
182,cell 1 application 1,4,0.002766352242392494,2,2.0
183,cell 1 application 1,4,0.02761991967404522,3,3.0
184,cell 1 application 1,4,0.01218939096647916,4,4.0
185,cell 1 application 1,4,0.012794984714813887,5,5.0
186,cell 1 application 1,4,0.025657795929441025,6,6.0
187,cell 1 application 1,4,0.05593748334617194,7,7.0
188,cell 1 application 1,4,0.12797891564805808,8,8.0
189,cell 1 application 1,4,0.20098929794727954,9,9.0
190,cell 1 application 1,4,0.2523194240561216,10,10.0
191,cell 1 application 1,4,0.27366054774743365,11,11.0
192,cell 1 application 1,4,0.34919020003972695,12,12.0
193,cell 1 application 1,4,0.3713791549787073,13,13.0
194,cell 1 application 1,4,0.4119054886172599,14,14.0
195,cell 1 application 1,4,0.42963727356849757,15,15.0
196,cell 1 application 1,4,0.461467280980965,16,16.0
197,cell 1 application 1,4,0.48157299342567433,17,17.0
198,cell 1 application 1,4,0.4861028346632173,18,18.0
199,cell 1 application 1,4,0.5253453095553005,19,19.0
200,cell 1 application 1,4,0.537214947022659,20,20.0
201,cell 1 application 1,4,0.5691418494348598,21,21.0
202,cell 1 application 1,4,0.5977016506063205,22,22.0
203,cell 1 application 1,4,0.6256074105295797,23,23.0
204,cell 1 application 1,4,0.6598840166853189,24,24.0
205,cell 1 application 1,4,0.6682896579122034,25,25.0
206,cell 1 application 1,4,0.6160390293058929,26,26.0
207,cell 1 application 1,4,0.5657020769443194,27,27.0
208,cell 1 application 1,4,0.49056000465096,28,28.0
209,cell 1 application 1,4,0.42530122233042167,29,29.0
210,cell 1 application 1,4,0.37949411120639126,30,30.0
211,cell 1 application 1,4,0.3422379838088456,31,31.0
212,cell 1 application 1,4,0.3124185476408491,32,32.0
213,cell 1 application 1,4,0.30725888890503805,33,33.0
214,cell 1 application 1,4,0.265254906520549,34,34.0
215,cell 1 application 1,4,0.24745045031951127,35,35.0
216,cell 1 application 1,4,0.21625026040531192,36,36.0
217,cell 1 application 1,4,0.2324801728606796,37,37.0
218,cell 1 application 1,4,0.2152813104079764,38,38.0
219,cell 1 application 1,4,0.2076023816790935,39,39.0
220,cell 1 application 1,4,0.18064134800323642,40,40.0
221,cell 1 application 1,4,0.16928040928447893,41,41.0
222,cell 1 application 1,4,0.15724120556758678,42,42.0
223,cell 1 application 1,4,0.1616741518053961,43,43.0
224,cell 1 application 1,4,0.16823878803734332,44,44.0
225,cell 1 application 1,4,0.1346162231298054,45,45.0
226,cell 1 application 1,4,0.1512337155841074,46,46.0
227,cell 1 application 1,4,0.14893245934043578,47,47.0
228,cell 1 application 1,4,0.16145613805599568,48,48.0
229,cell 1 application 1,4,0.154673488074648,49,49.0
230,cell 1 application 1,4,0.16390273679926745,50,50.0
231,cell 1 application 1,4,0.15237223183097642,51,51.0
232,cell 1 application 1,4,0.14822997059236762,52,52.0
233,cell 1 application 1,4,0.1466312030967642,53,53.0
234,cell 1 application 1,4,0.16194061305466342,54,54.0
235,cell 1 application 1,4,0.16249775930313126,55,55.0
236,cell 1 application 1,4,0.17078228178034874,56,56.0
237,cell 1 application 1,4,0.17470652926955713,57,57.0
238,cell 1 application 1,4,0.17470652926955713,58,58.0
239,cell 1 application 1,4,0.17334999927328748,60,59.0
