,id,roi,int,index,time
0,cell 1 application 1,1,-0.01478784969464228,0,0.0
1,cell 1 application 1,1,-0.011520921673734032,1,1.0
2,cell 1 application 1,1,0.0012801024081925522,2,2.0
3,cell 1 application 1,1,-0.004587033629357088,3,3.0
4,cell 1 application 1,1,0.029615702589540393,4,4.0
5,cell 1 application 1,1,0.023281862549003815,5,5.0
6,cell 1 application 1,1,0.02614875856735192,6,6.0
7,cell 1 application 1,1,0.08995386297570461,7,7.0
8,cell 1 application 1,1,0.33143984852121494,8,8.0
9,cell 1 application 1,1,0.43238125716724,9,9.0
10,cell 1 application 1,1,0.5536576259434088,10,10.0
11,cell 1 application 1,1,0.5975944742246044,11,11.0
12,cell 1 application 1,1,0.7546737072299117,12,12.0
13,cell 1 application 1,1,0.8101448115849267,13,13.0
14,cell 1 application 1,1,0.8383470677654212,14,14.0
15,cell 1 application 1,1,0.8837507000560044,15,15.0
16,cell 1 application 1,1,0.9019521561724936,16,16.0
17,cell 1 application 1,1,0.8614155799130596,17,17.0
18,cell 1 application 1,1,0.9080193082113236,18,18.0
19,cell 1 application 1,1,0.984958796703736,19,19.0
20,cell 1 application 1,1,0.9660906205829799,20,20.0
21,cell 1 application 1,1,0.9600234685441502,21,21.0
22,cell 1 application 1,1,0.9869589567165371,22,22.0
23,cell 1 application 1,1,0.9826919486892285,23,23.0
24,cell 1 application 1,1,0.9686908285996213,24,24.0
25,cell 1 application 1,1,0.9867589407152572,25,25.0
26,cell 1 application 1,1,0.9067525402032162,26,26.0
27,cell 1 application 1,1,0.8453476278102248,27,27.0
28,cell 1 application 1,1,0.690601914819852,28,28.0
29,cell 1 application 1,1,0.6263967784089394,29,29.0
30,cell 1 application 1,1,0.5231218497479797,30,30.0
31,cell 1 application 1,1,0.45498306531189164,31,31.0
32,cell 1 application 1,1,0.3593754167000026,32,32.0
33,cell 1 application 1,1,0.36804277675547376,33,33.0
34,cell 1 application 1,1,0.3246393044776914,34,34.0
35,cell 1 application 1,1,0.3636424247273114,35,35.0
36,cell 1 application 1,1,0.31170493639491154,36,36.0
37,cell 1 application 1,1,0.2334986798943914,37,37.0
38,cell 1 application 1,1,0.26090087206976553,38,38.0
39,cell 1 application 1,1,0.261700936074886,39,39.0
40,cell 1 application 1,1,0.26263434408085967,40,40.0
41,cell 1 application 1,1,0.1800944075526041,41,41.0
42,cell 1 application 1,1,0.1498919913593087,42,42.0
43,cell 1 application 1,1,0.1600928074245939,43,43.0
44,cell 1 application 1,1,0.1321572392458062,44,44.0
45,cell 1 application 1,1,0.13935781529189,45,45.0
46,cell 1 application 1,1,0.13629090327226168,46,46.0
47,cell 1 application 1,1,0.11788943115449231,47,47.0
48,cell 1 application 1,1,0.11602261514254472,48,48.0
49,cell 1 application 1,1,0.1143558151318772,49,49.0
50,cell 1 application 1,1,0.11462250313358391,50,50.0
51,cell 1 application 1,1,0.170093607488599,51,51.0
52,cell 1 application 1,1,0.13595754327012816,52,52.0
53,cell 1 application 1,1,0.11775608715363887,53,53.0
54,cell 1 application 1,1,0.12769021521721735,54,54.0
55,cell 1 application 1,1,0.11155559111395573,55,55.0
56,cell 1 application 1,1,0.09568765501240098,56,56.0
57,cell 1 application 1,1,0.10502173507213909,57,57.0
58,cell 1 application 1,1,0.11222231111822274,58,58.0
59,cell 1 application 1,1,0.12662346321039006,60,59.0
60,cell 1 application 1,2,-0.01758396933732313,0,0.0
61,cell 1 application 1,2,-0.012372659113068682,1,1.0
62,cell 1 application 1,2,0.0026448800277935423,2,2.0
63,cell 1 application 1,2,-0.009907092985464376,3,3.0
64,cell 1 application 1,2,0.037218841408062336,4,4.0
65,cell 1 application 1,2,0.04063701263042273,5,5.0
66,cell 1 application 1,2,0.015477031010097602,6,6.0
67,cell 1 application 1,2,0.24180479440540623,7,7.0
68,cell 1 application 1,2,0.4734559392125878,8,8.0
69,cell 1 application 1,2,0.6406101155453945,9,9.0
70,cell 1 application 1,2,0.8026090172477557,10,10.0
