,id,roi,int,index,time
0,cell1 application4_ -25000pA,1,-0.01416755248471976,0,0.0
1,cell1 application4_ -25000pA,1,0.0010297634865797602,1,1.0
2,cell1 application4_ -25000pA,1,0.006759899016741892,2,2.0
3,cell1 application4_ -25000pA,1,0.01224089821950553,3,3.0
4,cell1 application4_ -25000pA,1,-0.00586300823810796,4,4.0
5,cell1 application4_ -25000pA,1,-0.023385596598458836,5,5.0
6,cell1 application4_ -25000pA,1,-0.026790459739569613,6,6.0
7,cell1 application4_ -25000pA,1,0.16653933032155174,7,7.0
8,cell1 application4_ -25000pA,1,0.35746080255115575,8,8.0
9,cell1 application4_ -25000pA,1,0.49348923731065614,9,9.0
10,cell1 application4_ -25000pA,1,0.6385696252989633,10,10.0
11,cell1 application4_ -25000pA,1,0.7226946585171405,11,11.0
12,cell1 application4_ -25000pA,1,0.8353042785011956,12,12.0
13,cell1 application4_ -25000pA,1,0.8416987775710865,13,13.0
14,cell1 application4_ -25000pA,1,0.9276508105235183,14,14.0
15,cell1 application4_ -25000pA,1,0.9778933032155194,15,15.0
16,cell1 application4_ -25000pA,1,1.0092014350252458,16,16.0
17,cell1 application4_ -25000pA,1,1.0685789263885195,17,17.0
18,cell1 application4_ -25000pA,1,1.1443163699176186,18,18.0
19,cell1 application4_ -25000pA,1,1.202365134201435,19,19.0
20,cell1 application4_ -25000pA,1,1.2567598990167417,20,20.0
21,cell1 application4_ -25000pA,1,1.2981995748073345,21,21.0
22,cell1 application4_ -25000pA,1,1.3463659314376824,22,22.0
23,cell1 application4_ -25000pA,1,1.420276375232527,23,23.0
24,cell1 application4_ -25000pA,1,1.445688280627159,24,24.0
25,cell1 application4_ -25000pA,1,1.4177019665160773,25,25.0
26,cell1 application4_ -25000pA,1,1.4594738240765344,26,26.0
27,cell1 application4_ -25000pA,1,1.1186553281955882,27,27.0
28,cell1 application4_ -25000pA,1,0.8123837363805471,28,28.0
29,cell1 application4_ -25000pA,1,0.7072482062184425,29,29.0
30,cell1 application4_ -25000pA,1,0.5718841349986711,30,30.0
31,cell1 application4_ -25000pA,1,0.514499734254584,31,31.0
32,cell1 application4_ -25000pA,1,0.43436088227478065,32,32.0
33,cell1 application4_ -25000pA,1,0.38295575338825394,33,33.0
34,cell1 application4_ -25000pA,1,0.3334606696784478,34,34.0
35,cell1 application4_ -25000pA,1,0.3081318097262821,35,35.0
36,cell1 application4_ -25000pA,1,0.3004916290193993,36,36.0
37,cell1 application4_ -25000pA,1,0.26519731597129936,37,37.0
38,cell1 application4_ -25000pA,1,0.21445655062450167,38,38.0
39,cell1 application4_ -25000pA,1,0.21902404996013802,39,39.0
40,cell1 application4_ -25000pA,1,0.17750132872707938,40,40.0
41,cell1 application4_ -25000pA,1,0.16363273983523777,41,41.0
42,cell1 application4_ -25000pA,1,0.14278833377624228,42,42.0
43,cell1 application4_ -25000pA,1,0.14785410576667546,43,43.0
44,cell1 application4_ -25000pA,1,0.13672601647621568,44,44.0
45,cell1 application4_ -25000pA,1,0.15042851448312494,45,45.0
46,cell1 application4_ -25000pA,1,0.1047535211267604,46,46.0
47,cell1 application4_ -25000pA,1,0.09636593143768261,47,47.0
48,cell1 application4_ -25000pA,1,0.08590220568695178,48,48.0
49,cell1 application4_ -25000pA,1,0.07319625298963577,49,49.0
50,cell1 application4_ -25000pA,1,0.06713393568960915,50,50.0
51,cell1 application4_ -25000pA,1,0.06240034546904046,51,51.0
52,cell1 application4_ -25000pA,1,0.022621578527770192,52,52.0
53,cell1 application4_ -25000pA,1,0.005763353707148455,53,53.0
54,cell1 application4_ -25000pA,1,0.017804942864735513,54,54.0
55,cell1 application4_ -25000pA,1,-0.0014615997874037445,55,55.0
56,cell1 application4_ -25000pA,1,-0.01790459739569502,56,56.0
57,cell1 application4_ -25000pA,1,-0.0026242359819295116,57,57.0
58,cell1 application4_ -25000pA,1,-0.002375099654531018,58,58.0
59,cell1 application4_ -25000pA,1,-0.0032055540791923053,60,59.0
60,cell1 application4_ -25000pA,2,-0.012758489850123239,0,0.0
61,cell1 application4_ -25000pA,2,-0.005288370328210942,1,1.0
62,cell1 application4_ -25000pA,2,0.025303547713906426,2,2.0
63,cell1 application4_ -25000pA,2,-0.008964143426294757,3,3.0
64,cell1 application4_ -25000pA,2,0.0017074558907228608,4,4.0
65,cell1 application4_ -25000pA,2,-0.01916144944033388,5,5.0
66,cell1 application4_ -25000pA,2,-0.036710301650540636,6,6.0
67,cell1 application4_ -25000pA,2,0.2214238284955417,7,7.0
68,cell1 application4_ -25000pA,2,0.4597562132422692,8,8.0
69,cell1 application4_ -25000pA,2,0.6155615632707268,9,9.0
70,cell1 application4_ -25000pA,2,0.7536994877632328,10,10.0
71,cell1 application4_ -25000pA,2,0.8265035097704422,11,11.0
