,id,roi,int,index,time
0,cell1 application4_ -25000pA,1,0.015035020875635866,0,0.0
1,cell1 application4_ -25000pA,1,-0.00823617987269295,1,1.0
2,cell1 application4_ -25000pA,1,0.005909059797859865,2,2.0
3,cell1 application4_ -25000pA,1,-0.009148775980470586,3,3.0
4,cell1 application4_ -25000pA,1,-0.003559124820332672,4,4.0
5,cell1 application4_ -25000pA,1,0.006479432365220843,5,5.0
6,cell1 application4_ -25000pA,1,-0.012456936871164353,6,6.0
7,cell1 application4_ -25000pA,1,0.07184412858479144,7,7.0
8,cell1 application4_ -25000pA,1,0.26691154662225364,8,8.0
9,cell1 application4_ -25000pA,1,0.3558896671305695,9,9.0
10,cell1 application4_ -25000pA,1,0.4861627615158221,10,10.0
11,cell1 application4_ -25000pA,1,0.5244917980424811,11,11.0
12,cell1 application4_ -25000pA,1,0.6311514681389884,12,12.0
13,cell1 application4_ -25000pA,1,0.6282996053021833,13,13.0
14,cell1 application4_ -25000pA,1,0.736442244073829,14,14.0
15,cell1 application4_ -25000pA,1,0.7788779630854874,15,15.0
16,cell1 application4_ -25000pA,1,0.825534439095617,16,16.0
17,cell1 application4_ -25000pA,1,0.854509365517556,17,17.0
18,cell1 application4_ -25000pA,1,0.9163377518194883,18,18.0
19,cell1 application4_ -25000pA,1,1.0030343820583603,19,19.0
20,cell1 application4_ -25000pA,1,1.0212863042139122,20,20.0
21,cell1 application4_ -25000pA,1,1.0514019757705733,21,21.0
22,cell1 application4_ -25000pA,1,1.066687960575848,22,22.0
23,cell1 application4_ -25000pA,1,1.1546394104629143,23,23.0
24,cell1 application4_ -25000pA,1,1.1861239761812414,24,24.0
25,cell1 application4_ -25000pA,1,1.1184777896922267,25,25.0
26,cell1 application4_ -25000pA,1,1.1736898542127716,26,26.0
27,cell1 application4_ -25000pA,1,0.9848965344162804,27,27.0
28,cell1 application4_ -25000pA,1,0.7680408843056282,28,28.0
29,cell1 application4_ -25000pA,1,0.647007825511624,29,29.0
30,cell1 application4_ -25000pA,1,0.5637334306769182,30,30.0
31,cell1 application4_ -25000pA,1,0.4745271611416576,31,31.0
32,cell1 application4_ -25000pA,1,0.40049280189819986,32,32.0
33,cell1 application4_ -25000pA,1,0.3639889575870959,33,33.0
34,cell1 application4_ -25000pA,1,0.3333029134630739,34,34.0
35,cell1 application4_ -25000pA,1,0.3198421208733544,35,35.0
36,cell1 application4_ -25000pA,1,0.29485980242294263,36,36.0
37,cell1 application4_ -25000pA,1,0.25162556181697865,37,37.0
38,cell1 application4_ -25000pA,1,0.2299514042572608,38,38.0
39,cell1 application4_ -25000pA,1,0.24044625949670306,39,39.0
40,cell1 application4_ -25000pA,1,0.2082772466975427,40,40.0
41,cell1 application4_ -25000pA,1,0.19835276402546126,41,41.0
42,cell1 application4_ -25000pA,1,0.1739408181424106,42,42.0
43,cell1 application4_ -25000pA,1,0.15420592731172,43,43.0
44,cell1 application4_ -25000pA,1,0.13663845223700108,44,44.0
45,cell1 application4_ -25000pA,1,0.13720882480436217,45,45.0
46,cell1 application4_ -25000pA,1,0.08690196436312178,46,46.0
47,cell1 application4_ -25000pA,1,0.08496269763409453,47,47.0
48,cell1 application4_ -25000pA,1,0.10127535306061904,48,48.0
49,cell1 application4_ -25000pA,1,0.08439232506673343,49,49.0
50,cell1 application4_ -25000pA,1,0.07937304647395674,50,50.0
51,cell1 application4_ -25000pA,1,0.08051379160867869,51,51.0
52,cell1 application4_ -25000pA,1,0.0475462572152129,52,52.0
53,cell1 application4_ -25000pA,1,0.021195044603134636,53,53.0
54,cell1 application4_ -25000pA,1,0.04275512764938052,54,54.0
55,cell1 application4_ -25000pA,1,0.022107640710912275,55,55.0
56,cell1 application4_ -25000pA,1,0.0028290479341104196,56,56.0
57,cell1 application4_ -25000pA,1,-0.012456936871164353,57,57.0
58,cell1 application4_ -25000pA,1,-0.002646528712555156,58,58.0
59,cell1 application4_ -25000pA,1,0.01857133079327407,60,59.0
60,cell1 application4_ -25000pA,2,0.011142211217569132,0,0.0
61,cell1 application4_ -25000pA,2,-0.0008343201636344048,1,1.0
62,cell1 application4_ -25000pA,2,0.013698998815803675,2,2.0
63,cell1 application4_ -25000pA,2,-0.01590591021638502,3,3.0
64,cell1 application4_ -25000pA,2,-0.008100979653353381,4,4.0
65,cell1 application4_ -25000pA,2,0.027963182258585486,5,5.0
66,cell1 application4_ -25000pA,2,-0.047125632468511196,6,6.0
