,id,roi,int,index,time
0,cell1 application4_ -25000pA,1,-0.03414882772680926,0,0.0
1,cell1 application4_ -25000pA,1,0.013251783893985843,1,1.0
2,cell1 application4_ -25000pA,1,0.005096839959225372,2,2.0
3,cell1 application4_ -25000pA,1,-0.016055045871559617,3,3.0
4,cell1 application4_ -25000pA,1,0.03185524974515802,4,4.0
5,cell1 application4_ -25000pA,1,-0.0025484199796125644,5,5.0
6,cell1 application4_ -25000pA,1,-0.012232415902140649,6,6.0
7,cell1 application4_ -25000pA,1,-0.00662589194699274,7,7.0
8,cell1 application4_ -25000pA,1,0.0632008154943935,8,8.0
9,cell1 application4_ -25000pA,1,0.11034658511722728,9,9.0
10,cell1 application4_ -25000pA,1,0.10015290519877679,10,10.0
11,cell1 application4_ -25000pA,1,0.13990825688073397,11,11.0
12,cell1 application4_ -25000pA,1,0.2191641182466872,12,12.0
13,cell1 application4_ -25000pA,1,0.18679918450560665,13,13.0
14,cell1 application4_ -25000pA,1,0.266309887869521,14,14.0
15,cell1 application4_ -25000pA,1,0.2622324159021407,15,15.0
16,cell1 application4_ -25000pA,1,0.26860346585117245,16,16.0
17,cell1 application4_ -25000pA,1,0.31600407747196757,17,17.0
18,cell1 application4_ -25000pA,1,0.35193679918450577,18,18.0
19,cell1 application4_ -25000pA,1,0.42507645259938853,19,19.0
20,cell1 application4_ -25000pA,1,0.41335372069317033,20,20.0
21,cell1 application4_ -25000pA,1,0.459480122324159,21,21.0
22,cell1 application4_ -25000pA,1,0.4500509683995923,22,22.0
23,cell1 application4_ -25000pA,1,0.43221202854230384,23,23.0
24,cell1 application4_ -25000pA,1,0.4918450560652396,24,24.0
25,cell1 application4_ -25000pA,1,0.4421508664627932,25,25.0
26,cell1 application4_ -25000pA,1,0.4910805300713558,26,26.0
27,cell1 application4_ -25000pA,1,0.4378185524974516,27,27.0
28,cell1 application4_ -25000pA,1,0.4317023445463814,28,28.0
29,cell1 application4_ -25000pA,1,0.35601427115188583,29,29.0
30,cell1 application4_ -25000pA,1,0.2851681957186545,30,30.0
31,cell1 application4_ -25000pA,1,0.2655453618756372,31,31.0
32,cell1 application4_ -25000pA,1,0.2280835881753313,32,32.0
33,cell1 application4_ -25000pA,1,0.21304791029561676,33,33.0
34,cell1 application4_ -25000pA,1,0.186289500509684,34,34.0
35,cell1 application4_ -25000pA,1,0.153414882772681,35,35.0
36,cell1 application4_ -25000pA,1,0.1704892966360857,36,36.0
37,cell1 application4_ -25000pA,1,0.15800203873598373,37,37.0
38,cell1 application4_ -25000pA,1,0.1088175331294598,38,38.0
39,cell1 application4_ -25000pA,1,0.13659531090723764,39,39.0
40,cell1 application4_ -25000pA,1,0.08205912334352715,40,40.0
41,cell1 application4_ -25000pA,1,0.08919469928644254,41,41.0
42,cell1 application4_ -25000pA,1,0.06498470948012246,42,42.0
43,cell1 application4_ -25000pA,1,0.08333333333333343,43,43.0
44,cell1 application4_ -25000pA,1,0.09556574923547408,44,44.0
45,cell1 application4_ -25000pA,1,0.0958205912334354,45,45.0
46,cell1 application4_ -25000pA,1,0.05479102956167183,46,46.0
47,cell1 application4_ -25000pA,1,0.030326197757390535,47,47.0
48,cell1 application4_ -25000pA,1,0.08995922528032628,48,48.0
49,cell1 application4_ -25000pA,1,0.04230377166156985,49,49.0
50,cell1 application4_ -25000pA,1,0.06651376146788994,50,50.0
51,cell1 application4_ -25000pA,1,0.0629459734964323,51,51.0
52,cell1 application4_ -25000pA,1,0.004077471967380297,52,52.0
53,cell1 application4_ -25000pA,1,-0.004077471967380176,53,53.0
54,cell1 application4_ -25000pA,1,-0.04102956167176345,54,54.0
55,cell1 application4_ -25000pA,1,0.022171253822630063,55,55.0
56,cell1 application4_ -25000pA,1,-0.0002548419979612079,56,56.0
57,cell1 application4_ -25000pA,1,-0.017838939857288436,57,57.0
58,cell1 application4_ -25000pA,1,0.024974515800203954,58,58.0
59,cell1 application4_ -25000pA,1,0.010958205912334366,60,59.0
60,cell1 application4_ -25000pA,2,0.012582144574451106,0,0.0
61,cell1 application4_ -25000pA,2,-0.015867927552492347,1,1.0
62,cell1 application4_ -25000pA,2,0.02380189132873863,2,2.0
63,cell1 application4_ -25000pA,2,-0.013730832932628211,3,3.0
64,cell1 application4_ -25000pA,2,-0.006785275418069176,4,4.0
65,cell1 application4_ -25000pA,2,-0.014665811828818837,5,5.0
66,cell1 application4_ -25000pA,2,-0.01934070630977197,6,6.0
67,cell1 application4_ -25000pA,2,0.02660682801731051,7,7.0
68,cell1 application4_ -25000pA,2,0.0840412459261634,8,8.0
69,cell1 application4_ -25000pA,2,0.13559865363038942,9,9.0
70,cell1 application4_ -25000pA,2,0.16912432547951067,10,10.0
71,cell1 application4_ -25000pA,2,0.2126676283592455,11,11.0
72,cell1 application4_ -25000pA,2,0.28279104557354273,12,12.0
73,cell1 application4_ -25000pA,2,0.27023561468183993,13,13.0
74,cell1 application4_ -25000pA,2,0.3415611476198109,14,14.0
75,cell1 application4_ -25000pA,2,0.4064753966981888,15,15.0
76,cell1 application4_ -25000pA,2,0.4227707431746541,16,16.0
77,cell1 application4_ -25000pA,2,0.44040177378853446,17,17.0
78,cell1 application4_ -25000pA,2,0.45295720468023726,18,18.0
79,cell1 application4_ -25000pA,2,0.5189400010685473,19,19.0
80,cell1 application4_ -25000pA,2,0.5539349254688252,20,20.0
81,cell1 application4_ -25000pA,2,0.5769086926323662,21,21.0
82,cell1 application4_ -25000pA,2,0.5509964203665118,22,22.0
83,cell1 application4_ -25000pA,2,0.6188491745472031,23,23.0
84,cell1 application4_ -25000pA,2,0.6183149008922368,24,24.0
85,cell1 application4_ -25000pA,2,0.5729016402201208,25,25.0
86,cell1 application4_ -25000pA,2,0.6069615857242078,26,26.0
87,cell1 application4_ -25000pA,2,0.6041566490356359,27,27.0
88,cell1 application4_ -25000pA,2,0.5103916225890901,28,28.0
89,cell1 application4_ -25000pA,2,0.49650050755997227,29,29.0
90,cell1 application4_ -25000pA,2,0.4091467649730191,30,30.0
91,cell1 application4_ -25000pA,2,0.35224662071913243,31,31.0
92,cell1 application4_ -25000pA,2,0.30656622321953303,32,32.0
93,cell1 application4_ -25000pA,2,0.2575466153763958,33,33.0
94,cell1 application4_ -25000pA,2,0.255008815515307,34,34.0
95,cell1 application4_ -25000pA,2,0.2241545119410161,35,35.0
96,cell1 application4_ -25000pA,2,0.19490302933162357,36,36.0
97,cell1 application4_ -25000pA,2,0.16311374686114224,37,37.0
98,cell1 application4_ -25000pA,2,0.17606988299406948,38,38.0
99,cell1 application4_ -25000pA,2,0.16939146230699353,39,39.0
100,cell1 application4_ -25000pA,2,0.16311374686114224,40,40.0
101,cell1 application4_ -25000pA,2,0.11516268632793719,41,41.0
102,cell1 application4_ -25000pA,2,0.13613292728535561,42,42.0
103,cell1 application4_ -25000pA,2,0.08844900357963344,43,43.0
104,cell1 application4_ -25000pA,2,0.09272319281936214,44,44.0
105,cell1 application4_ -25000pA,2,0.06360527862371095,45,45.0
106,cell1 application4_ -25000pA,2,0.06881444675963028,46,46.0
107,cell1 application4_ -25000pA,2,0.08457551958112938,47,47.0
108,cell1 application4_ -25000pA,2,0.10220655019500996,48,48.0
109,cell1 application4_ -25000pA,2,0.042768606080034265,49,49.0
110,cell1 application4_ -25000pA,2,0.06721162579473211,50,50.0
111,cell1 application4_ -25000pA,2,0.053320510765614046,51,51.0
112,cell1 application4_ -25000pA,2,0.02994603836084837,52,52.0
113,cell1 application4_ -25000pA,2,0.018325586365336204,53,53.0
114,cell1 application4_ -25000pA,2,0.020462680985200554,54,54.0
115,cell1 application4_ -25000pA,2,0.016989902227921145,55,55.0
116,cell1 application4_ -25000pA,2,-0.02107709568841168,56,56.0
117,cell1 application4_ -25000pA,2,-0.006651707004327627,57,57.0
118,cell1 application4_ -25000pA,2,0.011780734092001813,58,58.0
119,cell1 application4_ -25000pA,2,-0.006918843831810725,60,59.0
120,cell1 application4_ -25000pA,3,-0.015211565319140877,0,0.0
121,cell1 application4_ -25000pA,3,0.019325859661042544,1,1.0
122,cell1 application4_ -25000pA,3,-0.0010568829502132467,2,2.0
123,cell1 application4_ -25000pA,3,0.0044162608991054194,3,3.0
124,cell1 application4_ -25000pA,3,-0.007473672290793842,4,4.0
125,cell1 application4_ -25000pA,3,-0.008983505076812715,5,5.0
126,cell1 application4_ -25000pA,3,-0.016532669006907436,6,6.0
127,cell1 application4_ -25000pA,3,-0.021250896463216724,7,7.0
128,cell1 application4_ -25000pA,3,0.07971917110180055,8,8.0
129,cell1 application4_ -25000pA,3,0.08028535839655761,9,9.0
130,cell1 application4_ -25000pA,3,0.12444796738761181,10,10.0
131,cell1 application4_ -25000pA,3,0.1416223153285773,11,11.0
132,cell1 application4_ -25000pA,3,0.2159815800400106,12,12.0
133,cell1 application4_ -25000pA,3,0.2329671988827237,13,13.0
134,cell1 application4_ -25000pA,3,0.3165741894085229,14,14.0
135,cell1 application4_ -25000pA,3,0.2880760955724154,15,15.0
136,cell1 application4_ -25000pA,3,0.3639451930698675,16,16.0
137,cell1 application4_ -25000pA,3,0.3384667648057978,17,17.0
138,cell1 application4_ -25000pA,3,0.3777224172422904,18,18.0
139,cell1 application4_ -25000pA,3,0.4339636885214963,19,19.0
140,cell1 application4_ -25000pA,3,0.46906730079643677,20,20.0
141,cell1 application4_ -25000pA,3,0.43528479220926286,21,21.0
142,cell1 application4_ -25000pA,3,0.5007737893028347,22,22.0
143,cell1 application4_ -25000pA,3,0.5149284716717624,23,23.0
144,cell1 application4_ -25000pA,3,0.5187030536368097,24,24.0
145,cell1 application4_ -25000pA,3,0.521345261012343,25,25.0
146,cell1 application4_ -25000pA,3,0.5279507794511757,26,26.0
147,cell1 application4_ -25000pA,3,0.5287056958441853,27,27.0
148,cell1 application4_ -25000pA,3,0.4130147586154833,28,28.0
149,cell1 application4_ -25000pA,3,0.4320763975389727,29,29.0
150,cell1 application4_ -25000pA,3,0.31751783489978486,30,30.0
151,cell1 application4_ -25000pA,3,0.31128977465745666,31,31.0
152,cell1 application4_ -25000pA,3,0.23485448986524754,32,32.0
153,cell1 application4_ -25000pA,3,0.18767221530215536,33,33.0
154,cell1 application4_ -25000pA,3,0.23447703166874267,34,34.0
155,cell1 application4_ -25000pA,3,0.20899860340467297,35,35.0
156,cell1 application4_ -25000pA,3,0.14011248254255831,36,36.0
157,cell1 application4_ -25000pA,3,0.13067602762993996,37,37.0
158,cell1 application4_ -25000pA,3,0.135771713282754,38,38.0
159,cell1 application4_ -25000pA,3,0.08028535839655761,39,39.0
160,cell1 application4_ -25000pA,3,0.137281546068773,40,40.0
161,cell1 application4_ -25000pA,3,0.08500358585286678,41,41.0
162,cell1 application4_ -25000pA,3,0.10765107764315095,42,42.0
163,cell1 application4_ -25000pA,3,0.09557241535499948,43,43.0
164,cell1 application4_ -25000pA,3,0.07424602725248187,44,44.0
165,cell1 application4_ -25000pA,3,0.07915298380704348,45,45.0
166,cell1 application4_ -25000pA,3,0.07575586003850064,46,46.0
167,cell1 application4_ -25000pA,3,0.07254746536821045,47,47.0
168,cell1 application4_ -25000pA,3,0.03385800022647492,48,48.0
169,cell1 application4_ -25000pA,3,-0.009738421469822211,49,49.0
170,cell1 application4_ -25000pA,3,0.0006416789340580595,50,50.0
171,cell1 application4_ -25000pA,3,0.05971388668704938,51,51.0
172,cell1 application4_ -25000pA,3,0.031404521949194124,52,52.0
173,cell1 application4_ -25000pA,3,0.03687766579851279,53,53.0
174,cell1 application4_ -25000pA,3,0.0010191371305628073,54,54.0
175,cell1 application4_ -25000pA,3,-0.018231230891178743,55,55.0
176,cell1 application4_ -25000pA,3,-0.009927150568074526,56,56.0
177,cell1 application4_ -25000pA,3,-0.0529573849696146,57,57.0
178,cell1 application4_ -25000pA,3,-0.014267919827879066,58,58.0
179,cell1 application4_ -25000pA,3,-0.06031781980145701,60,59.0
180,cell1 application4_ -25000pA,4,-0.015474132478812597,0,0.0
181,cell1 application4_ -25000pA,4,-0.01378757853016817,1,1.0
182,cell1 application4_ -25000pA,4,0.0188894042248177,2,2.0
183,cell1 application4_ -25000pA,4,-0.04266981490070405,3,3.0
184,cell1 application4_ -25000pA,4,0.053042121684867494,4,4.0
185,cell1 application4_ -25000pA,4,0.02816545094236211,5,5.0
186,cell1 application4_ -25000pA,4,-0.00914955517139603,6,6.0
187,cell1 application4_ -25000pA,4,0.0005481300333095172,7,7.0
188,cell1 application4_ -25000pA,4,0.04229034026225917,8,8.0
189,cell1 application4_ -25000pA,4,0.11902854492558088,9,9.0
190,cell1 application4_ -25000pA,4,0.1670953324619471,10,10.0
191,cell1 application4_ -25000pA,4,0.1850149681662944,11,11.0
192,cell1 application4_ -25000pA,4,0.22928700931821075,12,12.0
193,cell1 application4_ -25000pA,4,0.22928700931821075,13,13.0
194,cell1 application4_ -25000pA,4,0.3015980098663407,14,14.0
195,cell1 application4_ -25000pA,4,0.30075473289201843,15,15.0
196,cell1 application4_ -25000pA,4,0.36737361386347345,16,16.0
197,cell1 application4_ -25000pA,4,0.3781253952860818,17,17.0
198,cell1 application4_ -25000pA,4,0.4032128852721678,18,18.0
199,cell1 application4_ -25000pA,4,0.4306193869376399,19,19.0
200,cell1 application4_ -25000pA,4,0.4866973057300671,20,20.0
201,cell1 application4_ -25000pA,4,0.5052493991651559,21,21.0
202,cell1 application4_ -25000pA,4,0.5265421427667918,22,22.0
203,cell1 application4_ -25000pA,4,0.5387696588944639,23,23.0
204,cell1 application4_ -25000pA,4,0.564278787367711,24,24.0
205,cell1 application4_ -25000pA,4,0.5484673440991695,25,25.0
206,cell1 application4_ -25000pA,4,0.5904203735716997,26,26.0
207,cell1 application4_ -25000pA,4,0.5176877345364086,27,27.0
208,cell1 application4_ -25000pA,4,0.443268541552473,28,28.0
209,cell1 application4_ -25000pA,4,0.3962558502340096,29,29.0
210,cell1 application4_ -25000pA,4,0.3810768646962096,30,30.0
211,cell1 application4_ -25000pA,4,0.31719863389130165,31,31.0
212,cell1 application4_ -25000pA,4,0.30729012944301565,32,32.0
213,cell1 application4_ -25000pA,4,0.22043260108782747,33,33.0
214,cell1 application4_ -25000pA,4,0.21895686638276343,34,34.0
215,cell1 application4_ -25000pA,4,0.1721549943078805,35,35.0
216,cell1 application4_ -25000pA,4,0.18058776405110277,36,36.0
217,cell1 application4_ -25000pA,4,0.1789012101024582,37,37.0
218,cell1 application4_ -25000pA,4,0.1784795716152972,38,38.0
219,cell1 application4_ -25000pA,4,0.13905637306573349,39,39.0
220,cell1 application4_ -25000pA,4,0.1247206645022558,40,40.0
221,cell1 application4_ -25000pA,4,0.12535312223299758,41,41.0
222,cell1 application4_ -25000pA,4,0.12935868786102808,42,42.0
223,cell1 application4_ -25000pA,4,0.10427119787494206,43,43.0
224,cell1 application4_ -25000pA,4,0.11692035248977532,44,44.0
225,cell1 application4_ -25000pA,4,0.07412404604292289,45,45.0
226,cell1 application4_ -25000pA,4,0.08065944259392009,46,46.0
227,cell1 application4_ -25000pA,4,0.09288695872159221,47,47.0
228,cell1 application4_ -25000pA,4,0.08719483914491728,48,48.0
229,cell1 application4_ -25000pA,4,0.05430703714635078,49,49.0
230,cell1 application4_ -25000pA,4,0.07349158831218124,50,50.0
231,cell1 application4_ -25000pA,4,0.09267613947801158,51,51.0
232,cell1 application4_ -25000pA,4,0.046506725133870296,52,52.0
233,cell1 application4_ -25000pA,4,0.03680903992916487,53,53.0
234,cell1 application4_ -25000pA,4,0.00392123793059837,54,54.0
235,cell1 application4_ -25000pA,4,0.024581523801492623,55,55.0
236,cell1 application4_ -25000pA,4,0.009402538263692787,56,56.0
237,cell1 application4_ -25000pA,4,0.005818611122823428,57,57.0
238,cell1 application4_ -25000pA,4,0.013618923135303915,58,58.0
239,cell1 application4_ -25000pA,4,0.005607791879242797,60,59.0
