,id,roi,int,index,time
0,cell1 application 4,1,0.01098758559561592,0,0.0
1,cell1 application 4,1,0.017013733130840352,1,1.0
2,cell1 application 4,1,-0.008090711085409055,2,2.0
3,cell1 application 4,1,-0.011171342560815416,3,3.0
4,cell1 application 4,1,-0.008739265080231392,4,4.0
5,cell1 application 4,1,-0.017981159506450267,5,5.0
6,cell1 application 4,1,-0.003064417625535683,6,6.0
7,cell1 application 4,1,-0.002199678965772498,7,7.0
8,cell1 application 4,1,0.0023401989979840694,8,8.0
9,cell1 application 4,1,0.0037183762369817166,9,9.0
10,cell1 application 4,1,0.0033670761564529935,10,10.0
11,cell1 application 4,1,0.015446394310019722,11,11.0
12,cell1 application 4,1,0.014770817232079727,12,12.0
13,cell1 application 4,1,0.018283818037367578,13,13.0
14,cell1 application 4,1,0.013257524577494205,14,14.0
15,cell1 application 4,1,0.05314359525907032,15,15.0
16,cell1 application 4,1,0.05546758040718392,16,16.0
17,cell1 application 4,1,0.02522875039859051,17,17.0
18,cell1 application 4,1,0.03682165305604064,18,18.0
19,cell1 application 4,1,0.031471082598755994,19,19.0
20,cell1 application 4,1,0.018959395115307573,20,20.0
21,cell1 application 4,1,0.04152366951850274,21,21.0
22,cell1 application 4,1,0.04395574699908676,22,22.0
23,cell1 application 4,1,0.09130018862112027,23,23.0
24,cell1 application 4,1,0.09335394293805771,24,24.0
25,cell1 application 4,1,0.08481464867289648,25,25.0
26,cell1 application 4,1,0.09392142768352728,26,26.0
27,cell1 application 4,1,0.09470509709393769,27,27.0
28,cell1 application 4,1,0.0934890583536458,28,28.0
29,cell1 application 4,1,0.08592259508071796,29,29.0
30,cell1 application 4,1,0.09413761234846812,30,30.0
31,cell1 application 4,1,0.0698979067919817,31,31.0
32,cell1 application 4,1,0.08565236424954202,32,32.0
33,cell1 application 4,1,0.0696546990439234,33,33.0
34,cell1 application 4,1,0.07989644754549333,34,34.0
35,cell1 application 4,1,0.07492420025185527,35,35.0
36,cell1 application 4,1,0.09175958103411942,36,36.0
37,cell1 application 4,1,0.0766807006544991,37,37.0
38,cell1 application 4,1,0.06406092083858046,38,38.0
39,cell1 application 4,1,0.05441368016559754,39,39.0
40,cell1 application 4,1,0.059602112124176446,40,40.0
41,cell1 application 4,1,0.04984677911872332,41,41.0
42,cell1 application 4,1,0.05684575764618136,42,42.0
43,cell1 application 4,1,0.06327725142817003,43,43.0
44,cell1 application 4,1,0.04825241721478503,44,44.0
45,cell1 application 4,1,0.06260167435023004,45,45.0
46,cell1 application 4,1,0.045090716490025905,46,46.0
47,cell1 application 4,1,0.05546758040718392,47,47.0
48,cell1 application 4,1,0.03603798364563022,48,48.0
49,cell1 application 4,1,0.028066174125938363,49,49.0
50,cell1 application 4,1,0.03603798364563022,50,50.0
51,cell1 application 4,1,0.0273095277986456,51,51.0
52,cell1 application 4,1,0.03406529857804534,52,52.0
53,cell1 application 4,1,0.026390742972647308,53,53.0
54,cell1 application 4,1,0.026444789138882416,54,54.0
55,cell1 application 4,1,0.02268858058553627,55,55.0
56,cell1 application 4,1,0.03144405951563834,56,56.0
57,cell1 application 4,1,0.005447853556508087,57,57.0
58,cell1 application 4,1,0.009014900528031045,58,58.0
59,cell1 application 4,1,-0.013468304625811356,60,59.0
60,cell1 application 4,2,0.0132691408670694,0,0.0
61,cell1 application 4,2,0.002188873708510068,1,1.0
62,cell1 application 4,2,-0.011980821987308928,2,2.0
63,cell1 application 4,2,0.0017358783218150997,3,3.0
64,cell1 application 4,2,-0.005213070910085873,4,4.0
65,cell1 application 4,2,-0.006871034025389534,5,5.0
66,cell1 application 4,2,-0.00622778057628263,6,6.0
67,cell1 application 4,2,0.0013372423815235413,7,7.0
68,cell1 application 4,2,-0.0011632921530327451,8,8.0
69,cell1 application 4,2,0.0030948644819000053,9,9.0
70,cell1 application 4,2,0.004191113317701878,10,10.0
71,cell1 application 4,2,0.0040189750707578615,11,11.0
72,cell1 application 4,2,0.007389260747768478,12,12.0
73,cell1 application 4,2,0.012073233046194608,13,13.0
74,cell1 application 4,2,0.015135481860252684,14,14.0
75,cell1 application 4,2,0.020236209914438176,15,15.0
76,cell1 application 4,2,0.038120467781156055,16,16.0
77,cell1 application 4,2,0.01732797953185643,17,17.0
78,cell1 application 4,2,0.017771915010817495,18,18.0
79,cell1 application 4,2,0.01854200716819891,19,19.0
80,cell1 application 4,2,0.0133597399444083,20,20.0
81,cell1 application 4,2,0.02833576742854443,21,21.0
82,cell1 application 4,2,0.02771063379490533,22,22.0
83,cell1 application 4,2,0.052842817848743055,23,23.0
84,cell1 application 4,2,0.05499001598167729,24,24.0
85,cell1 application 4,2,0.06391402509956837,25,25.0
86,cell1 application 4,2,0.06976672549566747,26,26.0
87,cell1 application 4,2,0.06453009882547345,27,27.0
88,cell1 application 4,2,0.07766696503962789,28,28.0
89,cell1 application 4,2,0.048575601306076285,29,29.0
90,cell1 application 4,2,0.05696507586766739,30,30.0
91,cell1 application 4,2,0.05613156435614844,31,31.0
92,cell1 application 4,2,0.061522209457818784,32,32.0
93,cell1 application 4,2,0.049780569034684974,33,33.0
94,cell1 application 4,2,0.05225392384603944,34,34.0
95,cell1 application 4,2,0.056992255590869095,35,35.0
96,cell1 application 4,2,0.0672752508688452,36,36.0
97,cell1 application 4,2,0.052471361631653085,37,37.0
98,cell1 application 4,2,0.03022928814492942,38,38.0
99,cell1 application 4,2,0.033499914836867234,39,39.0
100,cell1 application 4,2,0.030111509344388814,40,40.0
101,cell1 application 4,2,0.041282375580287044,41,41.0
102,cell1 application 4,2,0.02993031118971078,42,42.0
103,cell1 application 4,2,0.03022928814492942,43,43.0
104,cell1 application 4,2,0.031860071537031374,44,44.0
105,cell1 application 4,2,0.027176099238605245,45,45.0
106,cell1 application 4,2,0.03151579504314323,46,46.0
107,cell1 application 4,2,0.025490956400099997,47,47.0
108,cell1 application 4,2,0.024639325073113352,48,48.0
109,cell1 application 4,2,0.01352281828361853,49,49.0
110,cell1 application 4,2,0.011529638582160624,50,50.0
111,cell1 application 4,2,0.011493398951225016,51,51.0
112,cell1 application 4,2,0.017753795195349694,52,52.0
