,id,roi,int,dist,index,time
0,24_05_16_04_xform_Eapp,1,0.067,176,0,0.0
1,24_05_16_04_xform_Eapp,1,0.0543,176,1,10.0
2,24_05_16_04_xform_Eapp,1,0.0708,176,2,20.0
3,24_05_16_04_xform_Eapp,1,0.0562,176,3,30.0
4,24_05_16_04_xform_Eapp,1,0.0715,176,4,40.0
5,24_05_16_04_xform_Eapp,1,0.086,176,5,50.0
6,24_05_16_04_xform_Eapp,1,0.07,176,6,60.0
7,24_05_16_04_xform_Eapp,1,0.0705,176,7,70.0
8,24_05_16_04_xform_Eapp,1,0.0822,176,8,80.0
9,24_05_16_04_xform_Eapp,1,0.0733,176,9,90.0
10,24_05_16_04_xform_Eapp,1,0.0919,176,10,100.0
11,24_05_16_04_xform_Eapp,1,0.0833,176,11,110.0
12,24_05_16_04_xform_Eapp,1,0.0848,176,12,120.0
13,24_05_16_04_xform_Eapp,1,0.0922,176,13,130.0
14,24_05_16_04_xform_Eapp,1,0.0775,176,14,140.0
15,24_05_16_04_xform_Eapp,1,0.0911,176,15,150.0
16,24_05_16_04_xform_Eapp,1,0.0857,176,16,160.0
17,24_05_16_04_xform_Eapp,1,0.0931,176,17,170.0
18,24_05_16_04_xform_Eapp,1,0.1114,176,18,180.0
19,24_05_16_04_xform_Eapp,1,0.1006,176,19,190.0
20,24_05_16_04_xform_Eapp,1,0.0949,176,20,200.0
21,24_05_16_04_xform_Eapp,1,0.0927,176,21,210.0
22,24_05_16_04_xform_Eapp,1,0.0892,176,22,220.0
23,24_05_16_04_xform_Eapp,1,0.0873,176,23,230.0
24,24_05_16_04_xform_Eapp,1,0.1104,176,24,240.0
25,24_05_16_04_xform_Eapp,1,0.0995,176,25,250.0
26,24_05_16_04_xform_Eapp,1,0.0935,176,26,260.0
27,24_05_16_04_xform_Eapp,1,0.0826,176,27,270.0
28,24_05_16_04_xform_Eapp,1,0.0911,176,28,280.0
29,24_05_16_04_xform_Eapp,1,0.0955,176,30,290.0
30,24_05_16_04_xform_Eapp,2,0.0231,184,0,0.0
31,24_05_16_04_xform_Eapp,2,0.0281,184,1,10.0
32,24_05_16_04_xform_Eapp,2,0.0286,184,2,20.0
33,24_05_16_04_xform_Eapp,2,0.0303,184,3,30.0
34,24_05_16_04_xform_Eapp,2,0.0255,184,4,40.0
35,24_05_16_04_xform_Eapp,2,0.0348,184,5,50.0
36,24_05_16_04_xform_Eapp,2,0.0265,184,6,60.0
37,24_05_16_04_xform_Eapp,2,0.0285,184,7,70.0
38,24_05_16_04_xform_Eapp,2,0.0483,184,8,80.0
39,24_05_16_04_xform_Eapp,2,0.0449,184,9,90.0
40,24_05_16_04_xform_Eapp,2,0.0557,184,10,100.0
41,24_05_16_04_xform_Eapp,2,0.0648,184,11,110.0
42,24_05_16_04_xform_Eapp,2,0.0603,184,12,120.0
43,24_05_16_04_xform_Eapp,2,0.0556,184,13,130.0
44,24_05_16_04_xform_Eapp,2,0.0724,184,14,140.0
45,24_05_16_04_xform_Eapp,2,0.0695,184,15,150.0
