,id,roi,int,dist,index,time
0,24_05_16_04_xform_Eapp,1,-0.0823,73,0,0.0
1,24_05_16_04_xform_Eapp,1,0.0611,73,1,10.0
2,24_05_16_04_xform_Eapp,1,0.0451,73,2,20.0
3,24_05_16_04_xform_Eapp,1,-0.0239,73,3,30.0
4,24_05_16_04_xform_Eapp,1,-0.0041,73,4,40.0
5,24_05_16_04_xform_Eapp,1,0.1272,73,5,50.0
6,24_05_16_04_xform_Eapp,1,-0.027,73,6,60.0
7,24_05_16_04_xform_Eapp,1,-0.2863,73,7,70.0
8,24_05_16_04_xform_Eapp,1,0.0126,73,8,80.0
9,24_05_16_04_xform_Eapp,1,-0.0235,73,9,90.0
10,24_05_16_04_xform_Eapp,1,0.0766,73,10,100.0
11,24_05_16_04_xform_Eapp,1,0.034,73,11,110.0
12,24_05_16_04_xform_Eapp,1,0.136,73,12,120.0
13,24_05_16_04_xform_Eapp,1,0.0693,73,13,130.0
14,24_05_16_04_xform_Eapp,1,0.1552,73,14,140.0
15,24_05_16_04_xform_Eapp,1,0.3174,73,15,150.0
16,24_05_16_04_xform_Eapp,1,0.3299,73,16,160.0
17,24_05_16_04_xform_Eapp,1,0.3428,73,17,170.0
18,24_05_16_04_xform_Eapp,1,0.3238,73,18,180.0
19,24_05_16_04_xform_Eapp,1,0.4546,73,19,190.0
20,24_05_16_04_xform_Eapp,1,0.2878,73,20,200.0
21,24_05_16_04_xform_Eapp,1,0.1322,73,21,210.0
22,24_05_16_04_xform_Eapp,1,0.3357,73,22,220.0
23,24_05_16_04_xform_Eapp,1,0.4369,73,23,230.0
24,24_05_16_04_xform_Eapp,1,0.4331,73,24,240.0
25,24_05_16_04_xform_Eapp,1,0.2618,73,25,250.0
26,24_05_16_04_xform_Eapp,1,0.3252,73,26,260.0
27,24_05_16_04_xform_Eapp,1,0.3894,73,27,270.0
28,24_05_16_04_xform_Eapp,1,0.263,73,28,280.0
29,24_05_16_04_xform_Eapp,1,0.1173,73,30,290.0
30,24_05_16_04_xform_Eapp,2,-0.0903,81,0,0.0
31,24_05_16_04_xform_Eapp,2,0.0287,81,1,10.0
32,24_05_16_04_xform_Eapp,2,0.0335,81,2,20.0
33,24_05_16_04_xform_Eapp,2,0.028,81,3,30.0
34,24_05_16_04_xform_Eapp,2,0.0303,81,4,40.0
35,24_05_16_04_xform_Eapp,2,0.0186,81,5,50.0
36,24_05_16_04_xform_Eapp,2,0.1441,81,6,60.0
37,24_05_16_04_xform_Eapp,2,-0.1592,81,7,70.0
38,24_05_16_04_xform_Eapp,2,-0.0617,81,8,80.0
39,24_05_16_04_xform_Eapp,2,0.3003,81,9,90.0
40,24_05_16_04_xform_Eapp,2,0.4356,81,10,100.0
41,24_05_16_04_xform_Eapp,2,0.5283,81,11,110.0
42,24_05_16_04_xform_Eapp,2,0.6187,81,12,120.0
43,24_05_16_04_xform_Eapp,2,0.4329,81,13,130.0
44,24_05_16_04_xform_Eapp,2,0.4426,81,14,140.0
45,24_05_16_04_xform_Eapp,2,0.932,81,15,150.0
46,24_05_16_04_xform_Eapp,2,0.5835,81,16,160.0
