,id,roi,int,dist,index,time
0,24_05_16_04_xform_ch0,1,0.06,176,0,0.0
1,24_05_16_04_xform_ch0,1,-0.0019,176,1,10.0
2,24_05_16_04_xform_ch0,1,-0.0511,176,2,20.0
3,24_05_16_04_xform_ch0,1,-0.007,176,3,30.0
4,24_05_16_04_xform_ch0,1,-0.004,176,4,40.0
5,24_05_16_04_xform_ch0,1,-0.0392,176,5,50.0
6,24_05_16_04_xform_ch0,1,-0.035,176,6,60.0
7,24_05_16_04_xform_ch0,1,0.1351,176,7,70.0
8,24_05_16_04_xform_ch0,1,0.0503,176,8,80.0
9,24_05_16_04_xform_ch0,1,0.0261,176,9,90.0
10,24_05_16_04_xform_ch0,1,0.0218,176,10,100.0
11,24_05_16_04_xform_ch0,1,0.0129,176,11,110.0
12,24_05_16_04_xform_ch0,1,-0.0006,176,12,120.0
13,24_05_16_04_xform_ch0,1,-0.0045,176,13,130.0
14,24_05_16_04_xform_ch0,1,-0.052,176,14,140.0
15,24_05_16_04_xform_ch0,1,-0.0766,176,15,150.0
16,24_05_16_04_xform_ch0,1,-0.127,176,16,160.0
17,24_05_16_04_xform_ch0,1,-0.1478,176,17,170.0
18,24_05_16_04_xform_ch0,1,-0.1334,176,18,180.0
19,24_05_16_04_xform_ch0,1,-0.158,176,19,190.0
20,24_05_16_04_xform_ch0,1,-0.1869,176,20,200.0
21,24_05_16_04_xform_ch0,1,-0.1266,176,21,210.0
22,24_05_16_04_xform_ch0,1,-0.133,176,22,220.0
23,24_05_16_04_xform_ch0,1,-0.1245,176,23,230.0
24,24_05_16_04_xform_ch0,1,-0.211,176,24,240.0
25,24_05_16_04_xform_ch0,1,-0.1949,176,25,250.0
26,24_05_16_04_xform_ch0,1,-0.1364,176,26,260.0
27,24_05_16_04_xform_ch0,1,-0.1457,176,27,270.0
28,24_05_16_04_xform_ch0,1,-0.1648,176,28,280.0
29,24_05_16_04_xform_ch0,1,-0.2255,176,30,290.0
30,24_05_16_04_xform_ch0,2,0.0441,184,0,0.0
31,24_05_16_04_xform_ch0,2,-0.0061,184,1,10.0
32,24_05_16_04_xform_ch0,2,-0.0123,184,2,20.0
33,24_05_16_04_xform_ch0,2,-0.0257,184,3,30.0
34,24_05_16_04_xform_ch0,2,-0.0046,184,4,40.0
35,24_05_16_04_xform_ch0,2,-0.0381,184,5,50.0
36,24_05_16_04_xform_ch0,2,-0.0206,184,6,60.0
37,24_05_16_04_xform_ch0,2,0.0477,184,7,70.0
38,24_05_16_04_xform_ch0,2,-0.0352,184,8,80.0
39,24_05_16_04_xform_ch0,2,-0.0384,184,9,90.0
40,24_05_16_04_xform_ch0,2,-0.057,184,10,100.0
41,24_05_16_04_xform_ch0,2,-0.1366,184,11,110.0
42,24_05_16_04_xform_ch0,2,-0.1079,184,12,120.0
43,24_05_16_04_xform_ch0,2,-0.1173,184,13,130.0
44,24_05_16_04_xform_ch0,2,-0.1922,184,14,140.0
45,24_05_16_04_xform_ch0,2,-0.1879,184,15,150.0
46,24_05_16_04_xform_ch0,2,-0.2017,184,16,160.0
47,24_05_16_04_xform_ch0,2,-0.2351,184,17,170.0
48,24_05_16_04_xform_ch0,2,-0.2217,184,18,180.0
49,24_05_16_04_xform_ch0,2,-0.2006,184,19,190.0
50,24_05_16_04_xform_ch0,2,-0.2108,184,20,200.0
51,24_05_16_04_xform_ch0,2,-0.2068,184,21,210.0
52,24_05_16_04_xform_ch0,2,-0.1504,184,22,220.0
53,24_05_16_04_xform_ch0,2,-0.1849,184,23,230.0
54,24_05_16_04_xform_ch0,2,-0.2002,184,24,240.0
55,24_05_16_04_xform_ch0,2,-0.1991,184,25,250.0
56,24_05_16_04_xform_ch0,2,-0.2017,184,26,260.0
57,24_05_16_04_xform_ch0,2,-0.2169,184,27,270.0
58,24_05_16_04_xform_ch0,2,-0.1817,184,28,280.0
59,24_05_16_04_xform_ch0,2,-0.1708,184,30,290.0
60,24_05_16_04_xform_ch0,3,-0.0185,246,0,0.0
61,24_05_16_04_xform_ch0,3,0.0153,246,1,10.0
62,24_05_16_04_xform_ch0,3,0.0069,246,2,20.0
63,24_05_16_04_xform_ch0,3,-0.0037,246,3,30.0
64,24_05_16_04_xform_ch0,3,-0.0233,246,4,40.0
65,24_05_16_04_xform_ch0,3,-0.014,246,5,50.0
66,24_05_16_04_xform_ch0,3,-0.0191,246,6,60.0
67,24_05_16_04_xform_ch0,3,0.0799,246,7,70.0
68,24_05_16_04_xform_ch0,3,0.0322,246,8,80.0
69,24_05_16_04_xform_ch0,3,-0.0426,246,9,90.0
70,24_05_16_04_xform_ch0,3,-0.0387,246,10,100.0
71,24_05_16_04_xform_ch0,3,-0.0946,246,11,110.0
72,24_05_16_04_xform_ch0,3,-0.0746,246,12,120.0
73,24_05_16_04_xform_ch0,3,-0.1722,246,13,130.0
74,24_05_16_04_xform_ch0,3,-0.187,246,14,140.0
75,24_05_16_04_xform_ch0,3,-0.2452,246,15,150.0
76,24_05_16_04_xform_ch0,3,-0.1788,246,16,160.0
77,24_05_16_04_xform_ch0,3,-0.1806,246,17,170.0
78,24_05_16_04_xform_ch0,3,-0.1954,246,18,180.0
79,24_05_16_04_xform_ch0,3,-0.19,246,19,190.0
80,24_05_16_04_xform_ch0,3,-0.2008,246,20,200.0
81,24_05_16_04_xform_ch0,3,-0.1691,246,21,210.0
82,24_05_16_04_xform_ch0,3,-0.1707,246,22,220.0
83,24_05_16_04_xform_ch0,3,-0.1803,246,23,230.0
84,24_05_16_04_xform_ch0,3,-0.1867,246,24,240.0
85,24_05_16_04_xform_ch0,3,-0.1954,246,25,250.0
