,id,roi,int,dist,index,time
0,24_05_16_08_xform_ch0,1,199.8108,121,0,0.0
1,24_05_16_08_xform_ch0,1,188.8108,121,1,10.0
2,24_05_16_08_xform_ch0,1,187.7568,121,2,20.0
3,24_05_16_08_xform_ch0,1,195.5946,121,3,30.0
4,24_05_16_08_xform_ch0,1,203.973,121,4,40.0
5,24_05_16_08_xform_ch0,1,207.4054,121,5,50.0
6,24_05_16_08_xform_ch0,1,201.8919,121,6,60.0
7,24_05_16_08_xform_ch0,1,205.5946,121,7,70.0
8,24_05_16_08_xform_ch0,1,209.2162,121,8,80.0
9,24_05_16_08_xform_ch0,1,214.2703,121,9,90.0
10,24_05_16_08_xform_ch0,1,222.7297,121,10,100.0
11,24_05_16_08_xform_ch0,1,223.7027,121,11,110.0
12,24_05_16_08_xform_ch0,1,212.027,121,12,120.0
13,24_05_16_08_xform_ch0,1,215.5135,121,13,130.0
14,24_05_16_08_xform_ch0,1,204.5135,121,14,140.0
15,24_05_16_08_xform_ch0,1,200.7838,121,15,150.0
16,24_05_16_08_xform_ch0,1,199.4054,121,16,160.0
17,24_05_16_08_xform_ch0,1,186.2703,121,17,170.0
18,24_05_16_08_xform_ch0,1,175.6757,121,18,180.0
19,24_05_16_08_xform_ch0,1,187.7027,121,19,190.0
20,24_05_16_08_xform_ch0,1,188.7297,121,20,200.0
21,24_05_16_08_xform_ch0,1,177.6216,121,21,210.0
22,24_05_16_08_xform_ch0,1,177.8108,121,22,220.0
23,24_05_16_08_xform_ch0,1,186.9189,121,23,230.0
24,24_05_16_08_xform_ch0,1,190.5135,121,24,240.0
25,24_05_16_08_xform_ch0,1,187.8378,121,25,250.0
26,24_05_16_08_xform_ch0,1,178.9459,121,26,260.0
27,24_05_16_08_xform_ch0,1,177.2703,121,27,270.0
28,24_05_16_08_xform_ch0,1,184.5946,121,28,280.0
29,24_05_16_08_xform_ch0,1,182.2703,121,30,290.0
30,24_05_16_08_xform_ch0,2,135.2703,104,0,0.0
31,24_05_16_08_xform_ch0,2,130.2973,104,1,10.0
32,24_05_16_08_xform_ch0,2,133.5135,104,2,20.0
33,24_05_16_08_xform_ch0,2,126.3784,104,3,30.0
34,24_05_16_08_xform_ch0,2,128.5405,104,4,40.0
35,24_05_16_08_xform_ch0,2,129.1892,104,5,50.0
36,24_05_16_08_xform_ch0,2,131.4324,104,6,60.0
37,24_05_16_08_xform_ch0,2,168.2432,104,7,70.0
38,24_05_16_08_xform_ch0,2,185.1351,104,8,80.0
39,24_05_16_08_xform_ch0,2,191.2162,104,9,90.0
40,24_05_16_08_xform_ch0,2,229.4324,104,10,100.0
41,24_05_16_08_xform_ch0,2,259.1892,104,11,110.0
42,24_05_16_08_xform_ch0,2,245.8108,104,12,120.0
43,24_05_16_08_xform_ch0,2,198.2162,104,13,130.0
44,24_05_16_08_xform_ch0,2,185.1892,104,14,140.0
45,24_05_16_08_xform_ch0,2,183.0541,104,15,150.0
46,24_05_16_08_xform_ch0,2,162.5676,104,16,160.0
47,24_05_16_08_xform_ch0,2,155.6216,104,17,170.0
48,24_05_16_08_xform_ch0,2,180.5405,104,18,180.0
49,24_05_16_08_xform_ch0,2,188.5676,104,19,190.0
50,24_05_16_08_xform_ch0,2,182.8649,104,20,200.0
51,24_05_16_08_xform_ch0,2,168.0541,104,21,210.0
52,24_05_16_08_xform_ch0,2,147.1892,104,22,220.0
53,24_05_16_08_xform_ch0,2,141.027,104,23,230.0
54,24_05_16_08_xform_ch0,2,133.5946,104,24,240.0
55,24_05_16_08_xform_ch0,2,137.9189,104,25,250.0
56,24_05_16_08_xform_ch0,2,133.1622,104,26,260.0
57,24_05_16_08_xform_ch0,2,130.2162,104,27,270.0
58,24_05_16_08_xform_ch0,2,127.1081,104,28,280.0
59,24_05_16_08_xform_ch0,2,133.8108,104,30,290.0
60,24_05_16_08_xform_ch0,3,156.1081,85,0,0.0
61,24_05_16_08_xform_ch0,3,151.1892,85,1,10.0
62,24_05_16_08_xform_ch0,3,150.9459,85,2,20.0
63,24_05_16_08_xform_ch0,3,149.9459,85,3,30.0
64,24_05_16_08_xform_ch0,3,173.1081,85,4,40.0
65,24_05_16_08_xform_ch0,3,176.4865,85,5,50.0
66,24_05_16_08_xform_ch0,3,175.5405,85,6,60.0
67,24_05_16_08_xform_ch0,3,188.2432,85,7,70.0
68,24_05_16_08_xform_ch0,3,228.2703,85,8,80.0
69,24_05_16_08_xform_ch0,3,210.027,85,9,90.0
70,24_05_16_08_xform_ch0,3,215.2973,85,10,100.0
71,24_05_16_08_xform_ch0,3,246.027,85,11,110.0
72,24_05_16_08_xform_ch0,3,237.1081,85,12,120.0
73,24_05_16_08_xform_ch0,3,212.3784,85,13,130.0
74,24_05_16_08_xform_ch0,3,198.7838,85,14,140.0
75,24_05_16_08_xform_ch0,3,222.973,85,15,150.0
76,24_05_16_08_xform_ch0,3,209.8649,85,16,160.0
77,24_05_16_08_xform_ch0,3,208.1081,85,17,170.0
78,24_05_16_08_xform_ch0,3,223.7838,85,18,180.0
79,24_05_16_08_xform_ch0,3,216.1351,85,19,190.0
80,24_05_16_08_xform_ch0,3,200.8378,85,20,200.0
81,24_05_16_08_xform_ch0,3,198.7027,85,21,210.0
82,24_05_16_08_xform_ch0,3,222.9189,85,22,220.0
83,24_05_16_08_xform_ch0,3,224.8649,85,23,230.0
84,24_05_16_08_xform_ch0,3,215.5405,85,24,240.0
85,24_05_16_08_xform_ch0,3,215.9189,85,25,250.0
86,24_05_16_08_xform_ch0,3,237.2973,85,26,260.0
87,24_05_16_08_xform_ch0,3,216.2432,85,27,270.0
88,24_05_16_08_xform_ch0,3,187.3514,85,28,280.0
89,24_05_16_08_xform_ch0,3,167.1081,85,30,290.0
90,24_05_16_08_xform_ch0,4,203.1892,61,0,0.0
91,24_05_16_08_xform_ch0,4,184.7568,61,1,10.0
92,24_05_16_08_xform_ch0,4,187.4865,61,2,20.0
93,24_05_16_08_xform_ch0,4,189.973,61,3,30.0
94,24_05_16_08_xform_ch0,4,176.5676,61,4,40.0
95,24_05_16_08_xform_ch0,4,185.2703,61,5,50.0
96,24_05_16_08_xform_ch0,4,184.973,61,6,60.0
97,24_05_16_08_xform_ch0,4,233.973,61,7,70.0
98,24_05_16_08_xform_ch0,4,258.4865,61,8,80.0
99,24_05_16_08_xform_ch0,4,267.7027,61,9,90.0
100,24_05_16_08_xform_ch0,4,273.9459,61,10,100.0
101,24_05_16_08_xform_ch0,4,290.2432,61,11,110.0
102,24_05_16_08_xform_ch0,4,289.0811,61,12,120.0
103,24_05_16_08_xform_ch0,4,196.2973,61,13,130.0
104,24_05_16_08_xform_ch0,4,191.1892,61,14,140.0
105,24_05_16_08_xform_ch0,4,187.3243,61,15,150.0
106,24_05_16_08_xform_ch0,4,191.2973,61,16,160.0
107,24_05_16_08_xform_ch0,4,183.1081,61,17,170.0
108,24_05_16_08_xform_ch0,4,182.7568,61,18,180.0
109,24_05_16_08_xform_ch0,4,184.3514,61,19,190.0
110,24_05_16_08_xform_ch0,4,198.7838,61,20,200.0
111,24_05_16_08_xform_ch0,4,198.8108,61,21,210.0
112,24_05_16_08_xform_ch0,4,199.5405,61,22,220.0
113,24_05_16_08_xform_ch0,4,206.2703,61,23,230.0
114,24_05_16_08_xform_ch0,4,205.5946,61,24,240.0
115,24_05_16_08_xform_ch0,4,200.6216,61,25,250.0
116,24_05_16_08_xform_ch0,4,200.1081,61,26,260.0
117,24_05_16_08_xform_ch0,4,214.8649,61,27,270.0
118,24_05_16_08_xform_ch0,4,228.3243,61,28,280.0
119,24_05_16_08_xform_ch0,4,211.6216,61,30,290.0
120,24_05_16_08_xform_ch0,5,146.3784,127,0,0.0
121,24_05_16_08_xform_ch0,5,140.0811,127,1,10.0
122,24_05_16_08_xform_ch0,5,148.4865,127,2,20.0
123,24_05_16_08_xform_ch0,5,146.5135,127,3,30.0
124,24_05_16_08_xform_ch0,5,141.1351,127,4,40.0
125,24_05_16_08_xform_ch0,5,138.4595,127,5,50.0
126,24_05_16_08_xform_ch0,5,139.8378,127,6,60.0
127,24_05_16_08_xform_ch0,5,153.6486,127,7,70.0
128,24_05_16_08_xform_ch0,5,151.2432,127,8,80.0
129,24_05_16_08_xform_ch0,5,148.7568,127,9,90.0
130,24_05_16_08_xform_ch0,5,152.8378,127,10,100.0
131,24_05_16_08_xform_ch0,5,162.5676,127,11,110.0
132,24_05_16_08_xform_ch0,5,165.9459,127,12,120.0
133,24_05_16_08_xform_ch0,5,168.8378,127,13,130.0
134,24_05_16_08_xform_ch0,5,165.3243,127,14,140.0
135,24_05_16_08_xform_ch0,5,164.9459,127,15,150.0
136,24_05_16_08_xform_ch0,5,161.8919,127,16,160.0
137,24_05_16_08_xform_ch0,5,141.3784,127,17,170.0
138,24_05_16_08_xform_ch0,5,135.2162,127,18,180.0
139,24_05_16_08_xform_ch0,5,133.7568,127,19,190.0
140,24_05_16_08_xform_ch0,5,130.4865,127,20,200.0
141,24_05_16_08_xform_ch0,5,125.0541,127,21,210.0
142,24_05_16_08_xform_ch0,5,121.5946,127,22,220.0
143,24_05_16_08_xform_ch0,5,118.5676,127,23,230.0
144,24_05_16_08_xform_ch0,5,121.027,127,24,240.0
145,24_05_16_08_xform_ch0,5,121.3784,127,25,250.0
146,24_05_16_08_xform_ch0,5,113.9459,127,26,260.0
147,24_05_16_08_xform_ch0,5,114.9189,127,27,270.0
148,24_05_16_08_xform_ch0,5,106.7568,127,28,280.0
149,24_05_16_08_xform_ch0,5,107.5946,127,30,290.0
150,24_05_16_08_xform_ch0,6,192.6757,87,0,0.0
151,24_05_16_08_xform_ch0,6,180.3514,87,1,10.0
152,24_05_16_08_xform_ch0,6,181.7568,87,2,20.0
153,24_05_16_08_xform_ch0,6,180.5405,87,3,30.0
154,24_05_16_08_xform_ch0,6,177.5135,87,4,40.0
155,24_05_16_08_xform_ch0,6,176.6486,87,5,50.0
156,24_05_16_08_xform_ch0,6,179.5676,87,6,60.0
157,24_05_16_08_xform_ch0,6,244.5676,87,7,70.0
158,24_05_16_08_xform_ch0,6,275.4595,87,8,80.0
159,24_05_16_08_xform_ch0,6,316.6757,87,9,90.0
160,24_05_16_08_xform_ch0,6,398.4324,87,10,100.0
161,24_05_16_08_xform_ch0,6,433.2432,87,11,110.0
162,24_05_16_08_xform_ch0,6,466.6757,87,12,120.0
163,24_05_16_08_xform_ch0,6,416.9459,87,13,130.0
164,24_05_16_08_xform_ch0,6,403.3784,87,14,140.0
165,24_05_16_08_xform_ch0,6,362.5676,87,15,150.0
166,24_05_16_08_xform_ch0,6,358.1081,87,16,160.0
167,24_05_16_08_xform_ch0,6,338.7297,87,17,170.0
168,24_05_16_08_xform_ch0,6,324.2703,87,18,180.0
169,24_05_16_08_xform_ch0,6,313.5946,87,19,190.0
170,24_05_16_08_xform_ch0,6,286.1351,87,20,200.0
171,24_05_16_08_xform_ch0,6,271.1081,87,21,210.0
172,24_05_16_08_xform_ch0,6,276.8919,87,22,220.0
173,24_05_16_08_xform_ch0,6,312.0,87,23,230.0
174,24_05_16_08_xform_ch0,6,327.3514,87,24,240.0
175,24_05_16_08_xform_ch0,6,319.3514,87,25,250.0
176,24_05_16_08_xform_ch0,6,323.9459,87,26,260.0
177,24_05_16_08_xform_ch0,6,319.0,87,27,270.0
178,24_05_16_08_xform_ch0,6,310.9189,87,28,280.0
179,24_05_16_08_xform_ch0,6,310.1892,87,30,290.0
