,id,roi,int,dist,index,time
0,24_05_16_09_xform_Eapp,1,0.0,319,0,0.0
1,24_05_16_09_xform_Eapp,1,0.0,319,1,10.0
2,24_05_16_09_xform_Eapp,1,0.0,319,2,20.0
3,24_05_16_09_xform_Eapp,1,0.0,319,3,30.0
4,24_05_16_09_xform_Eapp,1,0.0,319,4,40.0
5,24_05_16_09_xform_Eapp,1,0.0,319,5,50.0
6,24_05_16_09_xform_Eapp,1,0.0,319,6,60.0
7,24_05_16_09_xform_Eapp,1,0.0,319,7,70.0
8,24_05_16_09_xform_Eapp,1,0.0,319,8,80.0
9,24_05_16_09_xform_Eapp,1,0.0,319,9,90.0
10,24_05_16_09_xform_Eapp,1,0.0,319,10,100.0
11,24_05_16_09_xform_Eapp,1,0.0,319,11,110.0
12,24_05_16_09_xform_Eapp,1,0.0001,319,12,120.0
13,24_05_16_09_xform_Eapp,1,0.0,319,13,130.0
14,24_05_16_09_xform_Eapp,1,0.0002,319,14,140.0
15,24_05_16_09_xform_Eapp,1,0.0001,319,15,150.0
16,24_05_16_09_xform_Eapp,1,0.0,319,16,160.0
17,24_05_16_09_xform_Eapp,1,0.0,319,17,170.0
18,24_05_16_09_xform_Eapp,1,0.0,319,18,180.0
19,24_05_16_09_xform_Eapp,1,0.0001,319,19,190.0
20,24_05_16_09_xform_Eapp,1,0.0001,319,20,200.0
21,24_05_16_09_xform_Eapp,1,0.0,319,21,210.0
22,24_05_16_09_xform_Eapp,1,0.0,319,22,220.0
23,24_05_16_09_xform_Eapp,1,0.0,319,23,230.0
24,24_05_16_09_xform_Eapp,1,0.0001,319,24,240.0
25,24_05_16_09_xform_Eapp,1,0.0002,319,25,250.0
26,24_05_16_09_xform_Eapp,1,0.0,319,26,260.0
27,24_05_16_09_xform_Eapp,1,0.0,319,27,270.0
28,24_05_16_09_xform_Eapp,1,0.0001,319,28,280.0
29,24_05_16_09_xform_Eapp,1,0.0,319,30,290.0
30,24_05_16_09_xform_Eapp,2,0.0002,121,0,0.0
31,24_05_16_09_xform_Eapp,2,0.0008,121,1,10.0
32,24_05_16_09_xform_Eapp,2,0.0009,121,2,20.0
33,24_05_16_09_xform_Eapp,2,0.0003,121,3,30.0
34,24_05_16_09_xform_Eapp,2,0.0005,121,4,40.0
35,24_05_16_09_xform_Eapp,2,0.0007,121,5,50.0
36,24_05_16_09_xform_Eapp,2,0.001,121,6,60.0
37,24_05_16_09_xform_Eapp,2,0.0005,121,7,70.0
38,24_05_16_09_xform_Eapp,2,0.0002,121,8,80.0
39,24_05_16_09_xform_Eapp,2,0.0008,121,9,90.0
40,24_05_16_09_xform_Eapp,2,0.0009,121,10,100.0
41,24_05_16_09_xform_Eapp,2,0.0013,121,11,110.0
42,24_05_16_09_xform_Eapp,2,0.0003,121,12,120.0
43,24_05_16_09_xform_Eapp,2,0.0019,121,13,130.0
44,24_05_16_09_xform_Eapp,2,0.0024,121,14,140.0
45,24_05_16_09_xform_Eapp,2,0.0019,121,15,150.0
46,24_05_16_09_xform_Eapp,2,0.002,121,16,160.0
47,24_05_16_09_xform_Eapp,2,0.0019,121,17,170.0
48,24_05_16_09_xform_Eapp,2,0.0009,121,18,180.0
49,24_05_16_09_xform_Eapp,2,0.0009,121,19,190.0
50,24_05_16_09_xform_Eapp,2,0.001,121,20,200.0
51,24_05_16_09_xform_Eapp,2,0.0003,121,21,210.0
52,24_05_16_09_xform_Eapp,2,0.001,121,22,220.0
53,24_05_16_09_xform_Eapp,2,0.0007,121,23,230.0
54,24_05_16_09_xform_Eapp,2,0.0006,121,24,240.0
55,24_05_16_09_xform_Eapp,2,0.001,121,25,250.0
56,24_05_16_09_xform_Eapp,2,0.0009,121,26,260.0
57,24_05_16_09_xform_Eapp,2,0.0012,121,27,270.0
58,24_05_16_09_xform_Eapp,2,0.0014,121,28,280.0
59,24_05_16_09_xform_Eapp,2,0.0006,121,30,290.0
60,24_05_16_09_xform_Eapp,3,0.0093,107,0,0.0
61,24_05_16_09_xform_Eapp,3,0.0075,107,1,10.0
62,24_05_16_09_xform_Eapp,3,0.0082,107,2,20.0
63,24_05_16_09_xform_Eapp,3,0.0061,107,3,30.0
64,24_05_16_09_xform_Eapp,3,0.0061,107,4,40.0
65,24_05_16_09_xform_Eapp,3,0.0051,107,5,50.0
66,24_05_16_09_xform_Eapp,3,0.0093,107,6,60.0
67,24_05_16_09_xform_Eapp,3,0.0072,107,7,70.0
68,24_05_16_09_xform_Eapp,3,0.0023,107,8,80.0
69,24_05_16_09_xform_Eapp,3,0.0065,107,9,90.0
70,24_05_16_09_xform_Eapp,3,0.0052,107,10,100.0
71,24_05_16_09_xform_Eapp,3,0.0019,107,11,110.0
72,24_05_16_09_xform_Eapp,3,0.0056,107,12,120.0
73,24_05_16_09_xform_Eapp,3,0.0081,107,13,130.0
74,24_05_16_09_xform_Eapp,3,0.0042,107,14,140.0
75,24_05_16_09_xform_Eapp,3,0.0073,107,15,150.0
76,24_05_16_09_xform_Eapp,3,0.0097,107,16,160.0
77,24_05_16_09_xform_Eapp,3,0.0093,107,17,170.0
78,24_05_16_09_xform_Eapp,3,0.0079,107,18,180.0
79,24_05_16_09_xform_Eapp,3,0.0097,107,19,190.0
80,24_05_16_09_xform_Eapp,3,0.0074,107,20,200.0
81,24_05_16_09_xform_Eapp,3,0.0062,107,21,210.0
82,24_05_16_09_xform_Eapp,3,0.0075,107,22,220.0
83,24_05_16_09_xform_Eapp,3,0.0075,107,23,230.0
84,24_05_16_09_xform_Eapp,3,0.0061,107,24,240.0
85,24_05_16_09_xform_Eapp,3,0.01,107,25,250.0
86,24_05_16_09_xform_Eapp,3,0.0077,107,26,260.0
87,24_05_16_09_xform_Eapp,3,0.0052,107,27,270.0
88,24_05_16_09_xform_Eapp,3,0.0057,107,28,280.0
89,24_05_16_09_xform_Eapp,3,0.0103,107,30,290.0
90,24_05_16_09_xform_Eapp,4,0.001,91,0,0.0
91,24_05_16_09_xform_Eapp,4,0.0013,91,1,10.0
92,24_05_16_09_xform_Eapp,4,0.0009,91,2,20.0
93,24_05_16_09_xform_Eapp,4,0.0011,91,3,30.0
94,24_05_16_09_xform_Eapp,4,0.0008,91,4,40.0
95,24_05_16_09_xform_Eapp,4,0.0008,91,5,50.0
96,24_05_16_09_xform_Eapp,4,0.0009,91,6,60.0
97,24_05_16_09_xform_Eapp,4,0.0009,91,7,70.0
98,24_05_16_09_xform_Eapp,4,0.0009,91,8,80.0
99,24_05_16_09_xform_Eapp,4,0.0013,91,9,90.0
100,24_05_16_09_xform_Eapp,4,0.002,91,10,100.0
101,24_05_16_09_xform_Eapp,4,0.0018,91,11,110.0
102,24_05_16_09_xform_Eapp,4,0.0011,91,12,120.0
103,24_05_16_09_xform_Eapp,4,0.0014,91,13,130.0
104,24_05_16_09_xform_Eapp,4,0.0021,91,14,140.0
105,24_05_16_09_xform_Eapp,4,0.0014,91,15,150.0
106,24_05_16_09_xform_Eapp,4,0.0017,91,16,160.0
107,24_05_16_09_xform_Eapp,4,0.0011,91,17,170.0
108,24_05_16_09_xform_Eapp,4,0.0023,91,18,180.0
109,24_05_16_09_xform_Eapp,4,0.0025,91,19,190.0
110,24_05_16_09_xform_Eapp,4,0.0018,91,20,200.0
111,24_05_16_09_xform_Eapp,4,0.0016,91,21,210.0
112,24_05_16_09_xform_Eapp,4,0.0012,91,22,220.0
113,24_05_16_09_xform_Eapp,4,0.0034,91,23,230.0
114,24_05_16_09_xform_Eapp,4,0.0025,91,24,240.0
115,24_05_16_09_xform_Eapp,4,0.0022,91,25,250.0
116,24_05_16_09_xform_Eapp,4,0.0012,91,26,260.0
117,24_05_16_09_xform_Eapp,4,0.0018,91,27,270.0
118,24_05_16_09_xform_Eapp,4,0.0012,91,28,280.0
119,24_05_16_09_xform_Eapp,4,0.0013,91,30,290.0
120,24_05_16_09_xform_Eapp,5,0.001,94,0,0.0
121,24_05_16_09_xform_Eapp,5,0.0028,94,1,10.0
122,24_05_16_09_xform_Eapp,5,0.0031,94,2,20.0
123,24_05_16_09_xform_Eapp,5,0.0037,94,3,30.0
124,24_05_16_09_xform_Eapp,5,0.0056,94,4,40.0
125,24_05_16_09_xform_Eapp,5,0.0049,94,5,50.0
126,24_05_16_09_xform_Eapp,5,0.0078,94,6,60.0
127,24_05_16_09_xform_Eapp,5,0.0032,94,7,70.0
128,24_05_16_09_xform_Eapp,5,0.0029,94,8,80.0
129,24_05_16_09_xform_Eapp,5,0.0039,94,9,90.0
130,24_05_16_09_xform_Eapp,5,0.0055,94,10,100.0
131,24_05_16_09_xform_Eapp,5,0.0041,94,11,110.0
132,24_05_16_09_xform_Eapp,5,0.0061,94,12,120.0
133,24_05_16_09_xform_Eapp,5,0.0048,94,13,130.0
134,24_05_16_09_xform_Eapp,5,0.0041,94,14,140.0
135,24_05_16_09_xform_Eapp,5,0.0036,94,15,150.0
136,24_05_16_09_xform_Eapp,5,0.0055,94,16,160.0
137,24_05_16_09_xform_Eapp,5,0.0054,94,17,170.0
138,24_05_16_09_xform_Eapp,5,0.0041,94,18,180.0
139,24_05_16_09_xform_Eapp,5,0.0047,94,19,190.0
140,24_05_16_09_xform_Eapp,5,0.0034,94,20,200.0
141,24_05_16_09_xform_Eapp,5,0.0018,94,21,210.0
142,24_05_16_09_xform_Eapp,5,0.0049,94,22,220.0
143,24_05_16_09_xform_Eapp,5,0.0051,94,23,230.0
144,24_05_16_09_xform_Eapp,5,0.0045,94,24,240.0
145,24_05_16_09_xform_Eapp,5,0.0029,94,25,250.0
146,24_05_16_09_xform_Eapp,5,0.0068,94,26,260.0
147,24_05_16_09_xform_Eapp,5,0.0034,94,27,270.0
148,24_05_16_09_xform_Eapp,5,0.0024,94,28,280.0
149,24_05_16_09_xform_Eapp,5,0.0054,94,30,290.0
150,24_05_16_09_xform_Eapp,6,0.0042,59,0,0.0
151,24_05_16_09_xform_Eapp,6,0.0077,59,1,10.0
152,24_05_16_09_xform_Eapp,6,0.0071,59,2,20.0
153,24_05_16_09_xform_Eapp,6,0.0067,59,3,30.0
154,24_05_16_09_xform_Eapp,6,0.006,59,4,40.0
155,24_05_16_09_xform_Eapp,6,0.0075,59,5,50.0
156,24_05_16_09_xform_Eapp,6,0.0102,59,6,60.0
157,24_05_16_09_xform_Eapp,6,0.0087,59,7,70.0
158,24_05_16_09_xform_Eapp,6,0.005,59,8,80.0
159,24_05_16_09_xform_Eapp,6,0.0075,59,9,90.0
160,24_05_16_09_xform_Eapp,6,0.006,59,10,100.0
161,24_05_16_09_xform_Eapp,6,0.0086,59,11,110.0
162,24_05_16_09_xform_Eapp,6,0.0053,59,12,120.0
163,24_05_16_09_xform_Eapp,6,0.0066,59,13,130.0
164,24_05_16_09_xform_Eapp,6,0.0067,59,14,140.0
165,24_05_16_09_xform_Eapp,6,0.0077,59,15,150.0
166,24_05_16_09_xform_Eapp,6,0.0097,59,16,160.0
167,24_05_16_09_xform_Eapp,6,0.0085,59,17,170.0
168,24_05_16_09_xform_Eapp,6,0.0069,59,18,180.0
169,24_05_16_09_xform_Eapp,6,0.0063,59,19,190.0
170,24_05_16_09_xform_Eapp,6,0.0078,59,20,200.0
171,24_05_16_09_xform_Eapp,6,0.0098,59,21,210.0
172,24_05_16_09_xform_Eapp,6,0.0101,59,22,220.0
173,24_05_16_09_xform_Eapp,6,0.0102,59,23,230.0
174,24_05_16_09_xform_Eapp,6,0.0086,59,24,240.0
175,24_05_16_09_xform_Eapp,6,0.0096,59,25,250.0
176,24_05_16_09_xform_Eapp,6,0.0086,59,26,260.0
177,24_05_16_09_xform_Eapp,6,0.011,59,27,270.0
178,24_05_16_09_xform_Eapp,6,0.0101,59,28,280.0
179,24_05_16_09_xform_Eapp,6,0.0087,59,30,290.0
180,24_05_16_09_xform_Eapp,7,0.0082,70,0,0.0
181,24_05_16_09_xform_Eapp,7,0.0068,70,1,10.0
182,24_05_16_09_xform_Eapp,7,0.0114,70,2,20.0
183,24_05_16_09_xform_Eapp,7,0.0067,70,3,30.0
184,24_05_16_09_xform_Eapp,7,0.0064,70,4,40.0
185,24_05_16_09_xform_Eapp,7,0.0056,70,5,50.0
186,24_05_16_09_xform_Eapp,7,0.0039,70,6,60.0
187,24_05_16_09_xform_Eapp,7,0.0018,70,7,70.0
188,24_05_16_09_xform_Eapp,7,0.0009,70,8,80.0
189,24_05_16_09_xform_Eapp,7,0.0026,70,9,90.0
190,24_05_16_09_xform_Eapp,7,0.0028,70,10,100.0
191,24_05_16_09_xform_Eapp,7,0.0018,70,11,110.0
192,24_05_16_09_xform_Eapp,7,0.0047,70,12,120.0
193,24_05_16_09_xform_Eapp,7,0.0015,70,13,130.0
194,24_05_16_09_xform_Eapp,7,0.0014,70,14,140.0
195,24_05_16_09_xform_Eapp,7,0.0032,70,15,150.0
196,24_05_16_09_xform_Eapp,7,0.0024,70,16,160.0
197,24_05_16_09_xform_Eapp,7,0.0022,70,17,170.0
198,24_05_16_09_xform_Eapp,7,0.0031,70,18,180.0
199,24_05_16_09_xform_Eapp,7,0.0039,70,19,190.0
200,24_05_16_09_xform_Eapp,7,0.0012,70,20,200.0
201,24_05_16_09_xform_Eapp,7,0.0018,70,21,210.0
202,24_05_16_09_xform_Eapp,7,0.0028,70,22,220.0
203,24_05_16_09_xform_Eapp,7,0.0036,70,23,230.0
204,24_05_16_09_xform_Eapp,7,0.0043,70,24,240.0
205,24_05_16_09_xform_Eapp,7,0.0061,70,25,250.0
206,24_05_16_09_xform_Eapp,7,0.0021,70,26,260.0
207,24_05_16_09_xform_Eapp,7,0.0015,70,27,270.0
208,24_05_16_09_xform_Eapp,7,0.0028,70,28,280.0
209,24_05_16_09_xform_Eapp,7,0.0039,70,30,290.0
210,24_05_16_09_xform_Eapp,8,0.0024,28,0,0.0
211,24_05_16_09_xform_Eapp,8,0.0022,28,1,10.0
212,24_05_16_09_xform_Eapp,8,0.0025,28,2,20.0
