,id,roi,int,dist,index,time
0,24_05_22_04_xform_ch0,1,0.0269,361,0,0.0
1,24_05_22_04_xform_ch0,1,-0.0095,361,1,10.0
2,24_05_22_04_xform_ch0,1,-0.0215,361,2,20.0
3,24_05_22_04_xform_ch0,1,0.0041,361,3,30.0
4,24_05_22_04_xform_ch0,1,0.0029,361,4,40.0
5,24_05_22_04_xform_ch0,1,0.0017,361,5,50.0
6,24_05_22_04_xform_ch0,1,-0.0198,361,6,60.0
7,24_05_22_04_xform_ch0,1,0.0711,361,7,70.0
8,24_05_22_04_xform_ch0,1,0.1163,361,8,80.0
9,24_05_22_04_xform_ch0,1,0.0612,361,9,90.0
10,24_05_22_04_xform_ch0,1,0.0575,361,10,100.0
11,24_05_22_04_xform_ch0,1,0.0775,361,11,110.0
12,24_05_22_04_xform_ch0,1,0.0455,361,12,120.0
13,24_05_22_04_xform_ch0,1,-0.1396,361,13,130.0
14,24_05_22_04_xform_ch0,1,-0.1692,361,14,140.0
15,24_05_22_04_xform_ch0,1,-0.1435,361,15,150.0
16,24_05_22_04_xform_ch0,1,-0.1524,361,16,160.0
17,24_05_22_04_xform_ch0,1,-0.1329,361,17,170.0
18,24_05_22_04_xform_ch0,1,-0.1413,361,18,180.0
19,24_05_22_04_xform_ch0,1,-0.1342,361,19,190.0
20,24_05_22_04_xform_ch0,1,-0.1278,361,20,200.0
21,24_05_22_04_xform_ch0,1,-0.1076,361,21,210.0
22,24_05_22_04_xform_ch0,1,-0.0992,361,22,220.0
23,24_05_22_04_xform_ch0,1,-0.0973,361,23,230.0
24,24_05_22_04_xform_ch0,1,-0.0932,361,24,240.0
25,24_05_22_04_xform_ch0,1,-0.0802,361,25,250.0
26,24_05_22_04_xform_ch0,1,-0.0793,361,26,260.0
27,24_05_22_04_xform_ch0,1,-0.0973,361,27,270.0
28,24_05_22_04_xform_ch0,1,-0.121,361,28,280.0
29,24_05_22_04_xform_ch0,1,-0.137,361,30,290.0
30,24_05_22_04_xform_ch0,2,0.0128,338,0,0.0
31,24_05_22_04_xform_ch0,2,-0.0127,338,1,10.0
32,24_05_22_04_xform_ch0,2,0.0055,338,2,20.0
33,24_05_22_04_xform_ch0,2,-0.0056,338,3,30.0
34,24_05_22_04_xform_ch0,2,0.0124,338,4,40.0
35,24_05_22_04_xform_ch0,2,-0.0088,338,5,50.0
36,24_05_22_04_xform_ch0,2,-0.0083,338,6,60.0
37,24_05_22_04_xform_ch0,2,0.1233,338,7,70.0
38,24_05_22_04_xform_ch0,2,0.1511,338,8,80.0
39,24_05_22_04_xform_ch0,2,0.1906,338,9,90.0
40,24_05_22_04_xform_ch0,2,0.1801,338,10,100.0
41,24_05_22_04_xform_ch0,2,0.1233,338,11,110.0
42,24_05_22_04_xform_ch0,2,0.0771,338,12,120.0
43,24_05_22_04_xform_ch0,2,0.0007,338,13,130.0
44,24_05_22_04_xform_ch0,2,-0.0761,338,14,140.0
45,24_05_22_04_xform_ch0,2,-0.0844,338,15,150.0
46,24_05_22_04_xform_ch0,2,-0.0957,338,16,160.0
47,24_05_22_04_xform_ch0,2,-0.0664,338,17,170.0
48,24_05_22_04_xform_ch0,2,-0.0753,338,18,180.0
49,24_05_22_04_xform_ch0,2,-0.0516,338,19,190.0
50,24_05_22_04_xform_ch0,2,-0.0748,338,20,200.0
51,24_05_22_04_xform_ch0,2,-0.061,338,21,210.0
52,24_05_22_04_xform_ch0,2,-0.066,338,22,220.0
53,24_05_22_04_xform_ch0,2,-0.0573,338,23,230.0
54,24_05_22_04_xform_ch0,2,-0.0802,338,24,240.0
55,24_05_22_04_xform_ch0,2,-0.0756,338,25,250.0
56,24_05_22_04_xform_ch0,2,-0.086,338,26,260.0
57,24_05_22_04_xform_ch0,2,-0.0637,338,27,270.0
58,24_05_22_04_xform_ch0,2,-0.0909,338,28,280.0
59,24_05_22_04_xform_ch0,2,-0.0936,338,30,290.0
60,24_05_22_04_xform_ch0,3,0.0165,350,0,0.0
61,24_05_22_04_xform_ch0,3,-0.0148,350,1,10.0
62,24_05_22_04_xform_ch0,3,-0.0035,350,2,20.0
63,24_05_22_04_xform_ch0,3,0.0019,350,3,30.0
64,24_05_22_04_xform_ch0,3,-0.0013,350,4,40.0
65,24_05_22_04_xform_ch0,3,-0.0114,350,5,50.0
66,24_05_22_04_xform_ch0,3,-0.0132,350,6,60.0
67,24_05_22_04_xform_ch0,3,0.0693,350,7,70.0
68,24_05_22_04_xform_ch0,3,0.0848,350,8,80.0
69,24_05_22_04_xform_ch0,3,0.0298,350,9,90.0
