,id,roi,int,dist,index,time
0,24_05_22_06_xform_Eapp,1,0.3732,90,0,0.0
1,24_05_22_06_xform_Eapp,1,0.4438,90,1,10.0
2,24_05_22_06_xform_Eapp,1,-1.0,90,2,20.0
3,24_05_22_06_xform_Eapp,1,0.7729,90,3,30.0
4,24_05_22_06_xform_Eapp,1,-0.5899,90,4,40.0
5,24_05_22_06_xform_Eapp,1,1.7806,90,5,50.0
6,24_05_22_06_xform_Eapp,1,0.2715,90,6,60.0
7,24_05_22_06_xform_Eapp,1,13.4324,90,7,70.0
8,24_05_22_06_xform_Eapp,1,16.4888,90,8,80.0
9,24_05_22_06_xform_Eapp,1,15.8397,90,9,90.0
10,24_05_22_06_xform_Eapp,1,15.7502,90,10,100.0
11,24_05_22_06_xform_Eapp,1,20.7801,90,11,110.0
12,24_05_22_06_xform_Eapp,1,14.8533,90,12,120.0
13,24_05_22_06_xform_Eapp,1,25.6936,90,13,130.0
14,24_05_22_06_xform_Eapp,1,19.4565,90,14,140.0
15,24_05_22_06_xform_Eapp,1,18.8849,90,15,150.0
16,24_05_22_06_xform_Eapp,1,23.8852,90,16,160.0
17,24_05_22_06_xform_Eapp,1,20.9507,90,17,170.0
18,24_05_22_06_xform_Eapp,1,15.7356,90,18,180.0
19,24_05_22_06_xform_Eapp,1,11.9699,90,19,190.0
20,24_05_22_06_xform_Eapp,1,16.831,90,20,200.0
21,24_05_22_06_xform_Eapp,1,26.4196,90,21,210.0
22,24_05_22_06_xform_Eapp,1,30.8757,90,22,220.0
23,24_05_22_06_xform_Eapp,1,20.2728,90,23,230.0
24,24_05_22_06_xform_Eapp,1,11.3774,90,24,240.0
25,24_05_22_06_xform_Eapp,1,26.3055,90,25,250.0
26,24_05_22_06_xform_Eapp,1,24.1651,90,26,260.0
27,24_05_22_06_xform_Eapp,1,18.6215,90,27,270.0
28,24_05_22_06_xform_Eapp,1,16.7846,90,28,280.0
29,24_05_22_06_xform_Eapp,1,74.5569,90,30,290.0
30,24_05_22_06_xform_Eapp,2,-0.1064,39,0,0.0
31,24_05_22_06_xform_Eapp,2,0.1521,39,1,10.0
32,24_05_22_06_xform_Eapp,2,-0.163,39,2,20.0
33,24_05_22_06_xform_Eapp,2,0.1719,39,3,30.0
34,24_05_22_06_xform_Eapp,2,-0.0545,39,4,40.0
35,24_05_22_06_xform_Eapp,2,0.2544,39,5,50.0
36,24_05_22_06_xform_Eapp,2,-0.1917,39,6,60.0
37,24_05_22_06_xform_Eapp,2,0.1034,39,7,70.0
38,24_05_22_06_xform_Eapp,2,-0.105,39,8,80.0
39,24_05_22_06_xform_Eapp,2,0.3822,39,9,90.0
40,24_05_22_06_xform_Eapp,2,0.785,39,10,100.0
41,24_05_22_06_xform_Eapp,2,0.682,39,11,110.0
42,24_05_22_06_xform_Eapp,2,0.901,39,12,120.0
43,24_05_22_06_xform_Eapp,2,1.118,39,13,130.0
44,24_05_22_06_xform_Eapp,2,0.5884,39,14,140.0
45,24_05_22_06_xform_Eapp,2,0.5633,39,15,150.0
46,24_05_22_06_xform_Eapp,2,0.7113,39,16,160.0
47,24_05_22_06_xform_Eapp,2,0.9374,39,17,170.0
48,24_05_22_06_xform_Eapp,2,0.7084,39,18,180.0
49,24_05_22_06_xform_Eapp,2,0.9909,39,19,190.0
50,24_05_22_06_xform_Eapp,2,1.0329,39,20,200.0
51,24_05_22_06_xform_Eapp,2,0.9568,39,21,210.0
52,24_05_22_06_xform_Eapp,2,0.4231,39,22,220.0
53,24_05_22_06_xform_Eapp,2,0.8816,39,23,230.0
54,24_05_22_06_xform_Eapp,2,0.927,39,24,240.0
55,24_05_22_06_xform_Eapp,2,1.2572,39,25,250.0
56,24_05_22_06_xform_Eapp,2,1.0851,39,26,260.0
57,24_05_22_06_xform_Eapp,2,1.1201,39,27,270.0
58,24_05_22_06_xform_Eapp,2,1.2576,39,28,280.0
59,24_05_22_06_xform_Eapp,2,1.7074,39,30,290.0
60,24_05_22_06_xform_Eapp,3,0.0805,123,0,0.0
61,24_05_22_06_xform_Eapp,3,0.0568,123,1,10.0
62,24_05_22_06_xform_Eapp,3,-0.4082,123,2,20.0
63,24_05_22_06_xform_Eapp,3,0.2099,123,3,30.0
64,24_05_22_06_xform_Eapp,3,0.0611,123,4,40.0
65,24_05_22_06_xform_Eapp,3,-0.1434,123,5,50.0
66,24_05_22_06_xform_Eapp,3,-0.4078,123,6,60.0
67,24_05_22_06_xform_Eapp,3,0.4415,123,7,70.0
68,24_05_22_06_xform_Eapp,3,0.1458,123,8,80.0
69,24_05_22_06_xform_Eapp,3,0.3213,123,9,90.0
70,24_05_22_06_xform_Eapp,3,0.4061,123,10,100.0
71,24_05_22_06_xform_Eapp,3,0.9076,123,11,110.0
72,24_05_22_06_xform_Eapp,3,0.4419,123,12,120.0
73,24_05_22_06_xform_Eapp,3,0.9238,123,13,130.0
74,24_05_22_06_xform_Eapp,3,0.6822,123,14,140.0
75,24_05_22_06_xform_Eapp,3,0.8908,123,15,150.0
76,24_05_22_06_xform_Eapp,3,0.74,123,16,160.0
77,24_05_22_06_xform_Eapp,3,0.9582,123,17,170.0
78,24_05_22_06_xform_Eapp,3,0.9414,123,18,180.0
79,24_05_22_06_xform_Eapp,3,1.0743,123,19,190.0
80,24_05_22_06_xform_Eapp,3,0.3005,123,20,200.0
81,24_05_22_06_xform_Eapp,3,0.8454,123,21,210.0
82,24_05_22_06_xform_Eapp,3,0.4649,123,22,220.0
83,24_05_22_06_xform_Eapp,3,1.3373,123,23,230.0
84,24_05_22_06_xform_Eapp,3,1.2078,123,24,240.0
85,24_05_22_06_xform_Eapp,3,0.7116,123,25,250.0
86,24_05_22_06_xform_Eapp,3,0.6904,123,26,260.0
87,24_05_22_06_xform_Eapp,3,0.7158,123,27,270.0
88,24_05_22_06_xform_Eapp,3,0.9832,123,28,280.0
89,24_05_22_06_xform_Eapp,3,1.3651,123,30,290.0
90,24_05_22_06_xform_Eapp,4,-0.1678,27,0,0.0
91,24_05_22_06_xform_Eapp,4,0.1751,27,1,10.0
92,24_05_22_06_xform_Eapp,4,-0.0433,27,2,20.0
93,24_05_22_06_xform_Eapp,4,0.0575,27,3,30.0
94,24_05_22_06_xform_Eapp,4,-0.0215,27,4,40.0
95,24_05_22_06_xform_Eapp,4,0.2561,27,5,50.0
96,24_05_22_06_xform_Eapp,4,0.2365,27,6,60.0
97,24_05_22_06_xform_Eapp,4,0.208,27,7,70.0
98,24_05_22_06_xform_Eapp,4,0.3581,27,8,80.0
99,24_05_22_06_xform_Eapp,4,0.5438,27,9,90.0
100,24_05_22_06_xform_Eapp,4,0.6253,27,10,100.0
101,24_05_22_06_xform_Eapp,4,0.7505,27,11,110.0
102,24_05_22_06_xform_Eapp,4,0.5756,27,12,120.0
103,24_05_22_06_xform_Eapp,4,0.8524,27,13,130.0
104,24_05_22_06_xform_Eapp,4,0.6597,27,14,140.0
105,24_05_22_06_xform_Eapp,4,1.4096,27,15,150.0
106,24_05_22_06_xform_Eapp,4,0.8332,27,16,160.0
107,24_05_22_06_xform_Eapp,4,0.7909,27,17,170.0
108,24_05_22_06_xform_Eapp,4,0.6807,27,18,180.0
109,24_05_22_06_xform_Eapp,4,0.7986,27,19,190.0
110,24_05_22_06_xform_Eapp,4,0.6688,27,20,200.0
111,24_05_22_06_xform_Eapp,4,0.8737,27,21,210.0
112,24_05_22_06_xform_Eapp,4,1.2493,27,22,220.0
113,24_05_22_06_xform_Eapp,4,1.1603,27,23,230.0
114,24_05_22_06_xform_Eapp,4,0.9221,27,24,240.0
115,24_05_22_06_xform_Eapp,4,1.1938,27,25,250.0
116,24_05_22_06_xform_Eapp,4,1.1126,27,26,260.0
117,24_05_22_06_xform_Eapp,4,0.6682,27,27,270.0
118,24_05_22_06_xform_Eapp,4,0.8623,27,28,280.0
119,24_05_22_06_xform_Eapp,4,1.6211,27,30,290.0
120,24_05_22_06_xform_Eapp,5,-0.1696,108,0,0.0
121,24_05_22_06_xform_Eapp,5,0.3935,108,1,10.0
122,24_05_22_06_xform_Eapp,5,-0.4326,108,2,20.0
123,24_05_22_06_xform_Eapp,5,-0.313,108,3,30.0
124,24_05_22_06_xform_Eapp,5,0.5217,108,4,40.0
125,24_05_22_06_xform_Eapp,5,-0.5303,108,5,50.0
126,24_05_22_06_xform_Eapp,5,0.5427,108,6,60.0
127,24_05_22_06_xform_Eapp,5,0.4717,108,7,70.0
128,24_05_22_06_xform_Eapp,5,1.3308,108,8,80.0
129,24_05_22_06_xform_Eapp,5,0.8494,108,9,90.0
130,24_05_22_06_xform_Eapp,5,1.719,108,10,100.0
131,24_05_22_06_xform_Eapp,5,2.3656,108,11,110.0
132,24_05_22_06_xform_Eapp,5,1.3236,108,12,120.0
133,24_05_22_06_xform_Eapp,5,1.4968,108,13,130.0
134,24_05_22_06_xform_Eapp,5,1.8627,108,14,140.0
135,24_05_22_06_xform_Eapp,5,1.8479,108,15,150.0
136,24_05_22_06_xform_Eapp,5,2.3882,108,16,160.0
137,24_05_22_06_xform_Eapp,5,1.9044,108,17,170.0
138,24_05_22_06_xform_Eapp,5,2.833,108,18,180.0
139,24_05_22_06_xform_Eapp,5,3.0357,108,19,190.0
140,24_05_22_06_xform_Eapp,5,1.9987,108,20,200.0
141,24_05_22_06_xform_Eapp,5,1.5607,108,21,210.0
142,24_05_22_06_xform_Eapp,5,2.0927,108,22,220.0
143,24_05_22_06_xform_Eapp,5,2.2407,108,23,230.0
144,24_05_22_06_xform_Eapp,5,2.2402,108,24,240.0
145,24_05_22_06_xform_Eapp,5,2.7768,108,25,250.0
146,24_05_22_06_xform_Eapp,5,3.7343,108,26,260.0
147,24_05_22_06_xform_Eapp,5,3.1043,108,27,270.0
148,24_05_22_06_xform_Eapp,5,1.5667,108,28,280.0
149,24_05_22_06_xform_Eapp,5,7.1171,108,30,290.0
150,24_05_22_06_xform_Eapp,6,-0.4896,125,0,0.0
151,24_05_22_06_xform_Eapp,6,0.9572,125,1,10.0
152,24_05_22_06_xform_Eapp,6,-1.0,125,2,20.0
153,24_05_22_06_xform_Eapp,6,0.0566,125,3,30.0
154,24_05_22_06_xform_Eapp,6,0.4758,125,4,40.0
155,24_05_22_06_xform_Eapp,6,1.5767,125,5,50.0
156,24_05_22_06_xform_Eapp,6,-0.1773,125,6,60.0
157,24_05_22_06_xform_Eapp,6,11.5066,125,7,70.0
158,24_05_22_06_xform_Eapp,6,7.3355,125,8,80.0
159,24_05_22_06_xform_Eapp,6,22.5156,125,9,90.0
160,24_05_22_06_xform_Eapp,6,11.6373,125,10,100.0
161,24_05_22_06_xform_Eapp,6,12.343,125,11,110.0
162,24_05_22_06_xform_Eapp,6,29.8381,125,12,120.0
163,24_05_22_06_xform_Eapp,6,25.3856,125,13,130.0
164,24_05_22_06_xform_Eapp,6,13.9375,125,14,140.0
165,24_05_22_06_xform_Eapp,6,19.8157,125,15,150.0
166,24_05_22_06_xform_Eapp,6,17.6979,125,16,160.0
167,24_05_22_06_xform_Eapp,6,21.5186,125,17,170.0
168,24_05_22_06_xform_Eapp,6,16.1971,125,18,180.0
169,24_05_22_06_xform_Eapp,6,16.9139,125,19,190.0
170,24_05_22_06_xform_Eapp,6,26.4631,125,20,200.0
171,24_05_22_06_xform_Eapp,6,19.6922,125,21,210.0
172,24_05_22_06_xform_Eapp,6,13.2705,125,22,220.0
173,24_05_22_06_xform_Eapp,6,23.953,125,23,230.0
