,id,roi,int,dist,index,time
0,24_05_22_06_xform_ch0,1,0.0258,90,0,0.0
1,24_05_22_06_xform_ch0,1,-0.0136,90,1,10.0
2,24_05_22_06_xform_ch0,1,0.0037,90,2,20.0
3,24_05_22_06_xform_ch0,1,-0.0126,90,3,30.0
4,24_05_22_06_xform_ch0,1,-0.0033,90,4,40.0
5,24_05_22_06_xform_ch0,1,-0.0669,90,5,50.0
6,24_05_22_06_xform_ch0,1,-0.0339,90,6,60.0
7,24_05_22_06_xform_ch0,1,0.3241,90,7,70.0
8,24_05_22_06_xform_ch0,1,0.252,90,8,80.0
9,24_05_22_06_xform_ch0,1,0.2045,90,9,90.0
10,24_05_22_06_xform_ch0,1,0.1179,90,10,100.0
11,24_05_22_06_xform_ch0,1,0.0855,90,11,110.0
12,24_05_22_06_xform_ch0,1,0.037,90,12,120.0
13,24_05_22_06_xform_ch0,1,-0.0123,90,13,130.0
14,24_05_22_06_xform_ch0,1,-0.0565,90,14,140.0
15,24_05_22_06_xform_ch0,1,-0.0408,90,15,150.0
16,24_05_22_06_xform_ch0,1,-0.1269,90,16,160.0
17,24_05_22_06_xform_ch0,1,-0.1253,90,17,170.0
18,24_05_22_06_xform_ch0,1,-0.1721,90,18,180.0
19,24_05_22_06_xform_ch0,1,-0.1928,90,19,190.0
20,24_05_22_06_xform_ch0,1,-0.2083,90,20,200.0
21,24_05_22_06_xform_ch0,1,-0.2438,90,21,210.0
22,24_05_22_06_xform_ch0,1,-0.2722,90,22,220.0
23,24_05_22_06_xform_ch0,1,-0.2536,90,23,230.0
24,24_05_22_06_xform_ch0,1,-0.2699,90,24,240.0
25,24_05_22_06_xform_ch0,1,-0.2967,90,25,250.0
26,24_05_22_06_xform_ch0,1,-0.3124,90,26,260.0
27,24_05_22_06_xform_ch0,1,-0.3363,90,27,270.0
28,24_05_22_06_xform_ch0,1,-0.3467,90,28,280.0
29,24_05_22_06_xform_ch0,1,0.1765,90,30,290.0
30,24_05_22_06_xform_ch0,2,0.0134,39,0,0.0
31,24_05_22_06_xform_ch0,2,-0.041,39,1,10.0
32,24_05_22_06_xform_ch0,2,0.0142,39,2,20.0
33,24_05_22_06_xform_ch0,2,-0.0084,39,3,30.0
34,24_05_22_06_xform_ch0,2,0.0219,39,4,40.0
35,24_05_22_06_xform_ch0,2,0.0621,39,5,50.0
36,24_05_22_06_xform_ch0,2,0.0466,39,6,60.0
37,24_05_22_06_xform_ch0,2,0.1795,39,7,70.0
38,24_05_22_06_xform_ch0,2,0.1305,39,8,80.0
39,24_05_22_06_xform_ch0,2,0.0779,39,9,90.0
40,24_05_22_06_xform_ch0,2,-0.0033,39,10,100.0
41,24_05_22_06_xform_ch0,2,-0.0194,39,11,110.0
42,24_05_22_06_xform_ch0,2,-0.0119,39,12,120.0
43,24_05_22_06_xform_ch0,2,-0.0582,39,13,130.0
44,24_05_22_06_xform_ch0,2,-0.0758,39,14,140.0
45,24_05_22_06_xform_ch0,2,-0.0827,39,15,150.0
46,24_05_22_06_xform_ch0,2,-0.0874,39,16,160.0
47,24_05_22_06_xform_ch0,2,-0.1347,39,17,170.0
48,24_05_22_06_xform_ch0,2,-0.17,39,18,180.0
49,24_05_22_06_xform_ch0,2,-0.1945,39,19,190.0
50,24_05_22_06_xform_ch0,2,-0.1984,39,20,200.0
51,24_05_22_06_xform_ch0,2,-0.2178,39,21,210.0
52,24_05_22_06_xform_ch0,2,-0.2088,39,22,220.0
53,24_05_22_06_xform_ch0,2,-0.2307,39,23,230.0
54,24_05_22_06_xform_ch0,2,-0.2052,39,24,240.0
55,24_05_22_06_xform_ch0,2,-0.2675,39,25,250.0
56,24_05_22_06_xform_ch0,2,-0.2738,39,26,260.0
57,24_05_22_06_xform_ch0,2,-0.3055,39,27,270.0
58,24_05_22_06_xform_ch0,2,-0.3075,39,28,280.0
59,24_05_22_06_xform_ch0,2,0.0267,39,30,290.0
60,24_05_22_06_xform_ch0,3,-0.014,123,0,0.0
61,24_05_22_06_xform_ch0,3,0.0006,123,1,10.0
62,24_05_22_06_xform_ch0,3,-0.043,123,2,20.0
63,24_05_22_06_xform_ch0,3,0.0957,123,3,30.0
64,24_05_22_06_xform_ch0,3,-0.0394,123,4,40.0
65,24_05_22_06_xform_ch0,3,-0.0466,123,5,50.0
66,24_05_22_06_xform_ch0,3,-0.0762,123,6,60.0
67,24_05_22_06_xform_ch0,3,-0.1112,123,7,70.0
68,24_05_22_06_xform_ch0,3,-0.1199,123,8,80.0
69,24_05_22_06_xform_ch0,3,-0.1074,123,9,90.0
70,24_05_22_06_xform_ch0,3,-0.1463,123,10,100.0
71,24_05_22_06_xform_ch0,3,-0.1291,123,11,110.0
72,24_05_22_06_xform_ch0,3,-0.1651,123,12,120.0
73,24_05_22_06_xform_ch0,3,-0.1868,123,13,130.0
74,24_05_22_06_xform_ch0,3,-0.1415,123,14,140.0
75,24_05_22_06_xform_ch0,3,-0.1542,123,15,150.0
76,24_05_22_06_xform_ch0,3,-0.1201,123,16,160.0
77,24_05_22_06_xform_ch0,3,-0.1097,123,17,170.0
78,24_05_22_06_xform_ch0,3,-0.1276,123,18,180.0
79,24_05_22_06_xform_ch0,3,-0.1385,123,19,190.0
80,24_05_22_06_xform_ch0,3,-0.1041,123,20,200.0
81,24_05_22_06_xform_ch0,3,-0.1113,123,21,210.0
82,24_05_22_06_xform_ch0,3,-0.1653,123,22,220.0
83,24_05_22_06_xform_ch0,3,-0.1348,123,23,230.0
84,24_05_22_06_xform_ch0,3,-0.1121,123,24,240.0
85,24_05_22_06_xform_ch0,3,-0.1316,123,25,250.0
86,24_05_22_06_xform_ch0,3,-0.1082,123,26,260.0
87,24_05_22_06_xform_ch0,3,-0.0875,123,27,270.0
88,24_05_22_06_xform_ch0,3,-0.0357,123,28,280.0
89,24_05_22_06_xform_ch0,3,0.1921,123,30,290.0
90,24_05_22_06_xform_ch0,4,0.0028,27,0,0.0
91,24_05_22_06_xform_ch0,4,-0.0157,27,1,10.0
92,24_05_22_06_xform_ch0,4,0.0042,27,2,20.0
93,24_05_22_06_xform_ch0,4,-0.0085,27,3,30.0
94,24_05_22_06_xform_ch0,4,0.0172,27,4,40.0
95,24_05_22_06_xform_ch0,4,-0.0408,27,5,50.0
96,24_05_22_06_xform_ch0,4,-0.008,27,6,60.0
97,24_05_22_06_xform_ch0,4,0.0454,27,7,70.0
98,24_05_22_06_xform_ch0,4,0.0457,27,8,80.0
99,24_05_22_06_xform_ch0,4,0.0053,27,9,90.0
100,24_05_22_06_xform_ch0,4,-0.0328,27,10,100.0
101,24_05_22_06_xform_ch0,4,-0.0728,27,11,110.0
102,24_05_22_06_xform_ch0,4,-0.0652,27,12,120.0
103,24_05_22_06_xform_ch0,4,-0.1485,27,13,130.0
104,24_05_22_06_xform_ch0,4,-0.155,27,14,140.0
105,24_05_22_06_xform_ch0,4,-0.1947,27,15,150.0
106,24_05_22_06_xform_ch0,4,-0.1247,27,16,160.0
107,24_05_22_06_xform_ch0,4,-0.105,27,17,170.0
108,24_05_22_06_xform_ch0,4,-0.1543,27,18,180.0
109,24_05_22_06_xform_ch0,4,-0.2245,27,19,190.0
110,24_05_22_06_xform_ch0,4,-0.242,27,20,200.0
111,24_05_22_06_xform_ch0,4,-0.1944,27,21,210.0
112,24_05_22_06_xform_ch0,4,-0.2314,27,22,220.0
113,24_05_22_06_xform_ch0,4,-0.2675,27,23,230.0
114,24_05_22_06_xform_ch0,4,-0.2403,27,24,240.0
115,24_05_22_06_xform_ch0,4,-0.2482,27,25,250.0
116,24_05_22_06_xform_ch0,4,-0.2439,27,26,260.0
117,24_05_22_06_xform_ch0,4,-0.3027,27,27,270.0
118,24_05_22_06_xform_ch0,4,-0.3462,27,28,280.0
119,24_05_22_06_xform_ch0,4,-0.037,27,30,290.0
120,24_05_22_06_xform_ch0,5,0.0551,108,0,0.0
121,24_05_22_06_xform_ch0,5,-0.0042,108,1,10.0
122,24_05_22_06_xform_ch0,5,0.0038,108,2,20.0
123,24_05_22_06_xform_ch0,5,-0.0079,108,3,30.0
124,24_05_22_06_xform_ch0,5,-0.0467,108,4,40.0
125,24_05_22_06_xform_ch0,5,-0.002,108,5,50.0
126,24_05_22_06_xform_ch0,5,-0.0506,108,6,60.0
127,24_05_22_06_xform_ch0,5,0.1074,108,7,70.0
128,24_05_22_06_xform_ch0,5,0.0442,108,8,80.0
129,24_05_22_06_xform_ch0,5,0.0108,108,9,90.0
130,24_05_22_06_xform_ch0,5,-0.0888,108,10,100.0
131,24_05_22_06_xform_ch0,5,-0.1553,108,11,110.0
132,24_05_22_06_xform_ch0,5,-0.178,108,12,120.0
133,24_05_22_06_xform_ch0,5,-0.2224,108,13,130.0
134,24_05_22_06_xform_ch0,5,-0.228,108,14,140.0
135,24_05_22_06_xform_ch0,5,-0.2234,108,15,150.0
136,24_05_22_06_xform_ch0,5,-0.2655,108,16,160.0
137,24_05_22_06_xform_ch0,5,-0.3135,108,17,170.0
138,24_05_22_06_xform_ch0,5,-0.3463,108,18,180.0
139,24_05_22_06_xform_ch0,5,-0.366,108,19,190.0
140,24_05_22_06_xform_ch0,5,-0.3504,108,20,200.0
141,24_05_22_06_xform_ch0,5,-0.3453,108,21,210.0
142,24_05_22_06_xform_ch0,5,-0.37,108,22,220.0
143,24_05_22_06_xform_ch0,5,-0.3807,108,23,230.0
144,24_05_22_06_xform_ch0,5,-0.3992,108,24,240.0
145,24_05_22_06_xform_ch0,5,-0.3942,108,25,250.0
146,24_05_22_06_xform_ch0,5,-0.4161,108,26,260.0
147,24_05_22_06_xform_ch0,5,-0.4313,108,27,270.0
148,24_05_22_06_xform_ch0,5,-0.42,108,28,280.0
149,24_05_22_06_xform_ch0,5,-0.1076,108,30,290.0
150,24_05_22_06_xform_ch0,6,0.0276,125,0,0.0
151,24_05_22_06_xform_ch0,6,0.0123,125,1,10.0
152,24_05_22_06_xform_ch0,6,-0.0225,125,2,20.0
153,24_05_22_06_xform_ch0,6,-0.0009,125,3,30.0
154,24_05_22_06_xform_ch0,6,-0.0165,125,4,40.0
155,24_05_22_06_xform_ch0,6,-0.0572,125,5,50.0
156,24_05_22_06_xform_ch0,6,-0.036,125,6,60.0
157,24_05_22_06_xform_ch0,6,0.0786,125,7,70.0
158,24_05_22_06_xform_ch0,6,0.0343,125,8,80.0
159,24_05_22_06_xform_ch0,6,-0.0334,125,9,90.0
160,24_05_22_06_xform_ch0,6,-0.0646,125,10,100.0
161,24_05_22_06_xform_ch0,6,-0.1294,125,11,110.0
162,24_05_22_06_xform_ch0,6,-0.182,125,12,120.0
163,24_05_22_06_xform_ch0,6,-0.203,125,13,130.0
164,24_05_22_06_xform_ch0,6,-0.2157,125,14,140.0
165,24_05_22_06_xform_ch0,6,-0.218,125,15,150.0
166,24_05_22_06_xform_ch0,6,-0.2488,125,16,160.0
167,24_05_22_06_xform_ch0,6,-0.2848,125,17,170.0
168,24_05_22_06_xform_ch0,6,-0.3151,125,18,180.0
169,24_05_22_06_xform_ch0,6,-0.3267,125,19,190.0
170,24_05_22_06_xform_ch0,6,-0.3382,125,20,200.0
171,24_05_22_06_xform_ch0,6,-0.3195,125,21,210.0
172,24_05_22_06_xform_ch0,6,-0.3543,125,22,220.0
173,24_05_22_06_xform_ch0,6,-0.3624,125,23,230.0
174,24_05_22_06_xform_ch0,6,-0.3634,125,24,240.0
175,24_05_22_06_xform_ch0,6,-0.376,125,25,250.0
176,24_05_22_06_xform_ch0,6,-0.3672,125,26,260.0
177,24_05_22_06_xform_ch0,6,-0.3663,125,27,270.0
178,24_05_22_06_xform_ch0,6,-0.3733,125,28,280.0
179,24_05_22_06_xform_ch0,6,-0.0795,125,30,290.0
180,24_05_22_06_xform_ch0,7,0.0256,180,0,0.0
181,24_05_22_06_xform_ch0,7,0.0202,180,1,10.0
182,24_05_22_06_xform_ch0,7,0.0,180,2,20.0
183,24_05_22_06_xform_ch0,7,-0.0357,180,3,30.0
184,24_05_22_06_xform_ch0,7,-0.0101,180,4,40.0
185,24_05_22_06_xform_ch0,7,-0.0178,180,5,50.0
186,24_05_22_06_xform_ch0,7,-0.0245,180,6,60.0
187,24_05_22_06_xform_ch0,7,-0.2615,180,7,70.0
188,24_05_22_06_xform_ch0,7,-0.3164,180,8,80.0
189,24_05_22_06_xform_ch0,7,-0.3363,180,9,90.0
