,id,roi,int,dist,index,time
0,24_05_22_06_xform_ch3,1,179.5946,90,0,0.0
1,24_05_22_06_xform_ch3,1,153.6757,90,1,10.0
2,24_05_22_06_xform_ch3,1,167.8378,90,2,20.0
3,24_05_22_06_xform_ch3,1,168.5676,90,3,30.0
4,24_05_22_06_xform_ch3,1,159.7027,90,4,40.0
5,24_05_22_06_xform_ch3,1,163.027,90,5,50.0
6,24_05_22_06_xform_ch3,1,168.7297,90,6,60.0
7,24_05_22_06_xform_ch3,1,158.2432,90,7,70.0
8,24_05_22_06_xform_ch3,1,146.9459,90,8,80.0
9,24_05_22_06_xform_ch3,1,132.1622,90,9,90.0
10,24_05_22_06_xform_ch3,1,113.973,90,10,100.0
11,24_05_22_06_xform_ch3,1,103.9189,90,11,110.0
12,24_05_22_06_xform_ch3,1,89.6486,90,12,120.0
13,24_05_22_06_xform_ch3,1,89.1351,90,13,130.0
14,24_05_22_06_xform_ch3,1,80.6216,90,14,140.0
15,24_05_22_06_xform_ch3,1,85.8378,90,15,150.0
16,24_05_22_06_xform_ch3,1,81.6216,90,16,160.0
17,24_05_22_06_xform_ch3,1,95.1892,90,17,170.0
18,24_05_22_06_xform_ch3,1,84.8108,90,18,180.0
19,24_05_22_06_xform_ch3,1,82.2703,90,19,190.0
20,24_05_22_06_xform_ch3,1,81.9189,90,20,200.0
21,24_05_22_06_xform_ch3,1,78.4324,90,21,210.0
22,24_05_22_06_xform_ch3,1,75.7838,90,22,220.0
23,24_05_22_06_xform_ch3,1,79.3243,90,23,230.0
24,24_05_22_06_xform_ch3,1,77.1081,90,24,240.0
25,24_05_22_06_xform_ch3,1,83.8649,90,25,250.0
26,24_05_22_06_xform_ch3,1,80.4865,90,26,260.0
27,24_05_22_06_xform_ch3,1,80.8649,90,27,270.0
28,24_05_22_06_xform_ch3,1,78.2703,90,28,280.0
29,24_05_22_06_xform_ch3,1,121.2703,90,30,290.0
30,24_05_22_06_xform_ch3,2,205.1351,39,0,0.0
31,24_05_22_06_xform_ch3,2,211.0541,39,1,10.0
32,24_05_22_06_xform_ch3,2,207.7838,39,2,20.0
33,24_05_22_06_xform_ch3,2,227.4865,39,3,30.0
34,24_05_22_06_xform_ch3,2,238.0811,39,4,40.0
35,24_05_22_06_xform_ch3,2,231.9459,39,5,50.0
36,24_05_22_06_xform_ch3,2,251.5405,39,6,60.0
37,24_05_22_06_xform_ch3,2,201.7568,39,7,70.0
38,24_05_22_06_xform_ch3,2,187.1351,39,8,80.0
39,24_05_22_06_xform_ch3,2,175.6757,39,9,90.0
40,24_05_22_06_xform_ch3,2,151.8919,39,10,100.0
41,24_05_22_06_xform_ch3,2,154.1892,39,11,110.0
42,24_05_22_06_xform_ch3,2,137.7838,39,12,120.0
43,24_05_22_06_xform_ch3,2,136.5946,39,13,130.0
44,24_05_22_06_xform_ch3,2,129.4324,39,14,140.0
45,24_05_22_06_xform_ch3,2,130.5135,39,15,150.0
46,24_05_22_06_xform_ch3,2,129.3514,39,16,160.0
47,24_05_22_06_xform_ch3,2,124.7027,39,17,170.0
