,id,roi,int,dist,index,time
0,24_06_5_02_xform_Eapp,1,0.013,82,0,0.0
1,24_06_5_02_xform_Eapp,1,0.0145,82,1,10.0
2,24_06_5_02_xform_Eapp,1,0.0157,82,2,20.0
3,24_06_5_02_xform_Eapp,1,0.0144,82,3,30.0
4,24_06_5_02_xform_Eapp,1,0.0119,82,4,40.0
5,24_06_5_02_xform_Eapp,1,0.0161,82,5,50.0
6,24_06_5_02_xform_Eapp,1,0.0126,82,6,60.0
7,24_06_5_02_xform_Eapp,1,0.0139,82,7,70.0
8,24_06_5_02_xform_Eapp,1,0.0136,82,8,80.0
9,24_06_5_02_xform_Eapp,1,0.0134,82,9,90.0
10,24_06_5_02_xform_Eapp,1,0.019,82,10,100.0
11,24_06_5_02_xform_Eapp,1,0.0104,82,11,110.0
12,24_06_5_02_xform_Eapp,1,0.0173,82,12,120.0
13,24_06_5_02_xform_Eapp,1,0.0127,82,13,130.0
14,24_06_5_02_xform_Eapp,1,0.0195,82,14,140.0
15,24_06_5_02_xform_Eapp,1,0.0177,82,15,150.0
16,24_06_5_02_xform_Eapp,1,0.0244,82,16,160.0
17,24_06_5_02_xform_Eapp,1,0.0223,82,17,170.0
18,24_06_5_02_xform_Eapp,1,0.0199,82,18,180.0
19,24_06_5_02_xform_Eapp,1,0.0149,82,19,190.0
20,24_06_5_02_xform_Eapp,1,0.0123,82,20,200.0
21,24_06_5_02_xform_Eapp,1,0.0243,82,21,210.0
22,24_06_5_02_xform_Eapp,1,0.0195,82,22,220.0
23,24_06_5_02_xform_Eapp,1,0.0198,82,23,230.0
24,24_06_5_02_xform_Eapp,1,0.0147,82,24,240.0
25,24_06_5_02_xform_Eapp,1,0.0113,82,25,250.0
26,24_06_5_02_xform_Eapp,1,0.0199,82,26,260.0
27,24_06_5_02_xform_Eapp,1,0.0124,82,27,270.0
28,24_06_5_02_xform_Eapp,1,0.0133,82,28,280.0
29,24_06_5_02_xform_Eapp,1,0.0132,82,30,290.0
30,24_06_5_02_xform_Eapp,2,0.0004,44,0,0.0
31,24_06_5_02_xform_Eapp,2,0.0011,44,1,10.0
32,24_06_5_02_xform_Eapp,2,0.0017,44,2,20.0
33,24_06_5_02_xform_Eapp,2,0.0006,44,3,30.0
34,24_06_5_02_xform_Eapp,2,0.0,44,4,40.0
35,24_06_5_02_xform_Eapp,2,0.0015,44,5,50.0
36,24_06_5_02_xform_Eapp,2,0.001,44,6,60.0
37,24_06_5_02_xform_Eapp,2,0.0036,44,7,70.0
38,24_06_5_02_xform_Eapp,2,0.0073,44,8,80.0
