,id,roi,int,dist,index,time
0,24_06_5_04_xform_ch3,1,0.0254,146,0,0.0
1,24_06_5_04_xform_ch3,1,-0.0162,146,1,10.0
2,24_06_5_04_xform_ch3,1,-0.0529,146,2,20.0
3,24_06_5_04_xform_ch3,1,-0.0195,146,3,30.0
4,24_06_5_04_xform_ch3,1,0.0632,146,4,40.0
5,24_06_5_04_xform_ch3,1,0.0222,146,5,50.0
6,24_06_5_04_xform_ch3,1,0.0487,146,6,60.0
7,24_06_5_04_xform_ch3,1,-0.0683,146,7,70.0
8,24_06_5_04_xform_ch3,1,-0.1351,146,8,80.0
9,24_06_5_04_xform_ch3,1,-0.2118,146,9,90.0
10,24_06_5_04_xform_ch3,1,-0.179,146,10,100.0
11,24_06_5_04_xform_ch3,1,-0.1965,146,11,110.0
12,24_06_5_04_xform_ch3,1,-0.2292,146,12,120.0
13,24_06_5_04_xform_ch3,1,-0.2733,146,13,130.0
14,24_06_5_04_xform_ch3,1,-0.2783,146,14,140.0
15,24_06_5_04_xform_ch3,1,-0.2621,146,15,150.0
16,24_06_5_04_xform_ch3,1,-0.2931,146,16,160.0
17,24_06_5_04_xform_ch3,1,-0.3222,146,17,170.0
18,24_06_5_04_xform_ch3,1,-0.3181,146,18,180.0
19,24_06_5_04_xform_ch3,1,-0.3651,146,19,190.0
20,24_06_5_04_xform_ch3,1,-0.3452,146,20,200.0
21,24_06_5_04_xform_ch3,1,-0.2958,146,21,210.0
22,24_06_5_04_xform_ch3,1,-0.2896,146,22,220.0
23,24_06_5_04_xform_ch3,1,-0.3676,146,23,230.0
24,24_06_5_04_xform_ch3,1,-0.2788,146,24,240.0
25,24_06_5_04_xform_ch3,1,-0.3336,146,25,250.0
26,24_06_5_04_xform_ch3,1,-0.316,146,26,260.0
27,24_06_5_04_xform_ch3,1,-0.2987,146,27,270.0
28,24_06_5_04_xform_ch3,1,-0.3054,146,28,280.0
29,24_06_5_04_xform_ch3,1,-0.3532,146,30,290.0
30,24_06_5_04_xform_ch3,2,-0.0039,133,0,0.0
31,24_06_5_04_xform_ch3,2,-0.0297,133,1,10.0
32,24_06_5_04_xform_ch3,2,0.0183,133,2,20.0
33,24_06_5_04_xform_ch3,2,0.0395,133,3,30.0
34,24_06_5_04_xform_ch3,2,-0.0241,133,4,40.0
35,24_06_5_04_xform_ch3,2,-0.0743,133,5,50.0
36,24_06_5_04_xform_ch3,2,-0.075,133,6,60.0
37,24_06_5_04_xform_ch3,2,-0.1291,133,7,70.0
38,24_06_5_04_xform_ch3,2,-0.2028,133,8,80.0
39,24_06_5_04_xform_ch3,2,-0.2723,133,9,90.0
40,24_06_5_04_xform_ch3,2,-0.3028,133,10,100.0
41,24_06_5_04_xform_ch3,2,-0.3433,133,11,110.0
42,24_06_5_04_xform_ch3,2,-0.3968,133,12,120.0
43,24_06_5_04_xform_ch3,2,-0.3697,133,13,130.0
