,id,roi,int,dist,index,time
0,24_06_5_06_xform_Eapp,1,0.2584,145,0,0.0
1,24_06_5_06_xform_Eapp,1,-0.1389,145,1,10.0
2,24_06_5_06_xform_Eapp,1,-0.0737,145,2,20.0
3,24_06_5_06_xform_Eapp,1,-0.1318,145,3,30.0
4,24_06_5_06_xform_Eapp,1,0.0859,145,4,40.0
5,24_06_5_06_xform_Eapp,1,-0.1429,145,5,50.0
6,24_06_5_06_xform_Eapp,1,-0.3081,145,6,60.0
7,24_06_5_06_xform_Eapp,1,0.0526,145,7,70.0
8,24_06_5_06_xform_Eapp,1,0.1959,145,8,80.0
9,24_06_5_06_xform_Eapp,1,0.0642,145,9,90.0
10,24_06_5_06_xform_Eapp,1,-0.2536,145,10,100.0
11,24_06_5_06_xform_Eapp,1,-0.1579,145,11,110.0
12,24_06_5_06_xform_Eapp,1,-0.0124,145,12,120.0
13,24_06_5_06_xform_Eapp,1,0.0642,145,13,130.0
14,24_06_5_06_xform_Eapp,1,0.2776,145,14,140.0
15,24_06_5_06_xform_Eapp,1,-0.1786,145,15,150.0
16,24_06_5_06_xform_Eapp,1,0.1972,145,16,160.0
17,24_06_5_06_xform_Eapp,1,0.1495,145,17,170.0
18,24_06_5_06_xform_Eapp,1,0.0367,145,18,180.0
19,24_06_5_06_xform_Eapp,1,0.0822,145,19,190.0
20,24_06_5_06_xform_Eapp,1,0.1574,145,20,200.0
21,24_06_5_06_xform_Eapp,1,0.5752,145,21,210.0
22,24_06_5_06_xform_Eapp,1,-0.1337,145,22,220.0
23,24_06_5_06_xform_Eapp,1,0.4019,145,23,230.0
24,24_06_5_06_xform_Eapp,1,0.3976,145,24,240.0
25,24_06_5_06_xform_Eapp,1,-0.034,145,25,250.0
26,24_06_5_06_xform_Eapp,1,-0.333,145,26,260.0
27,24_06_5_06_xform_Eapp,1,0.0427,145,27,270.0
28,24_06_5_06_xform_Eapp,1,0.1471,145,28,280.0
29,24_06_5_06_xform_Eapp,1,0.0105,145,30,290.0
30,24_06_5_06_xform_Eapp,2,-0.5407,16,0,0.0
31,24_06_5_06_xform_Eapp,2,0.2616,16,1,10.0
32,24_06_5_06_xform_Eapp,2,0.2831,16,2,20.0
33,24_06_5_06_xform_Eapp,2,-0.1629,16,3,30.0
34,24_06_5_06_xform_Eapp,2,0.1589,16,4,40.0
35,24_06_5_06_xform_Eapp,2,0.2562,16,5,50.0
36,24_06_5_06_xform_Eapp,2,0.0575,16,6,60.0
37,24_06_5_06_xform_Eapp,2,-0.3371,16,7,70.0
38,24_06_5_06_xform_Eapp,2,-0.299,16,8,80.0
39,24_06_5_06_xform_Eapp,2,0.5315,16,9,90.0
40,24_06_5_06_xform_Eapp,2,0.379,16,10,100.0
41,24_06_5_06_xform_Eapp,2,0.3944,16,11,110.0
42,24_06_5_06_xform_Eapp,2,0.3701,16,12,120.0
43,24_06_5_06_xform_Eapp,2,0.8078,16,13,130.0
44,24_06_5_06_xform_Eapp,2,1.1363,16,14,140.0
45,24_06_5_06_xform_Eapp,2,1.3177,16,15,150.0
46,24_06_5_06_xform_Eapp,2,1.1994,16,16,160.0
47,24_06_5_06_xform_Eapp,2,0.6814,16,17,170.0
48,24_06_5_06_xform_Eapp,2,1.4185,16,18,180.0
49,24_06_5_06_xform_Eapp,2,0.5045,16,19,190.0
50,24_06_5_06_xform_Eapp,2,1.1021,16,20,200.0
51,24_06_5_06_xform_Eapp,2,0.7769,16,21,210.0
52,24_06_5_06_xform_Eapp,2,1.7264,16,22,220.0
