,id,roi,int,dist,index,time
0,24_06_5_06_xform_ch0,1,121.3077,353,0,0.0
1,24_06_5_06_xform_ch0,1,128.2308,353,1,10.0
2,24_06_5_06_xform_ch0,1,121.7692,353,2,20.0
3,24_06_5_06_xform_ch0,1,112.0,353,3,30.0
4,24_06_5_06_xform_ch0,1,125.9231,353,4,40.0
5,24_06_5_06_xform_ch0,1,117.6923,353,5,50.0
6,24_06_5_06_xform_ch0,1,120.6154,353,6,60.0
7,24_06_5_06_xform_ch0,1,138.6154,353,7,70.0
8,24_06_5_06_xform_ch0,1,128.7692,353,8,80.0
9,24_06_5_06_xform_ch0,1,117.3846,353,9,90.0
10,24_06_5_06_xform_ch0,1,117.3846,353,10,100.0
11,24_06_5_06_xform_ch0,1,109.8462,353,11,110.0
12,24_06_5_06_xform_ch0,1,101.8462,353,12,120.0
13,24_06_5_06_xform_ch0,1,102.0,353,13,130.0
14,24_06_5_06_xform_ch0,1,99.9231,353,14,140.0
15,24_06_5_06_xform_ch0,1,93.8462,353,15,150.0
16,24_06_5_06_xform_ch0,1,104.4615,353,16,160.0
17,24_06_5_06_xform_ch0,1,101.6154,353,17,170.0
18,24_06_5_06_xform_ch0,1,99.0,353,18,180.0
19,24_06_5_06_xform_ch0,1,100.8462,353,19,190.0
20,24_06_5_06_xform_ch0,1,99.6154,353,20,200.0
21,24_06_5_06_xform_ch0,1,107.7692,353,21,210.0
22,24_06_5_06_xform_ch0,1,108.6923,353,22,220.0
23,24_06_5_06_xform_ch0,1,107.1538,353,23,230.0
24,24_06_5_06_xform_ch0,1,108.3077,353,24,240.0
25,24_06_5_06_xform_ch0,1,109.5385,353,25,250.0
26,24_06_5_06_xform_ch0,1,111.8462,353,26,260.0
27,24_06_5_06_xform_ch0,1,112.1538,353,27,270.0
28,24_06_5_06_xform_ch0,1,112.7692,353,28,280.0
29,24_06_5_06_xform_ch0,1,111.4615,353,30,290.0
30,24_06_5_06_xform_ch0,2,74.7407,327,0,0.0
31,24_06_5_06_xform_ch0,2,75.0,327,1,10.0
32,24_06_5_06_xform_ch0,2,72.6667,327,2,20.0
33,24_06_5_06_xform_ch0,2,70.2222,327,3,30.0
34,24_06_5_06_xform_ch0,2,74.4444,327,4,40.0
35,24_06_5_06_xform_ch0,2,68.7037,327,5,50.0
36,24_06_5_06_xform_ch0,2,70.7037,327,6,60.0
37,24_06_5_06_xform_ch0,2,84.6667,327,7,70.0
38,24_06_5_06_xform_ch0,2,81.5185,327,8,80.0
39,24_06_5_06_xform_ch0,2,75.7037,327,9,90.0
40,24_06_5_06_xform_ch0,2,70.3333,327,10,100.0
41,24_06_5_06_xform_ch0,2,73.3704,327,11,110.0
42,24_06_5_06_xform_ch0,2,68.5556,327,12,120.0
43,24_06_5_06_xform_ch0,2,64.4074,327,13,130.0
44,24_06_5_06_xform_ch0,2,58.2222,327,14,140.0
45,24_06_5_06_xform_ch0,2,55.6296,327,15,150.0
46,24_06_5_06_xform_ch0,2,61.037,327,16,160.0
47,24_06_5_06_xform_ch0,2,64.0,327,17,170.0
48,24_06_5_06_xform_ch0,2,65.1481,327,18,180.0
49,24_06_5_06_xform_ch0,2,61.1481,327,19,190.0
50,24_06_5_06_xform_ch0,2,63.4074,327,20,200.0
51,24_06_5_06_xform_ch0,2,63.4444,327,21,210.0
52,24_06_5_06_xform_ch0,2,64.5185,327,22,220.0
53,24_06_5_06_xform_ch0,2,68.4444,327,23,230.0
54,24_06_5_06_xform_ch0,2,63.6296,327,24,240.0
55,24_06_5_06_xform_ch0,2,70.2593,327,25,250.0
