,id,roi,int,dist,index,time
0,24_06_5_06_xform_ch3,1,136.6757,145,0,0.0
1,24_06_5_06_xform_ch3,1,144.8378,145,1,10.0
2,24_06_5_06_xform_ch3,1,141.3243,145,2,20.0
3,24_06_5_06_xform_ch3,1,136.9189,145,3,30.0
4,24_06_5_06_xform_ch3,1,124.2703,145,4,40.0
5,24_06_5_06_xform_ch3,1,138.0811,145,5,50.0
6,24_06_5_06_xform_ch3,1,130.1351,145,6,60.0
7,24_06_5_06_xform_ch3,1,120.5405,145,7,70.0
8,24_06_5_06_xform_ch3,1,120.4595,145,8,80.0
9,24_06_5_06_xform_ch3,1,114.3784,145,9,90.0
10,24_06_5_06_xform_ch3,1,111.2432,145,10,100.0
11,24_06_5_06_xform_ch3,1,109.1081,145,11,110.0
12,24_06_5_06_xform_ch3,1,113.4595,145,12,120.0
13,24_06_5_06_xform_ch3,1,101.8378,145,13,130.0
14,24_06_5_06_xform_ch3,1,102.0,145,14,140.0
15,24_06_5_06_xform_ch3,1,106.8378,145,15,150.0
16,24_06_5_06_xform_ch3,1,101.4054,145,16,160.0
17,24_06_5_06_xform_ch3,1,106.0,145,17,170.0
18,24_06_5_06_xform_ch3,1,99.1351,145,18,180.0
19,24_06_5_06_xform_ch3,1,104.7297,145,19,190.0
20,24_06_5_06_xform_ch3,1,99.1892,145,20,200.0
21,24_06_5_06_xform_ch3,1,102.3784,145,21,210.0
22,24_06_5_06_xform_ch3,1,98.1622,145,22,220.0
23,24_06_5_06_xform_ch3,1,103.0541,145,23,230.0
24,24_06_5_06_xform_ch3,1,100.1351,145,24,240.0
25,24_06_5_06_xform_ch3,1,96.6486,145,25,250.0
26,24_06_5_06_xform_ch3,1,94.0,145,26,260.0
27,24_06_5_06_xform_ch3,1,94.0541,145,27,270.0
28,24_06_5_06_xform_ch3,1,93.1081,145,28,280.0
29,24_06_5_06_xform_ch3,1,102.973,145,30,290.0
30,24_06_5_06_xform_ch3,2,86.8611,16,0,0.0
31,24_06_5_06_xform_ch3,2,85.6389,16,1,10.0
32,24_06_5_06_xform_ch3,2,85.1944,16,2,20.0
33,24_06_5_06_xform_ch3,2,89.5833,16,3,30.0
34,24_06_5_06_xform_ch3,2,90.8889,16,4,40.0
35,24_06_5_06_xform_ch3,2,87.3889,16,5,50.0
36,24_06_5_06_xform_ch3,2,91.3889,16,6,60.0
37,24_06_5_06_xform_ch3,2,90.7778,16,7,70.0
38,24_06_5_06_xform_ch3,2,83.6944,16,8,80.0
39,24_06_5_06_xform_ch3,2,82.5,16,9,90.0
40,24_06_5_06_xform_ch3,2,80.5833,16,10,100.0
41,24_06_5_06_xform_ch3,2,80.2778,16,11,110.0
42,24_06_5_06_xform_ch3,2,73.8611,16,12,120.0
43,24_06_5_06_xform_ch3,2,79.5556,16,13,130.0
44,24_06_5_06_xform_ch3,2,78.9722,16,14,140.0
45,24_06_5_06_xform_ch3,2,75.6944,16,15,150.0
46,24_06_5_06_xform_ch3,2,72.4167,16,16,160.0
47,24_06_5_06_xform_ch3,2,75.3333,16,17,170.0
48,24_06_5_06_xform_ch3,2,72.9444,16,18,180.0
49,24_06_5_06_xform_ch3,2,70.8889,16,19,190.0
50,24_06_5_06_xform_ch3,2,69.6111,16,20,200.0
51,24_06_5_06_xform_ch3,2,71.25,16,21,210.0
52,24_06_5_06_xform_ch3,2,66.3611,16,22,220.0
53,24_06_5_06_xform_ch3,2,74.1111,16,23,230.0
54,24_06_5_06_xform_ch3,2,63.5556,16,24,240.0
55,24_06_5_06_xform_ch3,2,69.4167,16,25,250.0
56,24_06_5_06_xform_ch3,2,65.9722,16,26,260.0
57,24_06_5_06_xform_ch3,2,64.9444,16,27,270.0
58,24_06_5_06_xform_ch3,2,71.1389,16,28,280.0
59,24_06_5_06_xform_ch3,2,64.6667,16,30,290.0
60,24_06_5_06_xform_ch3,3,119.4324,124,0,0.0
61,24_06_5_06_xform_ch3,3,114.6486,124,1,10.0
62,24_06_5_06_xform_ch3,3,116.6486,124,2,20.0
63,24_06_5_06_xform_ch3,3,117.9189,124,3,30.0
64,24_06_5_06_xform_ch3,3,122.2432,124,4,40.0
65,24_06_5_06_xform_ch3,3,126.2162,124,5,50.0
66,24_06_5_06_xform_ch3,3,121.4595,124,6,60.0
67,24_06_5_06_xform_ch3,3,115.8108,124,7,70.0
68,24_06_5_06_xform_ch3,3,119.6216,124,8,80.0
69,24_06_5_06_xform_ch3,3,123.8649,124,9,90.0
70,24_06_5_06_xform_ch3,3,118.4595,124,10,100.0
71,24_06_5_06_xform_ch3,3,119.6757,124,11,110.0
72,24_06_5_06_xform_ch3,3,117.4324,124,12,120.0
73,24_06_5_06_xform_ch3,3,112.0541,124,13,130.0
74,24_06_5_06_xform_ch3,3,129.3784,124,14,140.0
75,24_06_5_06_xform_ch3,3,116.3784,124,15,150.0
76,24_06_5_06_xform_ch3,3,107.4865,124,16,160.0
77,24_06_5_06_xform_ch3,3,108.8919,124,17,170.0
78,24_06_5_06_xform_ch3,3,100.4324,124,18,180.0
79,24_06_5_06_xform_ch3,3,99.1081,124,19,190.0
80,24_06_5_06_xform_ch3,3,92.4865,124,20,200.0
81,24_06_5_06_xform_ch3,3,95.8378,124,21,210.0
82,24_06_5_06_xform_ch3,3,92.3243,124,22,220.0
83,24_06_5_06_xform_ch3,3,96.5405,124,23,230.0
84,24_06_5_06_xform_ch3,3,101.1892,124,24,240.0
85,24_06_5_06_xform_ch3,3,98.4054,124,25,250.0
86,24_06_5_06_xform_ch3,3,103.6216,124,26,260.0
87,24_06_5_06_xform_ch3,3,98.3243,124,27,270.0
88,24_06_5_06_xform_ch3,3,97.5135,124,28,280.0
89,24_06_5_06_xform_ch3,3,92.6216,124,30,290.0
90,24_06_5_06_xform_ch3,4,127.7568,135,0,0.0
91,24_06_5_06_xform_ch3,4,123.3514,135,1,10.0
92,24_06_5_06_xform_ch3,4,126.2432,135,2,20.0
93,24_06_5_06_xform_ch3,4,119.5676,135,3,30.0
94,24_06_5_06_xform_ch3,4,114.1351,135,4,40.0
95,24_06_5_06_xform_ch3,4,124.5405,135,5,50.0
96,24_06_5_06_xform_ch3,4,116.6216,135,6,60.0
97,24_06_5_06_xform_ch3,4,118.9189,135,7,70.0
98,24_06_5_06_xform_ch3,4,104.1622,135,8,80.0
99,24_06_5_06_xform_ch3,4,105.4865,135,9,90.0
100,24_06_5_06_xform_ch3,4,107.1351,135,10,100.0
101,24_06_5_06_xform_ch3,4,100.8378,135,11,110.0
102,24_06_5_06_xform_ch3,4,105.027,135,12,120.0
103,24_06_5_06_xform_ch3,4,102.1351,135,13,130.0
104,24_06_5_06_xform_ch3,4,98.4054,135,14,140.0
105,24_06_5_06_xform_ch3,4,94.4595,135,15,150.0
106,24_06_5_06_xform_ch3,4,98.1081,135,16,160.0
107,24_06_5_06_xform_ch3,4,98.8649,135,17,170.0
108,24_06_5_06_xform_ch3,4,94.7838,135,18,180.0
109,24_06_5_06_xform_ch3,4,91.9189,135,19,190.0
110,24_06_5_06_xform_ch3,4,94.6216,135,20,200.0
111,24_06_5_06_xform_ch3,4,97.3784,135,21,210.0
112,24_06_5_06_xform_ch3,4,91.4054,135,22,220.0
113,24_06_5_06_xform_ch3,4,93.1351,135,23,230.0
114,24_06_5_06_xform_ch3,4,96.2973,135,24,240.0
115,24_06_5_06_xform_ch3,4,94.1351,135,25,250.0
116,24_06_5_06_xform_ch3,4,93.5676,135,26,260.0
117,24_06_5_06_xform_ch3,4,95.4865,135,27,270.0
118,24_06_5_06_xform_ch3,4,102.4595,135,28,280.0
119,24_06_5_06_xform_ch3,4,96.3243,135,30,290.0
120,24_06_5_06_xform_ch3,5,123.0541,99,0,0.0
121,24_06_5_06_xform_ch3,5,112.4054,99,1,10.0
122,24_06_5_06_xform_ch3,5,111.8108,99,2,20.0
123,24_06_5_06_xform_ch3,5,110.027,99,3,30.0
124,24_06_5_06_xform_ch3,5,106.8649,99,4,40.0
125,24_06_5_06_xform_ch3,5,104.2973,99,5,50.0
126,24_06_5_06_xform_ch3,5,106.1081,99,6,60.0
