"","id","roi","int","dist","index","time","channel","mask","int_val","dist_group"
"1","24_05_16_04",1,0.0384,73,0,0,"ch0","up","df","max"
"2","24_05_16_04",1,-0.0195,73,1,10,"ch0","up","df","max"
"3","24_05_16_04",1,-0.0262,73,2,20,"ch0","up","df","max"
"4","24_05_16_04",1,0.0073,73,3,30,"ch0","up","df","max"
"5","24_05_16_04",1,-0.0212,73,4,40,"ch0","up","df","max"
"6","24_05_16_04",1,0.0119,73,5,50,"ch0","up","df","max"
"7","24_05_16_04",1,-0.0183,73,6,60,"ch0","up","df","max"
"8","24_05_16_04",1,0.1536,73,7,70,"ch0","up","df","max"
"9","24_05_16_04",1,0.0538,73,8,80,"ch0","up","df","max"
"10","24_05_16_04",1,0.043,73,9,90,"ch0","up","df","max"
"11","24_05_16_04",1,5e-04,73,10,100,"ch0","up","df","max"
"12","24_05_16_04",1,-0.051,73,11,110,"ch0","up","df","max"
"13","24_05_16_04",1,-0.0542,73,12,120,"ch0","up","df","max"
"14","24_05_16_04",1,-0.0718,73,13,130,"ch0","up","df","max"
"15","24_05_16_04",1,-0.045,73,14,140,"ch0","up","df","max"
"16","24_05_16_04",1,-0.1537,73,15,150,"ch0","up","df","max"
"17","24_05_16_04",1,-0.1853,73,16,160,"ch0","up","df","max"
"18","24_05_16_04",1,-0.1918,73,17,170,"ch0","up","df","max"
"19","24_05_16_04",1,-0.206,73,18,180,"ch0","up","df","max"
"20","24_05_16_04",1,-0.207,73,19,190,"ch0","up","df","max"
"21","24_05_16_04",1,-0.1829,73,20,200,"ch0","up","df","max"
"22","24_05_16_04",1,-0.186,73,21,210,"ch0","up","df","max"
"23","24_05_16_04",1,-0.1911,73,22,220,"ch0","up","df","max"
"24","24_05_16_04",1,-0.2299,73,23,230,"ch0","up","df","max"
"25","24_05_16_04",1,-0.2166,73,24,240,"ch0","up","df","max"
"26","24_05_16_04",1,-0.1894,73,25,250,"ch0","up","df","max"
"27","24_05_16_04",1,-0.1896,73,26,260,"ch0","up","df","max"
"28","24_05_16_04",1,-0.2039,73,27,270,"ch0","up","df","max"
"29","24_05_16_04",1,-0.1711,73,28,280,"ch0","up","df","max"
"30","24_05_16_04",1,-0.1667,73,30,290,"ch0","up","df","max"
"31","24_05_16_04",2,0.0376,81,0,0,"ch0","up","df","max"
"32","24_05_16_04",2,-9e-04,81,1,10,"ch0","up","df","max"
"33","24_05_16_04",2,-0.0256,81,2,20,"ch0","up","df","max"
"34","24_05_16_04",2,-0.0111,81,3,30,"ch0","up","df","max"
"35","24_05_16_04",2,-0.0071,81,4,40,"ch0","up","df","max"
"36","24_05_16_04",2,-0.0228,81,5,50,"ch0","up","df","max"
"37","24_05_16_04",2,-0.0204,81,6,60,"ch0","up","df","max"
"38","24_05_16_04",2,0.1806,81,7,70,"ch0","up","df","max"
"39","24_05_16_04",2,0.1122,81,8,80,"ch0","up","df","max"
"40","24_05_16_04",2,0.0383,81,9,90,"ch0","up","df","max"
"41","24_05_16_04",2,0.0222,81,10,100,"ch0","up","df","max"
"42","24_05_16_04",2,-0.011,81,11,110,"ch0","up","df","max"
"43","24_05_16_04",2,-0.0487,81,12,120,"ch0","up","df","max"
"44","24_05_16_04",2,-0.0419,81,13,130,"ch0","up","df","max"
"45","24_05_16_04",2,-0.0437,81,14,140,"ch0","up","df","max"
"46","24_05_16_04",2,-0.1777,81,15,150,"ch0","up","df","max"
"47","24_05_16_04",2,-0.134,81,16,160,"ch0","up","df","max"
"48","24_05_16_04",2,-0.1687,81,17,170,"ch0","up","df","max"
"49","24_05_16_04",2,-0.1996,81,18,180,"ch0","up","df","max"
"50","24_05_16_04",2,-0.2014,81,19,190,"ch0","up","df","max"
"51","24_05_16_04",2,-0.1777,81,20,200,"ch0","up","df","max"
"52","24_05_16_04",2,-0.1912,81,21,210,"ch0","up","df","max"
"53","24_05_16_04",2,-0.194,81,22,220,"ch0","up","df","max"
