,id,roi,int,dist,index,time
0,24_03_14_04_xform_Eapp,1,-0.0275,112,0,0.0
1,24_03_14_04_xform_Eapp,1,0.0214,112,1,10.0
2,24_03_14_04_xform_Eapp,1,-0.0034,112,2,20.0
3,24_03_14_04_xform_Eapp,1,0.0077,112,3,30.0
4,24_03_14_04_xform_Eapp,1,0.0018,112,4,40.0
5,24_03_14_04_xform_Eapp,1,-0.013,112,5,50.0
6,24_03_14_04_xform_Eapp,1,-0.0065,112,6,60.0
7,24_03_14_04_xform_Eapp,1,0.1533,112,7,70.0
8,24_03_14_04_xform_Eapp,1,0.199,112,8,80.0
9,24_03_14_04_xform_Eapp,1,0.2117,112,9,90.0
10,24_03_14_04_xform_Eapp,1,0.2518,112,10,100.0
11,24_03_14_04_xform_Eapp,1,0.2455,112,11,110.0
12,24_03_14_04_xform_Eapp,1,0.232,112,12,120.0
13,24_03_14_04_xform_Eapp,1,0.2312,112,13,130.0
14,24_03_14_04_xform_Eapp,1,0.1587,112,14,140.0
15,24_03_14_04_xform_Eapp,1,0.0755,112,15,150.0
16,24_03_14_04_xform_Eapp,1,0.0509,112,16,160.0
17,24_03_14_04_xform_Eapp,1,0.0181,112,17,170.0
18,24_03_14_04_xform_Eapp,1,0.0087,112,18,180.0
19,24_03_14_04_xform_Eapp,1,-0.0057,112,19,190.0
20,24_03_14_04_xform_Eapp,1,-0.022,112,20,200.0
21,24_03_14_04_xform_Eapp,1,-0.0204,112,21,210.0
22,24_03_14_04_xform_Eapp,1,-0.0239,112,22,220.0
23,24_03_14_04_xform_Eapp,1,-0.0529,112,23,230.0
24,24_03_14_04_xform_Eapp,1,-0.0446,112,24,240.0
25,24_03_14_04_xform_Eapp,1,-0.0284,112,25,250.0
26,24_03_14_04_xform_Eapp,1,-0.0443,112,26,260.0
27,24_03_14_04_xform_Eapp,1,-0.0596,112,27,270.0
28,24_03_14_04_xform_Eapp,1,-0.0975,112,28,280.0
29,24_03_14_04_xform_Eapp,1,-0.0763,112,30,290.0
30,24_03_14_04_xform_Eapp,2,-0.0108,89,0,0.0
