,id,roi,int,dist,index,time
0,24_03_14_07_xform_Eapp,1,-0.0195,342,0,0.0
1,24_03_14_07_xform_Eapp,1,0.0107,342,1,10.0
2,24_03_14_07_xform_Eapp,1,0.0089,342,2,20.0
3,24_03_14_07_xform_Eapp,1,-0.001,342,3,30.0
4,24_03_14_07_xform_Eapp,1,0.0009,342,4,40.0
5,24_03_14_07_xform_Eapp,1,-0.0163,342,5,50.0
6,24_03_14_07_xform_Eapp,1,-0.0239,342,6,60.0
7,24_03_14_07_xform_Eapp,1,0.3608,342,7,70.0
8,24_03_14_07_xform_Eapp,1,0.3812,342,8,80.0
9,24_03_14_07_xform_Eapp,1,0.4098,342,9,90.0
10,24_03_14_07_xform_Eapp,1,0.441,342,10,100.0
11,24_03_14_07_xform_Eapp,1,0.4528,342,11,110.0
12,24_03_14_07_xform_Eapp,1,0.4544,342,12,120.0
13,24_03_14_07_xform_Eapp,1,0.452,342,13,130.0
14,24_03_14_07_xform_Eapp,1,0.2611,342,14,140.0
15,24_03_14_07_xform_Eapp,1,0.2008,342,15,150.0
16,24_03_14_07_xform_Eapp,1,0.1977,342,16,160.0
17,24_03_14_07_xform_Eapp,1,0.201,342,17,170.0
18,24_03_14_07_xform_Eapp,1,0.1875,342,18,180.0
19,24_03_14_07_xform_Eapp,1,0.2027,342,19,190.0
20,24_03_14_07_xform_Eapp,1,0.1762,342,20,200.0
21,24_03_14_07_xform_Eapp,1,0.1757,342,21,210.0
22,24_03_14_07_xform_Eapp,1,0.1664,342,22,220.0
23,24_03_14_07_xform_Eapp,1,0.1705,342,23,230.0
24,24_03_14_07_xform_Eapp,1,0.1705,342,24,240.0
25,24_03_14_07_xform_Eapp,1,0.1561,342,25,250.0
26,24_03_14_07_xform_Eapp,1,0.1542,342,26,260.0
27,24_03_14_07_xform_Eapp,1,0.1428,342,27,270.0
28,24_03_14_07_xform_Eapp,1,0.1398,342,28,280.0
29,24_03_14_07_xform_Eapp,1,0.1171,342,30,290.0
30,24_03_14_07_xform_Eapp,2,-0.0244,294,0,0.0
31,24_03_14_07_xform_Eapp,2,0.0112,294,1,10.0
32,24_03_14_07_xform_Eapp,2,0.0125,294,2,20.0
33,24_03_14_07_xform_Eapp,2,0.0031,294,3,30.0
34,24_03_14_07_xform_Eapp,2,-0.0024,294,4,40.0
35,24_03_14_07_xform_Eapp,2,-0.0064,294,5,50.0
36,24_03_14_07_xform_Eapp,2,-0.017,294,6,60.0
37,24_03_14_07_xform_Eapp,2,0.292,294,7,70.0
38,24_03_14_07_xform_Eapp,2,0.3142,294,8,80.0
39,24_03_14_07_xform_Eapp,2,0.3384,294,9,90.0
40,24_03_14_07_xform_Eapp,2,0.3574,294,10,100.0
41,24_03_14_07_xform_Eapp,2,0.3648,294,11,110.0
42,24_03_14_07_xform_Eapp,2,0.3791,294,12,120.0
43,24_03_14_07_xform_Eapp,2,0.3672,294,13,130.0
44,24_03_14_07_xform_Eapp,2,0.2328,294,14,140.0
45,24_03_14_07_xform_Eapp,2,0.1694,294,15,150.0
46,24_03_14_07_xform_Eapp,2,0.1609,294,16,160.0
47,24_03_14_07_xform_Eapp,2,0.1537,294,17,170.0
48,24_03_14_07_xform_Eapp,2,0.1482,294,18,180.0
49,24_03_14_07_xform_Eapp,2,0.1529,294,19,190.0
50,24_03_14_07_xform_Eapp,2,0.135,294,20,200.0
51,24_03_14_07_xform_Eapp,2,0.1308,294,21,210.0
52,24_03_14_07_xform_Eapp,2,0.1336,294,22,220.0
53,24_03_14_07_xform_Eapp,2,0.1303,294,23,230.0
