,id,roi,int,dist,index,time
0,24_05_22_07_xform_Eapp,1,0.0002,17,0,0.0
1,24_05_22_07_xform_Eapp,1,0.0001,17,1,10.0
2,24_05_22_07_xform_Eapp,1,0.0007,17,2,20.0
3,24_05_22_07_xform_Eapp,1,0.0003,17,3,30.0
4,24_05_22_07_xform_Eapp,1,0.0005,17,4,40.0
5,24_05_22_07_xform_Eapp,1,0.0003,17,5,50.0
6,24_05_22_07_xform_Eapp,1,0.0002,17,6,60.0
7,24_05_22_07_xform_Eapp,1,0.0007,17,7,70.0
8,24_05_22_07_xform_Eapp,1,0.0019,17,8,80.0
9,24_05_22_07_xform_Eapp,1,0.0036,17,9,90.0
10,24_05_22_07_xform_Eapp,1,0.0016,17,10,100.0
11,24_05_22_07_xform_Eapp,1,0.0022,17,11,110.0
12,24_05_22_07_xform_Eapp,1,0.0039,17,12,120.0
13,24_05_22_07_xform_Eapp,1,0.0037,17,13,130.0
14,24_05_22_07_xform_Eapp,1,0.0057,17,14,140.0
15,24_05_22_07_xform_Eapp,1,0.0047,17,15,150.0
16,24_05_22_07_xform_Eapp,1,0.0052,17,16,160.0
17,24_05_22_07_xform_Eapp,1,0.0048,17,17,170.0
18,24_05_22_07_xform_Eapp,1,0.0056,17,18,180.0
19,24_05_22_07_xform_Eapp,1,0.0016,17,19,190.0
20,24_05_22_07_xform_Eapp,1,0.0049,17,20,200.0
21,24_05_22_07_xform_Eapp,1,0.0024,17,21,210.0
22,24_05_22_07_xform_Eapp,1,0.0039,17,22,220.0
23,24_05_22_07_xform_Eapp,1,0.0046,17,23,230.0
24,24_05_22_07_xform_Eapp,1,0.0024,17,24,240.0
25,24_05_22_07_xform_Eapp,1,0.0042,17,25,250.0
26,24_05_22_07_xform_Eapp,1,0.0047,17,26,260.0
27,24_05_22_07_xform_Eapp,1,0.0046,17,27,270.0
28,24_05_22_07_xform_Eapp,1,0.0053,17,28,280.0
29,24_05_22_07_xform_Eapp,1,0.0041,17,30,290.0
30,24_05_22_07_xform_Eapp,2,0.0011,44,0,0.0
31,24_05_22_07_xform_Eapp,2,0.0012,44,1,10.0
32,24_05_22_07_xform_Eapp,2,0.0011,44,2,20.0
33,24_05_22_07_xform_Eapp,2,0.0014,44,3,30.0
34,24_05_22_07_xform_Eapp,2,0.0009,44,4,40.0
35,24_05_22_07_xform_Eapp,2,0.0012,44,5,50.0
36,24_05_22_07_xform_Eapp,2,0.0016,44,6,60.0
37,24_05_22_07_xform_Eapp,2,0.0029,44,7,70.0
38,24_05_22_07_xform_Eapp,2,0.0032,44,8,80.0
39,24_05_22_07_xform_Eapp,2,0.0058,44,9,90.0
40,24_05_22_07_xform_Eapp,2,0.0068,44,10,100.0
41,24_05_22_07_xform_Eapp,2,0.0062,44,11,110.0
42,24_05_22_07_xform_Eapp,2,0.0071,44,12,120.0
43,24_05_22_07_xform_Eapp,2,0.009,44,13,130.0
44,24_05_22_07_xform_Eapp,2,0.0091,44,14,140.0
45,24_05_22_07_xform_Eapp,2,0.0083,44,15,150.0
46,24_05_22_07_xform_Eapp,2,0.0076,44,16,160.0
47,24_05_22_07_xform_Eapp,2,0.0087,44,17,170.0
48,24_05_22_07_xform_Eapp,2,0.0086,44,18,180.0
49,24_05_22_07_xform_Eapp,2,0.0074,44,19,190.0
50,24_05_22_07_xform_Eapp,2,0.0077,44,20,200.0
51,24_05_22_07_xform_Eapp,2,0.0078,44,21,210.0
52,24_05_22_07_xform_Eapp,2,0.009,44,22,220.0
53,24_05_22_07_xform_Eapp,2,0.0086,44,23,230.0
54,24_05_22_07_xform_Eapp,2,0.0087,44,24,240.0
55,24_05_22_07_xform_Eapp,2,0.0085,44,25,250.0
56,24_05_22_07_xform_Eapp,2,0.0087,44,26,260.0
57,24_05_22_07_xform_Eapp,2,0.0092,44,27,270.0
58,24_05_22_07_xform_Eapp,2,0.0074,44,28,280.0
59,24_05_22_07_xform_Eapp,2,0.0095,44,30,290.0
60,24_05_22_07_xform_Eapp,3,0.0045,32,0,0.0
61,24_05_22_07_xform_Eapp,3,0.012,32,1,10.0
62,24_05_22_07_xform_Eapp,3,0.0106,32,2,20.0
63,24_05_22_07_xform_Eapp,3,0.0098,32,3,30.0
64,24_05_22_07_xform_Eapp,3,0.0105,32,4,40.0
65,24_05_22_07_xform_Eapp,3,0.0119,32,5,50.0
66,24_05_22_07_xform_Eapp,3,0.0092,32,6,60.0
67,24_05_22_07_xform_Eapp,3,0.0066,32,7,70.0
68,24_05_22_07_xform_Eapp,3,0.0067,32,8,80.0
69,24_05_22_07_xform_Eapp,3,0.0139,32,9,90.0
70,24_05_22_07_xform_Eapp,3,0.0154,32,10,100.0
71,24_05_22_07_xform_Eapp,3,0.016,32,11,110.0
72,24_05_22_07_xform_Eapp,3,0.0172,32,12,120.0
73,24_05_22_07_xform_Eapp,3,0.0157,32,13,130.0
74,24_05_22_07_xform_Eapp,3,0.0158,32,14,140.0
75,24_05_22_07_xform_Eapp,3,0.0207,32,15,150.0
76,24_05_22_07_xform_Eapp,3,0.0181,32,16,160.0
77,24_05_22_07_xform_Eapp,3,0.0221,32,17,170.0
78,24_05_22_07_xform_Eapp,3,0.0213,32,18,180.0
79,24_05_22_07_xform_Eapp,3,0.0179,32,19,190.0
80,24_05_22_07_xform_Eapp,3,0.0183,32,20,200.0
81,24_05_22_07_xform_Eapp,3,0.0197,32,21,210.0
82,24_05_22_07_xform_Eapp,3,0.0194,32,22,220.0
83,24_05_22_07_xform_Eapp,3,0.0167,32,23,230.0
84,24_05_22_07_xform_Eapp,3,0.0147,32,24,240.0
85,24_05_22_07_xform_Eapp,3,0.0153,32,25,250.0
86,24_05_22_07_xform_Eapp,3,0.0164,32,26,260.0
87,24_05_22_07_xform_Eapp,3,0.0231,32,27,270.0
88,24_05_22_07_xform_Eapp,3,0.0167,32,28,280.0
89,24_05_22_07_xform_Eapp,3,0.0169,32,30,290.0
90,24_05_22_07_xform_Eapp,4,0.0083,28,0,0.0
91,24_05_22_07_xform_Eapp,4,0.0087,28,1,10.0
92,24_05_22_07_xform_Eapp,4,0.0102,28,2,20.0
93,24_05_22_07_xform_Eapp,4,0.0092,28,3,30.0
94,24_05_22_07_xform_Eapp,4,0.0108,28,4,40.0
95,24_05_22_07_xform_Eapp,4,0.0105,28,5,50.0
96,24_05_22_07_xform_Eapp,4,0.0066,28,6,60.0
97,24_05_22_07_xform_Eapp,4,0.0087,28,7,70.0
98,24_05_22_07_xform_Eapp,4,0.0118,28,8,80.0
99,24_05_22_07_xform_Eapp,4,0.0148,28,9,90.0
100,24_05_22_07_xform_Eapp,4,0.0137,28,10,100.0
101,24_05_22_07_xform_Eapp,4,0.0117,28,11,110.0
102,24_05_22_07_xform_Eapp,4,0.0122,28,12,120.0
