,id,roi,int,dist,index,time
0,24_05_22_07_xform_ch0,1,0.0226,17,0,0.0
1,24_05_22_07_xform_ch0,1,0.0143,17,1,10.0
2,24_05_22_07_xform_ch0,1,-0.0076,17,2,20.0
3,24_05_22_07_xform_ch0,1,-0.01,17,3,30.0
4,24_05_22_07_xform_ch0,1,-0.0192,17,4,40.0
5,24_05_22_07_xform_ch0,1,-0.0183,17,5,50.0
6,24_05_22_07_xform_ch0,1,-0.0145,17,6,60.0
7,24_05_22_07_xform_ch0,1,-0.134,17,7,70.0
8,24_05_22_07_xform_ch0,1,-0.205,17,8,80.0
9,24_05_22_07_xform_ch0,1,-0.2415,17,9,90.0
10,24_05_22_07_xform_ch0,1,-0.2704,17,10,100.0
11,24_05_22_07_xform_ch0,1,-0.2963,17,11,110.0
12,24_05_22_07_xform_ch0,1,-0.3143,17,12,120.0
13,24_05_22_07_xform_ch0,1,-0.3259,17,13,130.0
14,24_05_22_07_xform_ch0,1,-0.345,17,14,140.0
15,24_05_22_07_xform_ch0,1,-0.3347,17,15,150.0
16,24_05_22_07_xform_ch0,1,-0.3347,17,16,160.0
17,24_05_22_07_xform_ch0,1,-0.3337,17,17,170.0
18,24_05_22_07_xform_ch0,1,-0.337,17,18,180.0
19,24_05_22_07_xform_ch0,1,-0.3408,17,19,190.0
20,24_05_22_07_xform_ch0,1,-0.3339,17,20,200.0
21,24_05_22_07_xform_ch0,1,-0.3386,17,21,210.0
22,24_05_22_07_xform_ch0,1,-0.3477,17,22,220.0
23,24_05_22_07_xform_ch0,1,-0.3345,17,23,230.0
24,24_05_22_07_xform_ch0,1,-0.3408,17,24,240.0
25,24_05_22_07_xform_ch0,1,-0.3464,17,25,250.0
26,24_05_22_07_xform_ch0,1,-0.3625,17,26,260.0
27,24_05_22_07_xform_ch0,1,-0.3711,17,27,270.0
28,24_05_22_07_xform_ch0,1,-0.387,17,28,280.0
29,24_05_22_07_xform_ch0,1,-0.3923,17,30,290.0
30,24_05_22_07_xform_ch0,2,0.0191,44,0,0.0
31,24_05_22_07_xform_ch0,2,0.0032,44,1,10.0
32,24_05_22_07_xform_ch0,2,-0.0018,44,2,20.0
33,24_05_22_07_xform_ch0,2,-0.0137,44,3,30.0
34,24_05_22_07_xform_ch0,2,-0.0068,44,4,40.0
35,24_05_22_07_xform_ch0,2,-0.0151,44,5,50.0
36,24_05_22_07_xform_ch0,2,-0.0287,44,6,60.0
37,24_05_22_07_xform_ch0,2,-0.2551,44,7,70.0
38,24_05_22_07_xform_ch0,2,-0.3204,44,8,80.0
39,24_05_22_07_xform_ch0,2,-0.3679,44,9,90.0
40,24_05_22_07_xform_ch0,2,-0.398,44,10,100.0
41,24_05_22_07_xform_ch0,2,-0.4077,44,11,110.0
42,24_05_22_07_xform_ch0,2,-0.4238,44,12,120.0
43,24_05_22_07_xform_ch0,2,-0.4421,44,13,130.0
44,24_05_22_07_xform_ch0,2,-0.4561,44,14,140.0
45,24_05_22_07_xform_ch0,2,-0.4105,44,15,150.0
46,24_05_22_07_xform_ch0,2,-0.3875,44,16,160.0
47,24_05_22_07_xform_ch0,2,-0.3744,44,17,170.0
48,24_05_22_07_xform_ch0,2,-0.3691,44,18,180.0
49,24_05_22_07_xform_ch0,2,-0.3544,44,19,190.0
50,24_05_22_07_xform_ch0,2,-0.3398,44,20,200.0
51,24_05_22_07_xform_ch0,2,-0.3639,44,21,210.0
52,24_05_22_07_xform_ch0,2,-0.3512,44,22,220.0
53,24_05_22_07_xform_ch0,2,-0.3518,44,23,230.0
54,24_05_22_07_xform_ch0,2,-0.3705,44,24,240.0
55,24_05_22_07_xform_ch0,2,-0.3766,44,25,250.0
56,24_05_22_07_xform_ch0,2,-0.3798,44,26,260.0
57,24_05_22_07_xform_ch0,2,-0.3923,44,27,270.0
58,24_05_22_07_xform_ch0,2,-0.3979,44,28,280.0
59,24_05_22_07_xform_ch0,2,-0.3976,44,30,290.0
60,24_05_22_07_xform_ch0,3,0.037,32,0,0.0
61,24_05_22_07_xform_ch0,3,-0.0244,32,1,10.0
62,24_05_22_07_xform_ch0,3,-0.0192,32,2,20.0
63,24_05_22_07_xform_ch0,3,0.0318,32,3,30.0
64,24_05_22_07_xform_ch0,3,-0.0251,32,4,40.0
65,24_05_22_07_xform_ch0,3,-0.0546,32,5,50.0
66,24_05_22_07_xform_ch0,3,-0.009,32,6,60.0
67,24_05_22_07_xform_ch0,3,0.5076,32,7,70.0
68,24_05_22_07_xform_ch0,3,0.4513,32,8,80.0
69,24_05_22_07_xform_ch0,3,0.3879,32,9,90.0
70,24_05_22_07_xform_ch0,3,0.4548,32,10,100.0
71,24_05_22_07_xform_ch0,3,0.4402,32,11,110.0
72,24_05_22_07_xform_ch0,3,0.4009,32,12,120.0
73,24_05_22_07_xform_ch0,3,0.3991,32,13,130.0
74,24_05_22_07_xform_ch0,3,0.3925,32,14,140.0
75,24_05_22_07_xform_ch0,3,0.1855,32,15,150.0
76,24_05_22_07_xform_ch0,3,0.072,32,16,160.0
77,24_05_22_07_xform_ch0,3,0.0471,32,17,170.0
78,24_05_22_07_xform_ch0,3,-0.007,32,18,180.0
79,24_05_22_07_xform_ch0,3,-0.0267,32,19,190.0
80,24_05_22_07_xform_ch0,3,-0.0653,32,20,200.0
81,24_05_22_07_xform_ch0,3,-0.0098,32,21,210.0
82,24_05_22_07_xform_ch0,3,0.3255,32,22,220.0
83,24_05_22_07_xform_ch0,3,0.1564,32,23,230.0
84,24_05_22_07_xform_ch0,3,0.0794,32,24,240.0
85,24_05_22_07_xform_ch0,3,0.0795,32,25,250.0
86,24_05_22_07_xform_ch0,3,-0.0695,32,26,260.0
87,24_05_22_07_xform_ch0,3,-0.0243,32,27,270.0
88,24_05_22_07_xform_ch0,3,-0.0873,32,28,280.0
89,24_05_22_07_xform_ch0,3,-0.0759,32,30,290.0
