,id,roi,int,dist,index,time
0,24_05_16_09_xform_Eapp,1,0.0757,31,0,0.0
1,24_05_16_09_xform_Eapp,1,0.0717,31,1,5.0
2,24_05_16_09_xform_Eapp,1,0.079,31,2,10.0
3,24_05_16_09_xform_Eapp,1,0.0599,31,3,15.0
4,24_05_16_09_xform_Eapp,1,0.0859,31,4,20.0
5,24_05_16_09_xform_Eapp,1,0.0819,31,5,25.0
6,24_05_16_09_xform_Eapp,1,0.0895,31,6,30.0
7,24_05_16_09_xform_Eapp,1,0.1266,31,7,35.0
8,24_05_16_09_xform_Eapp,1,0.1391,31,8,40.0
9,24_05_16_09_xform_Eapp,1,0.1461,31,9,45.0
10,24_05_16_09_xform_Eapp,1,0.137,31,10,50.0
11,24_05_16_09_xform_Eapp,1,0.1293,31,11,55.0
12,24_05_16_09_xform_Eapp,1,0.1258,31,12,60.0
13,24_05_16_09_xform_Eapp,1,0.094,31,13,65.0
14,24_05_16_09_xform_Eapp,1,0.0816,31,14,70.0
15,24_05_16_09_xform_Eapp,1,0.0833,31,15,75.0
16,24_05_16_09_xform_Eapp,1,0.087,31,16,80.0
17,24_05_16_09_xform_Eapp,1,0.0862,31,17,85.0
18,24_05_16_09_xform_Eapp,1,0.0919,31,18,90.0
19,24_05_16_09_xform_Eapp,1,0.1082,31,19,95.0
20,24_05_16_09_xform_Eapp,1,0.1054,31,20,100.0
21,24_05_16_09_xform_Eapp,1,0.0963,31,21,105.0
22,24_05_16_09_xform_Eapp,1,0.0914,31,22,110.0
23,24_05_16_09_xform_Eapp,1,0.0952,31,23,115.0
24,24_05_16_09_xform_Eapp,1,0.089,31,24,120.0
25,24_05_16_09_xform_Eapp,1,0.0902,31,25,125.0
26,24_05_16_09_xform_Eapp,1,0.0858,31,26,130.0
27,24_05_16_09_xform_Eapp,1,0.1006,31,27,135.0
28,24_05_16_09_xform_Eapp,1,0.0937,31,28,140.0
29,24_05_16_09_xform_Eapp,1,0.0963,31,30,145.0
30,24_05_16_09_xform_Eapp,2,0.0149,16,0,0.0
31,24_05_16_09_xform_Eapp,2,0.0178,16,1,5.0
32,24_05_16_09_xform_Eapp,2,0.0219,16,2,10.0
33,24_05_16_09_xform_Eapp,2,0.0234,16,3,15.0
34,24_05_16_09_xform_Eapp,2,0.0142,16,4,20.0
35,24_05_16_09_xform_Eapp,2,0.0181,16,5,25.0
36,24_05_16_09_xform_Eapp,2,0.0135,16,6,30.0
37,24_05_16_09_xform_Eapp,2,0.031,16,7,35.0
38,24_05_16_09_xform_Eapp,2,0.0235,16,8,40.0
39,24_05_16_09_xform_Eapp,2,0.0282,16,9,45.0
40,24_05_16_09_xform_Eapp,2,0.0251,16,10,50.0
41,24_05_16_09_xform_Eapp,2,0.0235,16,11,55.0
42,24_05_16_09_xform_Eapp,2,0.0239,16,12,60.0
43,24_05_16_09_xform_Eapp,2,0.0218,16,13,65.0
44,24_05_16_09_xform_Eapp,2,0.0269,16,14,70.0
45,24_05_16_09_xform_Eapp,2,0.022,16,15,75.0
46,24_05_16_09_xform_Eapp,2,0.0217,16,16,80.0
47,24_05_16_09_xform_Eapp,2,0.0223,16,17,85.0
48,24_05_16_09_xform_Eapp,2,0.0201,16,18,90.0
49,24_05_16_09_xform_Eapp,2,0.0277,16,19,95.0
50,24_05_16_09_xform_Eapp,2,0.0218,16,20,100.0
51,24_05_16_09_xform_Eapp,2,0.0221,16,21,105.0
52,24_05_16_09_xform_Eapp,2,0.0188,16,22,110.0
53,24_05_16_09_xform_Eapp,2,0.0298,16,23,115.0
54,24_05_16_09_xform_Eapp,2,0.0276,16,24,120.0
55,24_05_16_09_xform_Eapp,2,0.0223,16,25,125.0
56,24_05_16_09_xform_Eapp,2,0.0217,16,26,130.0
57,24_05_16_09_xform_Eapp,2,0.0189,16,27,135.0
58,24_05_16_09_xform_Eapp,2,0.0264,16,28,140.0
59,24_05_16_09_xform_Eapp,2,0.0323,16,30,145.0
60,24_05_16_09_xform_Eapp,3,0.0719,38,0,0.0
61,24_05_16_09_xform_Eapp,3,0.0694,38,1,5.0
62,24_05_16_09_xform_Eapp,3,0.0673,38,2,10.0
63,24_05_16_09_xform_Eapp,3,0.0455,38,3,15.0
64,24_05_16_09_xform_Eapp,3,0.0518,38,4,20.0
65,24_05_16_09_xform_Eapp,3,0.0406,38,5,25.0
66,24_05_16_09_xform_Eapp,3,0.0254,38,6,30.0
67,24_05_16_09_xform_Eapp,3,0.0625,38,7,35.0
