,id,roi,int,dist,index,time
0,24_05_16_09_xform_ch3,1,-0.0051,31,0,0.0
1,24_05_16_09_xform_ch3,1,0.015,31,1,5.0
2,24_05_16_09_xform_ch3,1,-0.0298,31,2,10.0
3,24_05_16_09_xform_ch3,1,-0.0023,31,3,15.0
4,24_05_16_09_xform_ch3,1,0.0222,31,4,20.0
5,24_05_16_09_xform_ch3,1,-0.0386,31,5,25.0
6,24_05_16_09_xform_ch3,1,-0.0292,31,6,30.0
7,24_05_16_09_xform_ch3,1,-0.061,31,7,35.0
8,24_05_16_09_xform_ch3,1,-0.1021,31,8,40.0
9,24_05_16_09_xform_ch3,1,-0.1197,31,9,45.0
10,24_05_16_09_xform_ch3,1,-0.1046,31,10,50.0
11,24_05_16_09_xform_ch3,1,-0.1002,31,11,55.0
12,24_05_16_09_xform_ch3,1,-0.0916,31,12,60.0
13,24_05_16_09_xform_ch3,1,-0.0899,31,13,65.0
14,24_05_16_09_xform_ch3,1,-0.004,31,14,70.0
15,24_05_16_09_xform_ch3,1,-0.0359,31,15,75.0
16,24_05_16_09_xform_ch3,1,-0.0933,31,16,80.0
17,24_05_16_09_xform_ch3,1,-0.0729,31,17,85.0
18,24_05_16_09_xform_ch3,1,-0.0579,31,18,90.0
19,24_05_16_09_xform_ch3,1,-0.1377,31,19,95.0
20,24_05_16_09_xform_ch3,1,-0.1618,31,20,100.0
21,24_05_16_09_xform_ch3,1,-0.1,31,21,105.0
22,24_05_16_09_xform_ch3,1,-0.1555,31,22,110.0
23,24_05_16_09_xform_ch3,1,-0.1224,31,23,115.0
24,24_05_16_09_xform_ch3,1,-0.127,31,24,120.0
25,24_05_16_09_xform_ch3,1,-0.1274,31,25,125.0
26,24_05_16_09_xform_ch3,1,-0.1195,31,26,130.0
27,24_05_16_09_xform_ch3,1,-0.0977,31,27,135.0
28,24_05_16_09_xform_ch3,1,-0.1234,31,28,140.0
29,24_05_16_09_xform_ch3,1,-0.1716,31,30,145.0
30,24_05_16_09_xform_ch3,2,0.0508,16,0,0.0
31,24_05_16_09_xform_ch3,2,0.0321,16,1,5.0
32,24_05_16_09_xform_ch3,2,-0.0373,16,2,10.0
33,24_05_16_09_xform_ch3,2,-0.0583,16,3,15.0
34,24_05_16_09_xform_ch3,2,0.0127,16,4,20.0
35,24_05_16_09_xform_ch3,2,-0.0491,16,5,25.0
36,24_05_16_09_xform_ch3,2,-0.0586,16,6,30.0
37,24_05_16_09_xform_ch3,2,-0.0133,16,7,35.0
38,24_05_16_09_xform_ch3,2,-0.0317,16,8,40.0
39,24_05_16_09_xform_ch3,2,-0.0365,16,9,45.0
40,24_05_16_09_xform_ch3,2,-0.0679,16,10,50.0
41,24_05_16_09_xform_ch3,2,-0.0832,16,11,55.0
42,24_05_16_09_xform_ch3,2,-0.1113,16,12,60.0
43,24_05_16_09_xform_ch3,2,-0.1078,16,13,65.0
44,24_05_16_09_xform_ch3,2,-0.0908,16,14,70.0
45,24_05_16_09_xform_ch3,2,-0.0732,16,15,75.0
46,24_05_16_09_xform_ch3,2,-0.131,16,16,80.0
47,24_05_16_09_xform_ch3,2,-0.1297,16,17,85.0
48,24_05_16_09_xform_ch3,2,-0.1313,16,18,90.0
49,24_05_16_09_xform_ch3,2,-0.0978,16,19,95.0
50,24_05_16_09_xform_ch3,2,-0.1465,16,20,100.0
51,24_05_16_09_xform_ch3,2,-0.0916,16,21,105.0
52,24_05_16_09_xform_ch3,2,-0.129,16,22,110.0
53,24_05_16_09_xform_ch3,2,-0.109,16,23,115.0
54,24_05_16_09_xform_ch3,2,-0.129,16,24,120.0
55,24_05_16_09_xform_ch3,2,-0.1376,16,25,125.0
56,24_05_16_09_xform_ch3,2,-0.1362,16,26,130.0
57,24_05_16_09_xform_ch3,2,-0.1622,16,27,135.0
58,24_05_16_09_xform_ch3,2,-0.1764,16,28,140.0
59,24_05_16_09_xform_ch3,2,-0.2091,16,30,145.0
60,24_05_16_09_xform_ch3,3,-0.0092,38,0,0.0
61,24_05_16_09_xform_ch3,3,0.0047,38,1,5.0
62,24_05_16_09_xform_ch3,3,0.056,38,2,10.0
63,24_05_16_09_xform_ch3,3,-0.002,38,3,15.0
64,24_05_16_09_xform_ch3,3,-0.0495,38,4,20.0
65,24_05_16_09_xform_ch3,3,-0.0611,38,5,25.0
66,24_05_16_09_xform_ch3,3,-0.1145,38,6,30.0
67,24_05_16_09_xform_ch3,3,-0.1578,38,7,35.0
68,24_05_16_09_xform_ch3,3,-0.1149,38,8,40.0
69,24_05_16_09_xform_ch3,3,-0.1046,38,9,45.0
70,24_05_16_09_xform_ch3,3,-0.1271,38,10,50.0
71,24_05_16_09_xform_ch3,3,-0.1395,38,11,55.0
72,24_05_16_09_xform_ch3,3,-0.1628,38,12,60.0
73,24_05_16_09_xform_ch3,3,-0.0962,38,13,65.0
74,24_05_16_09_xform_ch3,3,-0.1694,38,14,70.0
75,24_05_16_09_xform_ch3,3,-0.2021,38,15,75.0
76,24_05_16_09_xform_ch3,3,-0.2077,38,16,80.0
77,24_05_16_09_xform_ch3,3,-0.2272,38,17,85.0
78,24_05_16_09_xform_ch3,3,-0.2181,38,18,90.0
79,24_05_16_09_xform_ch3,3,-0.2274,38,19,95.0
80,24_05_16_09_xform_ch3,3,-0.2272,38,20,100.0
81,24_05_16_09_xform_ch3,3,-0.2027,38,21,105.0
82,24_05_16_09_xform_ch3,3,-0.1961,38,22,110.0
83,24_05_16_09_xform_ch3,3,-0.2316,38,23,115.0
84,24_05_16_09_xform_ch3,3,-0.226,38,24,120.0
85,24_05_16_09_xform_ch3,3,-0.184,38,25,125.0
86,24_05_16_09_xform_ch3,3,-0.1608,38,26,130.0
87,24_05_16_09_xform_ch3,3,-0.181,38,27,135.0
88,24_05_16_09_xform_ch3,3,-0.2348,38,28,140.0
89,24_05_16_09_xform_ch3,3,-0.2468,38,30,145.0
90,24_05_16_09_xform_ch3,4,0.046,19,0,0.0
91,24_05_16_09_xform_ch3,4,0.0339,19,1,5.0
92,24_05_16_09_xform_ch3,4,-0.0129,19,2,10.0
93,24_05_16_09_xform_ch3,4,-0.007,19,3,15.0
94,24_05_16_09_xform_ch3,4,-0.0599,19,4,20.0
95,24_05_16_09_xform_ch3,4,-0.0766,19,5,25.0
96,24_05_16_09_xform_ch3,4,-0.028,19,6,30.0
97,24_05_16_09_xform_ch3,4,-0.036,19,7,35.0
98,24_05_16_09_xform_ch3,4,0.0057,19,8,40.0
99,24_05_16_09_xform_ch3,4,-0.0209,19,9,45.0
100,24_05_16_09_xform_ch3,4,-0.0718,19,10,50.0
101,24_05_16_09_xform_ch3,4,-0.0791,19,11,55.0
102,24_05_16_09_xform_ch3,4,-0.0848,19,12,60.0
103,24_05_16_09_xform_ch3,4,-0.0683,19,13,65.0
104,24_05_16_09_xform_ch3,4,-0.0964,19,14,70.0
105,24_05_16_09_xform_ch3,4,-0.1291,19,15,75.0
106,24_05_16_09_xform_ch3,4,-0.1022,19,16,80.0
107,24_05_16_09_xform_ch3,4,-0.1016,19,17,85.0
108,24_05_16_09_xform_ch3,4,-0.114,19,18,90.0
109,24_05_16_09_xform_ch3,4,-0.122,19,19,95.0
110,24_05_16_09_xform_ch3,4,-0.1404,19,20,100.0
111,24_05_16_09_xform_ch3,4,-0.1448,19,21,105.0
112,24_05_16_09_xform_ch3,4,-0.1409,19,22,110.0
113,24_05_16_09_xform_ch3,4,-0.19,19,23,115.0
114,24_05_16_09_xform_ch3,4,-0.1692,19,24,120.0
115,24_05_16_09_xform_ch3,4,-0.1909,19,25,125.0
116,24_05_16_09_xform_ch3,4,-0.1737,19,26,130.0
117,24_05_16_09_xform_ch3,4,-0.1895,19,27,135.0
118,24_05_16_09_xform_ch3,4,-0.2127,19,28,140.0
119,24_05_16_09_xform_ch3,4,-0.1933,19,30,145.0
120,24_05_16_09_xform_ch3,5,0.0477,37,0,0.0
121,24_05_16_09_xform_ch3,5,0.0035,37,1,5.0
122,24_05_16_09_xform_ch3,5,-0.003,37,2,10.0
123,24_05_16_09_xform_ch3,5,-0.0253,37,3,15.0
124,24_05_16_09_xform_ch3,5,-0.023,37,4,20.0
125,24_05_16_09_xform_ch3,5,-0.0259,37,5,25.0
126,24_05_16_09_xform_ch3,5,-0.025,37,6,30.0
127,24_05_16_09_xform_ch3,5,-0.0327,37,7,35.0
128,24_05_16_09_xform_ch3,5,-0.0298,37,8,40.0
129,24_05_16_09_xform_ch3,5,-0.0666,37,9,45.0
130,24_05_16_09_xform_ch3,5,-0.0602,37,10,50.0
