,id,roi,int,dist,index,time
0,cell4_HPCA,1,0.0244,376,0,0.0
1,cell4_HPCA,1,0.0051,376,1,1.0
2,cell4_HPCA,1,-0.0072,376,2,2.0
3,cell4_HPCA,1,-0.0047,376,3,3.0
4,cell4_HPCA,1,-0.0176,376,4,4.0
5,cell4_HPCA,1,0.012,376,5,5.0
6,cell4_HPCA,1,-0.0164,376,6,6.0
7,cell4_HPCA,1,0.1736,376,7,7.0
8,cell4_HPCA,1,-0.0532,376,8,8.0
9,cell4_HPCA,1,-0.091,376,9,9.0
10,cell4_HPCA,1,-0.1288,376,10,10.0
11,cell4_HPCA,1,-0.1306,376,11,11.0
12,cell4_HPCA,1,-0.12,376,12,12.0
13,cell4_HPCA,1,-0.1161,376,13,13.0
14,cell4_HPCA,1,-0.0945,376,14,14.0
15,cell4_HPCA,1,-0.0931,376,15,15.0
16,cell4_HPCA,1,-0.085,376,16,16.0
17,cell4_HPCA,1,-0.1405,376,17,17.0
18,cell4_HPCA,1,-0.1241,376,18,18.0
19,cell4_HPCA,1,-0.1385,376,19,19.0
20,cell4_HPCA,1,-0.1341,376,20,20.0
21,cell4_HPCA,1,-0.1524,376,21,21.0
22,cell4_HPCA,1,-0.1104,376,22,22.0
23,cell4_HPCA,1,-0.1211,376,23,23.0
24,cell4_HPCA,1,-0.1377,376,24,24.0
25,cell4_HPCA,1,-0.1644,376,25,25.0
26,cell4_HPCA,1,-0.1807,376,26,26.0
27,cell4_HPCA,1,-0.182,376,27,27.0
28,cell4_HPCA,1,-0.15,376,28,28.0
29,cell4_HPCA,1,-0.1485,376,29,29.0
30,cell4_HPCA,1,-0.1658,376,30,30.0
31,cell4_HPCA,1,-0.1938,376,31,31.0
32,cell4_HPCA,1,-0.175,376,32,32.0
33,cell4_HPCA,1,-0.1988,376,33,33.0
34,cell4_HPCA,1,-0.1738,376,34,34.0
35,cell4_HPCA,1,-0.1779,376,36,35.0
36,cell4_HPCA,2,0.0312,411,0,0.0
37,cell4_HPCA,2,0.007,411,1,1.0
38,cell4_HPCA,2,-0.0034,411,2,2.0
39,cell4_HPCA,2,0.023,411,3,3.0
40,cell4_HPCA,2,-0.0577,411,4,4.0
41,cell4_HPCA,2,-0.0968,411,5,5.0
42,cell4_HPCA,2,-0.0919,411,6,6.0
43,cell4_HPCA,2,0.0126,411,7,7.0
44,cell4_HPCA,2,-0.0277,411,8,8.0
45,cell4_HPCA,2,-0.0364,411,9,9.0
46,cell4_HPCA,2,0.0301,411,10,10.0
47,cell4_HPCA,2,0.0784,411,11,11.0
48,cell4_HPCA,2,0.0487,411,12,12.0
49,cell4_HPCA,2,-0.0217,411,13,13.0
50,cell4_HPCA,2,-0.0792,411,14,14.0
51,cell4_HPCA,2,-0.0238,411,15,15.0
52,cell4_HPCA,2,0.0156,411,16,16.0
53,cell4_HPCA,2,0.046,411,17,17.0
54,cell4_HPCA,2,0.0241,411,18,18.0
55,cell4_HPCA,2,0.0022,411,19,19.0
56,cell4_HPCA,2,0.0231,411,20,20.0
57,cell4_HPCA,2,0.0469,411,21,21.0
58,cell4_HPCA,2,0.0526,411,22,22.0
59,cell4_HPCA,2,0.0328,411,23,23.0
60,cell4_HPCA,2,0.0187,411,24,24.0
61,cell4_HPCA,2,0.0374,411,25,25.0
62,cell4_HPCA,2,0.0194,411,26,26.0
63,cell4_HPCA,2,0.0203,411,27,27.0
64,cell4_HPCA,2,0.0618,411,28,28.0
65,cell4_HPCA,2,0.0973,411,29,29.0
66,cell4_HPCA,2,0.1174,411,30,30.0
67,cell4_HPCA,2,0.1632,411,31,31.0
68,cell4_HPCA,2,0.1602,411,32,32.0
69,cell4_HPCA,2,0.1025,411,33,33.0
70,cell4_HPCA,2,0.0939,411,34,34.0
71,cell4_HPCA,2,0.0507,411,36,35.0
72,cell4_HPCA,3,0.0407,311,0,0.0
73,cell4_HPCA,3,-0.0056,311,1,1.0
74,cell4_HPCA,3,0.022,311,2,2.0
75,cell4_HPCA,3,-0.0295,311,3,3.0
76,cell4_HPCA,3,-0.0275,311,4,4.0
77,cell4_HPCA,3,-0.0121,311,5,5.0
78,cell4_HPCA,3,-0.0395,311,6,6.0
79,cell4_HPCA,3,0.1051,311,7,7.0
80,cell4_HPCA,3,-0.0545,311,8,8.0
81,cell4_HPCA,3,-0.0884,311,9,9.0
82,cell4_HPCA,3,-0.0544,311,10,10.0
83,cell4_HPCA,3,-0.0543,311,11,11.0
84,cell4_HPCA,3,-0.0636,311,12,12.0
85,cell4_HPCA,3,-0.066,311,13,13.0
86,cell4_HPCA,3,-0.0596,311,14,14.0
87,cell4_HPCA,3,-0.0645,311,15,15.0
88,cell4_HPCA,3,-0.0919,311,16,16.0
89,cell4_HPCA,3,-0.1107,311,17,17.0
90,cell4_HPCA,3,-0.15,311,18,18.0
91,cell4_HPCA,3,-0.1416,311,19,19.0
92,cell4_HPCA,3,-0.1518,311,20,20.0
93,cell4_HPCA,3,-0.1416,311,21,21.0
94,cell4_HPCA,3,-0.1145,311,22,22.0
95,cell4_HPCA,3,-0.1239,311,23,23.0
96,cell4_HPCA,3,-0.1297,311,24,24.0
97,cell4_HPCA,3,-0.138,311,25,25.0
98,cell4_HPCA,3,-0.1765,311,26,26.0
99,cell4_HPCA,3,-0.2137,311,27,27.0
100,cell4_HPCA,3,-0.183,311,28,28.0
101,cell4_HPCA,3,-0.1952,311,29,29.0
102,cell4_HPCA,3,-0.1704,311,30,30.0
103,cell4_HPCA,3,-0.1549,311,31,31.0
104,cell4_HPCA,3,-0.1636,311,32,32.0
105,cell4_HPCA,3,-0.2036,311,33,33.0
106,cell4_HPCA,3,-0.1764,311,34,34.0
107,cell4_HPCA,3,-0.2018,311,36,35.0
108,cell4_HPCA,4,0.0589,295,0,0.0
109,cell4_HPCA,4,0.0084,295,1,1.0
110,cell4_HPCA,4,-0.0008,295,2,2.0
111,cell4_HPCA,4,-0.0347,295,3,3.0
112,cell4_HPCA,4,-0.0318,295,4,4.0
113,cell4_HPCA,4,0.0039,295,5,5.0
114,cell4_HPCA,4,-0.0232,295,6,6.0
115,cell4_HPCA,4,0.1725,295,7,7.0
116,cell4_HPCA,4,-0.0748,295,8,8.0
117,cell4_HPCA,4,-0.0766,295,9,9.0
118,cell4_HPCA,4,-0.0911,295,10,10.0
119,cell4_HPCA,4,-0.101,295,11,11.0
120,cell4_HPCA,4,-0.1039,295,12,12.0
121,cell4_HPCA,4,-0.103,295,13,13.0
122,cell4_HPCA,4,-0.1059,295,14,14.0
123,cell4_HPCA,4,-0.0861,295,15,15.0
124,cell4_HPCA,4,-0.079,295,16,16.0
125,cell4_HPCA,4,-0.0716,295,17,17.0
126,cell4_HPCA,4,-0.0427,295,18,18.0
127,cell4_HPCA,4,-0.0461,295,19,19.0
128,cell4_HPCA,4,-0.0426,295,20,20.0
129,cell4_HPCA,4,-0.0497,295,21,21.0
130,cell4_HPCA,4,-0.0766,295,22,22.0
131,cell4_HPCA,4,-0.104,295,23,23.0
132,cell4_HPCA,4,-0.1039,295,24,24.0
133,cell4_HPCA,4,-0.0979,295,25,25.0
134,cell4_HPCA,4,-0.064,295,26,26.0
135,cell4_HPCA,4,-0.0405,295,27,27.0
136,cell4_HPCA,4,-0.0485,295,28,28.0
137,cell4_HPCA,4,-0.0519,295,29,29.0
138,cell4_HPCA,4,-0.04,295,30,30.0
