,id,roi,int,dist,index,time
0,cell7_HPCA,1,-0.0096,431,0,0.0
1,cell7_HPCA,1,-0.0037,431,1,1.0
2,cell7_HPCA,1,0.0002,431,2,2.0
3,cell7_HPCA,1,0.0078,431,3,3.0
4,cell7_HPCA,1,0.0054,431,4,4.0
5,cell7_HPCA,1,0.1435,431,5,5.0
6,cell7_HPCA,1,0.2165,431,6,6.0
7,cell7_HPCA,1,0.2753,431,7,7.0
8,cell7_HPCA,1,0.2418,431,8,8.0
9,cell7_HPCA,1,0.2522,431,9,9.0
10,cell7_HPCA,1,0.218,431,10,10.0
11,cell7_HPCA,1,0.2502,431,11,11.0
12,cell7_HPCA,1,0.2276,431,12,12.0
13,cell7_HPCA,1,0.289,431,13,13.0
14,cell7_HPCA,1,0.2435,431,14,14.0
15,cell7_HPCA,1,0.2922,431,15,15.0
16,cell7_HPCA,1,0.2283,431,16,16.0
17,cell7_HPCA,1,0.2475,431,17,17.0
18,cell7_HPCA,1,0.2214,431,18,18.0
19,cell7_HPCA,1,0.1811,431,19,19.0
20,cell7_HPCA,1,0.2529,431,20,20.0
21,cell7_HPCA,1,0.2357,431,21,21.0
22,cell7_HPCA,1,0.2507,431,22,22.0
23,cell7_HPCA,1,0.2433,431,23,23.0
24,cell7_HPCA,1,0.2236,431,24,24.0
25,cell7_HPCA,1,0.2426,431,25,25.0
26,cell7_HPCA,1,0.2313,431,26,26.0
27,cell7_HPCA,1,0.1332,431,27,27.0
28,cell7_HPCA,1,0.1524,431,28,28.0
29,cell7_HPCA,1,0.1034,431,29,29.0
30,cell7_HPCA,1,0.1408,431,30,30.0
31,cell7_HPCA,1,0.1465,431,31,31.0
32,cell7_HPCA,1,0.1671,431,32,32.0
33,cell7_HPCA,1,0.1543,431,33,33.0
34,cell7_HPCA,1,0.1514,431,34,34.0
35,cell7_HPCA,1,0.1976,431,35,35.0
36,cell7_HPCA,1,0.185,431,36,36.0
37,cell7_HPCA,1,0.1651,431,37,37.0
38,cell7_HPCA,1,0.0629,431,38,38.0
39,cell7_HPCA,1,-0.061,431,39,39.0
40,cell7_HPCA,1,-0.1126,431,40,40.0
41,cell7_HPCA,1,-0.1876,431,41,41.0
42,cell7_HPCA,1,-0.1987,431,42,42.0
43,cell7_HPCA,1,-0.1679,431,43,43.0
44,cell7_HPCA,1,-0.1979,431,44,44.0
45,cell7_HPCA,1,-0.1751,431,45,45.0
46,cell7_HPCA,1,-0.0625,431,46,46.0
47,cell7_HPCA,1,-0.1089,431,47,47.0
48,cell7_HPCA,1,-0.2028,431,48,48.0
49,cell7_HPCA,1,-0.2508,431,49,49.0
50,cell7_HPCA,1,-0.3149,431,50,50.0
51,cell7_HPCA,1,-0.3125,431,51,51.0
52,cell7_HPCA,1,-0.3407,431,52,52.0
53,cell7_HPCA,1,-0.3206,431,53,53.0
54,cell7_HPCA,1,-0.3063,431,54,54.0
55,cell7_HPCA,1,-0.386,431,55,55.0
56,cell7_HPCA,1,-0.3835,431,56,56.0
57,cell7_HPCA,1,-0.2638,431,57,57.0
58,cell7_HPCA,1,-0.2754,431,58,58.0
59,cell7_HPCA,1,-0.2972,431,59,59.0
60,cell7_HPCA,1,-0.3083,431,60,60.0
61,cell7_HPCA,1,-0.2456,431,61,61.0
62,cell7_HPCA,1,-0.2945,431,62,62.0
63,cell7_HPCA,1,-0.3316,431,63,63.0
64,cell7_HPCA,1,-0.3985,431,64,64.0
65,cell7_HPCA,1,-0.4098,431,65,65.0
66,cell7_HPCA,1,-0.181,431,66,66.0
67,cell7_HPCA,1,-0.1584,431,67,67.0
68,cell7_HPCA,1,-0.1045,431,68,68.0
69,cell7_HPCA,1,-0.1048,431,69,69.0
70,cell7_HPCA,1,-0.107,431,70,70.0
71,cell7_HPCA,1,-0.0701,431,71,71.0
72,cell7_HPCA,1,-0.0472,431,72,72.0
73,cell7_HPCA,1,-0.1119,431,73,73.0
74,cell7_HPCA,1,-0.192,431,74,74.0
75,cell7_HPCA,1,-0.3402,431,75,75.0
76,cell7_HPCA,1,-0.3147,431,76,76.0
77,cell7_HPCA,1,-0.2958,431,77,77.0
78,cell7_HPCA,1,-0.3572,431,78,78.0
79,cell7_HPCA,1,-0.3732,431,79,79.0
80,cell7_HPCA,1,-0.3135,431,80,80.0
81,cell7_HPCA,1,-0.3248,431,81,81.0
82,cell7_HPCA,1,-0.2879,431,82,82.0
83,cell7_HPCA,1,-0.2645,431,83,83.0
84,cell7_HPCA,1,-0.1851,431,84,84.0
85,cell7_HPCA,1,-0.21,431,85,85.0
86,cell7_HPCA,1,-0.2628,431,86,86.0
87,cell7_HPCA,1,-0.2417,431,87,87.0
88,cell7_HPCA,1,-0.2476,431,88,88.0
89,cell7_HPCA,1,-0.2405,431,90,89.0
90,cell7_HPCA,2,0.0041,379,0,0.0
91,cell7_HPCA,2,0.0017,379,1,1.0
92,cell7_HPCA,2,0.0055,379,2,2.0
93,cell7_HPCA,2,0.0069,379,3,3.0
94,cell7_HPCA,2,-0.0181,379,4,4.0
95,cell7_HPCA,2,-0.0094,379,5,5.0
96,cell7_HPCA,2,0.0255,379,6,6.0
97,cell7_HPCA,2,0.0059,379,7,7.0
