,id,roi,int,dist,index,time
0,24_06_06_cell1_xform_ch0,1,0.0503,116,0,0.0
1,24_06_06_cell1_xform_ch0,1,0.0135,116,1,5.0
2,24_06_06_cell1_xform_ch0,1,-0.022,116,2,10.0
3,24_06_06_cell1_xform_ch0,1,-0.0268,116,3,15.0
4,24_06_06_cell1_xform_ch0,1,-0.0151,116,4,20.0
5,24_06_06_cell1_xform_ch0,1,-0.0527,116,5,25.0
6,24_06_06_cell1_xform_ch0,1,0.2071,116,6,30.0
7,24_06_06_cell1_xform_ch0,1,0.3009,116,7,35.0
8,24_06_06_cell1_xform_ch0,1,0.2785,116,8,40.0
9,24_06_06_cell1_xform_ch0,1,-0.084,116,9,45.0
10,24_06_06_cell1_xform_ch0,1,-0.0639,116,10,50.0
11,24_06_06_cell1_xform_ch0,1,-0.0387,116,11,55.0
12,24_06_06_cell1_xform_ch0,1,-0.0143,116,12,60.0
13,24_06_06_cell1_xform_ch0,1,-0.0079,116,13,65.0
14,24_06_06_cell1_xform_ch0,1,-0.0267,116,14,70.0
15,24_06_06_cell1_xform_ch0,1,-0.0093,116,15,75.0
16,24_06_06_cell1_xform_ch0,1,-0.0057,116,16,80.0
17,24_06_06_cell1_xform_ch0,1,-0.0513,116,17,85.0
18,24_06_06_cell1_xform_ch0,1,-0.08,116,18,90.0
19,24_06_06_cell1_xform_ch0,1,-0.0926,116,19,95.0
20,24_06_06_cell1_xform_ch0,1,-0.1055,116,20,100.0
21,24_06_06_cell1_xform_ch0,1,-0.1054,116,21,105.0
22,24_06_06_cell1_xform_ch0,1,-0.0777,116,22,110.0
23,24_06_06_cell1_xform_ch0,1,-0.1057,116,23,115.0
24,24_06_06_cell1_xform_ch0,1,-0.0681,116,24,120.0
25,24_06_06_cell1_xform_ch0,1,-0.0248,116,25,125.0
26,24_06_06_cell1_xform_ch0,1,-0.0121,116,26,130.0
27,24_06_06_cell1_xform_ch0,1,-0.0181,116,27,135.0
28,24_06_06_cell1_xform_ch0,1,0.0083,116,28,140.0
29,24_06_06_cell1_xform_ch0,1,0.0507,116,29,145.0
30,24_06_06_cell1_xform_ch0,1,0.0124,116,30,150.0
31,24_06_06_cell1_xform_ch0,1,0.0116,116,31,155.0
32,24_06_06_cell1_xform_ch0,1,0.0196,116,32,160.0
33,24_06_06_cell1_xform_ch0,1,-0.0123,116,33,165.0
34,24_06_06_cell1_xform_ch0,1,0.0047,116,34,170.0
35,24_06_06_cell1_xform_ch0,1,0.028,116,35,175.0
36,24_06_06_cell1_xform_ch0,1,0.0361,116,36,180.0
37,24_06_06_cell1_xform_ch0,1,0.0547,116,37,185.0
38,24_06_06_cell1_xform_ch0,1,0.0642,116,38,190.0
39,24_06_06_cell1_xform_ch0,1,0.0478,116,39,195.0
40,24_06_06_cell1_xform_ch0,1,0.0673,116,40,200.0
41,24_06_06_cell1_xform_ch0,1,0.0853,116,41,205.0
42,24_06_06_cell1_xform_ch0,1,0.0726,116,42,210.0
43,24_06_06_cell1_xform_ch0,1,0.0602,116,43,215.0
44,24_06_06_cell1_xform_ch0,1,0.0814,116,44,220.0
45,24_06_06_cell1_xform_ch0,1,0.0887,116,45,225.0
46,24_06_06_cell1_xform_ch0,1,0.0845,116,46,230.0
47,24_06_06_cell1_xform_ch0,1,0.1513,116,48,235.0
48,24_06_06_cell1_xform_ch0,2,0.0012,122,0,0.0
49,24_06_06_cell1_xform_ch0,2,0.0004,122,1,5.0
50,24_06_06_cell1_xform_ch0,2,0.0163,122,2,10.0
51,24_06_06_cell1_xform_ch0,2,0.0012,122,3,15.0
52,24_06_06_cell1_xform_ch0,2,-0.0192,122,4,20.0
53,24_06_06_cell1_xform_ch0,2,-0.0172,122,5,25.0
54,24_06_06_cell1_xform_ch0,2,-0.2073,122,6,30.0
55,24_06_06_cell1_xform_ch0,2,-0.2562,122,7,35.0
56,24_06_06_cell1_xform_ch0,2,-0.2529,122,8,40.0
57,24_06_06_cell1_xform_ch0,2,-0.1062,122,9,45.0
58,24_06_06_cell1_xform_ch0,2,-0.1031,122,10,50.0
59,24_06_06_cell1_xform_ch0,2,-0.0989,122,11,55.0
60,24_06_06_cell1_xform_ch0,2,-0.1213,122,12,60.0
61,24_06_06_cell1_xform_ch0,2,-0.1329,122,13,65.0
62,24_06_06_cell1_xform_ch0,2,-0.1542,122,14,70.0
63,24_06_06_cell1_xform_ch0,2,-0.1828,122,15,75.0
64,24_06_06_cell1_xform_ch0,2,-0.2002,122,16,80.0
65,24_06_06_cell1_xform_ch0,2,-0.1974,122,17,85.0
66,24_06_06_cell1_xform_ch0,2,-0.2172,122,18,90.0
67,24_06_06_cell1_xform_ch0,2,-0.218,122,19,95.0
68,24_06_06_cell1_xform_ch0,2,-0.226,122,20,100.0
69,24_06_06_cell1_xform_ch0,2,-0.2226,122,21,105.0
70,24_06_06_cell1_xform_ch0,2,-0.2304,122,22,110.0
71,24_06_06_cell1_xform_ch0,2,-0.2475,122,23,115.0
72,24_06_06_cell1_xform_ch0,2,-0.2256,122,24,120.0
73,24_06_06_cell1_xform_ch0,2,-0.2374,122,25,125.0
74,24_06_06_cell1_xform_ch0,2,-0.2221,122,26,130.0
75,24_06_06_cell1_xform_ch0,2,-0.223,122,27,135.0
76,24_06_06_cell1_xform_ch0,2,-0.2259,122,28,140.0
77,24_06_06_cell1_xform_ch0,2,-0.226,122,29,145.0
78,24_06_06_cell1_xform_ch0,2,-0.2122,122,30,150.0
79,24_06_06_cell1_xform_ch0,2,-0.1953,122,31,155.0
80,24_06_06_cell1_xform_ch0,2,-0.1987,122,32,160.0
81,24_06_06_cell1_xform_ch0,2,-0.1932,122,33,165.0
82,24_06_06_cell1_xform_ch0,2,-0.1828,122,34,170.0
83,24_06_06_cell1_xform_ch0,2,-0.1953,122,35,175.0
84,24_06_06_cell1_xform_ch0,2,-0.1703,122,36,180.0
85,24_06_06_cell1_xform_ch0,2,-0.19,122,37,185.0
86,24_06_06_cell1_xform_ch0,2,-0.1697,122,38,190.0
87,24_06_06_cell1_xform_ch0,2,-0.158,122,39,195.0
88,24_06_06_cell1_xform_ch0,2,-0.1687,122,40,200.0
89,24_06_06_cell1_xform_ch0,2,-0.1659,122,41,205.0
90,24_06_06_cell1_xform_ch0,2,-0.1443,122,42,210.0
91,24_06_06_cell1_xform_ch0,2,-0.1485,122,43,215.0
92,24_06_06_cell1_xform_ch0,2,-0.1486,122,44,220.0
93,24_06_06_cell1_xform_ch0,2,-0.1699,122,45,225.0
94,24_06_06_cell1_xform_ch0,2,-0.1461,122,46,230.0
95,24_06_06_cell1_xform_ch0,2,-0.1398,122,48,235.0
96,24_06_06_cell1_xform_ch0,3,0.0123,106,0,0.0
97,24_06_06_cell1_xform_ch0,3,0.0093,106,1,5.0
98,24_06_06_cell1_xform_ch0,3,-0.0185,106,2,10.0
99,24_06_06_cell1_xform_ch0,3,-0.003,106,3,15.0
100,24_06_06_cell1_xform_ch0,3,-0.0001,106,4,20.0
101,24_06_06_cell1_xform_ch0,3,-0.0149,106,5,25.0
102,24_06_06_cell1_xform_ch0,3,-0.2459,106,6,30.0
103,24_06_06_cell1_xform_ch0,3,-0.2851,106,7,35.0
104,24_06_06_cell1_xform_ch0,3,-0.331,106,8,40.0
105,24_06_06_cell1_xform_ch0,3,-0.1521,106,9,45.0
106,24_06_06_cell1_xform_ch0,3,-0.1138,106,10,50.0
