,id,roi,int,dist,index,time
0,24_06_06_cell3_HPCA,1,0.0048,224,0,0.0
1,24_06_06_cell3_HPCA,1,-0.0027,224,1,5.0
2,24_06_06_cell3_HPCA,1,0.0174,224,2,10.0
3,24_06_06_cell3_HPCA,1,-0.0107,224,3,15.0
4,24_06_06_cell3_HPCA,1,-0.0087,224,4,20.0
5,24_06_06_cell3_HPCA,1,-0.0238,224,5,25.0
6,24_06_06_cell3_HPCA,1,-0.0554,224,6,30.0
7,24_06_06_cell3_HPCA,1,-0.0641,224,7,35.0
8,24_06_06_cell3_HPCA,1,-0.0464,224,8,40.0
9,24_06_06_cell3_HPCA,1,-0.0659,224,9,45.0
10,24_06_06_cell3_HPCA,1,-0.0767,224,10,50.0
11,24_06_06_cell3_HPCA,1,-0.0783,224,11,55.0
12,24_06_06_cell3_HPCA,1,-0.091,224,12,60.0
13,24_06_06_cell3_HPCA,1,-0.1058,224,13,65.0
14,24_06_06_cell3_HPCA,1,-0.088,224,14,70.0
15,24_06_06_cell3_HPCA,1,-0.0412,224,15,75.0
16,24_06_06_cell3_HPCA,1,-0.0329,224,16,80.0
17,24_06_06_cell3_HPCA,1,-0.0212,224,17,85.0
18,24_06_06_cell3_HPCA,1,-0.0281,224,18,90.0
19,24_06_06_cell3_HPCA,1,-0.0599,224,19,95.0
20,24_06_06_cell3_HPCA,1,-0.0456,224,20,100.0
21,24_06_06_cell3_HPCA,1,-0.0894,224,21,105.0
22,24_06_06_cell3_HPCA,1,-0.1108,224,22,110.0
23,24_06_06_cell3_HPCA,1,-0.1073,224,23,115.0
24,24_06_06_cell3_HPCA,1,-0.085,224,24,120.0
25,24_06_06_cell3_HPCA,1,-0.1012,224,25,125.0
26,24_06_06_cell3_HPCA,1,-0.0815,224,26,130.0
27,24_06_06_cell3_HPCA,1,-0.083,224,27,135.0
28,24_06_06_cell3_HPCA,1,-0.1037,224,28,140.0
29,24_06_06_cell3_HPCA,1,-0.1231,224,29,145.0
30,24_06_06_cell3_HPCA,1,-0.1245,224,30,150.0
31,24_06_06_cell3_HPCA,1,-0.1299,224,31,155.0
32,24_06_06_cell3_HPCA,1,-0.1258,224,32,160.0
33,24_06_06_cell3_HPCA,1,-0.1386,224,33,165.0
34,24_06_06_cell3_HPCA,1,-0.1296,224,34,170.0
35,24_06_06_cell3_HPCA,1,-0.1458,224,36,175.0
36,24_06_06_cell3_HPCA,2,0.0058,222,0,0.0
37,24_06_06_cell3_HPCA,2,0.0197,222,1,5.0
38,24_06_06_cell3_HPCA,2,-0.0091,222,2,10.0
39,24_06_06_cell3_HPCA,2,-0.0126,222,3,15.0
40,24_06_06_cell3_HPCA,2,-0.0039,222,4,20.0
41,24_06_06_cell3_HPCA,2,-0.014,222,5,25.0
42,24_06_06_cell3_HPCA,2,0.0586,222,6,30.0
43,24_06_06_cell3_HPCA,2,-0.0904,222,7,35.0
44,24_06_06_cell3_HPCA,2,-0.0803,222,8,40.0
45,24_06_06_cell3_HPCA,2,-0.0786,222,9,45.0
46,24_06_06_cell3_HPCA,2,-0.1026,222,10,50.0
47,24_06_06_cell3_HPCA,2,-0.0511,222,11,55.0
48,24_06_06_cell3_HPCA,2,-0.047,222,12,60.0
49,24_06_06_cell3_HPCA,2,-0.0553,222,13,65.0
50,24_06_06_cell3_HPCA,2,-0.0546,222,14,70.0
51,24_06_06_cell3_HPCA,2,-0.031,222,15,75.0
52,24_06_06_cell3_HPCA,2,-0.0418,222,16,80.0
53,24_06_06_cell3_HPCA,2,-0.0425,222,17,85.0
54,24_06_06_cell3_HPCA,2,-0.0296,222,18,90.0
55,24_06_06_cell3_HPCA,2,-0.0383,222,19,95.0
