,id,roi,int,index,time
0,24_05_08_cell7_ch0,1,192.9225,0,0.0
1,24_05_08_cell7_ch0,1,187.186,1,1.0
2,24_05_08_cell7_ch0,1,185.6899,2,2.0
3,24_05_08_cell7_ch0,1,181.4419,3,3.0
4,24_05_08_cell7_ch0,1,188.8527,4,4.0
5,24_05_08_cell7_ch0,1,187.1628,5,5.0
6,24_05_08_cell7_ch0,1,209.0698,6,6.0
7,24_05_08_cell7_ch0,1,245.3876,7,7.0
8,24_05_08_cell7_ch0,1,291.5504,8,8.0
9,24_05_08_cell7_ch0,1,319.8682,9,9.0
10,24_05_08_cell7_ch0,1,327.814,10,10.0
11,24_05_08_cell7_ch0,1,349.7287,11,11.0
12,24_05_08_cell7_ch0,1,358.3256,12,12.0
13,24_05_08_cell7_ch0,1,361.3566,13,13.0
14,24_05_08_cell7_ch0,1,357.2403,14,14.0
15,24_05_08_cell7_ch0,1,373.1628,15,15.0
16,24_05_08_cell7_ch0,1,389.2636,16,16.0
17,24_05_08_cell7_ch0,1,395.2093,17,17.0
18,24_05_08_cell7_ch0,1,397.6124,18,18.0
19,24_05_08_cell7_ch0,1,402.1705,19,19.0
20,24_05_08_cell7_ch0,1,397.9767,20,20.0
21,24_05_08_cell7_ch0,1,408.5969,21,21.0
22,24_05_08_cell7_ch0,1,402.7597,22,22.0
23,24_05_08_cell7_ch0,1,409.9845,23,23.0
24,24_05_08_cell7_ch0,1,414.5426,24,24.0
25,24_05_08_cell7_ch0,1,427.2248,25,25.0
26,24_05_08_cell7_ch0,1,426.2791,26,26.0
27,24_05_08_cell7_ch0,1,418.4651,27,27.0
28,24_05_08_cell7_ch0,1,396.4264,28,28.0
29,24_05_08_cell7_ch0,1,366.6977,29,29.0
30,24_05_08_cell7_ch0,1,361.3488,30,30.0
31,24_05_08_cell7_ch0,1,347.7364,31,31.0
32,24_05_08_cell7_ch0,1,311.2558,32,32.0
33,24_05_08_cell7_ch0,1,309.5814,33,33.0
34,24_05_08_cell7_ch0,1,290.0078,34,34.0
35,24_05_08_cell7_ch0,1,270.3023,35,35.0
36,24_05_08_cell7_ch0,1,273.2171,36,36.0
37,24_05_08_cell7_ch0,1,283.4109,37,37.0
38,24_05_08_cell7_ch0,1,276.4109,38,38.0
39,24_05_08_cell7_ch0,1,276.3101,39,39.0
40,24_05_08_cell7_ch0,1,276.4341,40,40.0
41,24_05_08_cell7_ch0,1,252.3721,41,41.0
42,24_05_08_cell7_ch0,1,271.8992,42,42.0
43,24_05_08_cell7_ch0,1,261.6899,43,43.0
44,24_05_08_cell7_ch0,1,249.8682,44,44.0
45,24_05_08_cell7_ch0,1,246.9535,45,45.0
46,24_05_08_cell7_ch0,1,245.186,46,46.0
47,24_05_08_cell7_ch0,1,252.3566,47,47.0
48,24_05_08_cell7_ch0,1,264.7519,48,48.0
49,24_05_08_cell7_ch0,1,253.0465,49,49.0
50,24_05_08_cell7_ch0,1,254.5116,50,50.0
51,24_05_08_cell7_ch0,1,252.124,51,51.0
52,24_05_08_cell7_ch0,1,246.6667,52,52.0
53,24_05_08_cell7_ch0,1,249.0543,53,53.0
54,24_05_08_cell7_ch0,1,257.8527,54,54.0
55,24_05_08_cell7_ch0,1,243.9922,55,55.0
56,24_05_08_cell7_ch0,1,233.4806,56,56.0
57,24_05_08_cell7_ch0,1,239.7907,57,57.0
58,24_05_08_cell7_ch0,1,257.0698,58,58.0
59,24_05_08_cell7_ch0,1,241.4031,59,59.0
60,24_05_08_cell7_ch0,1,238.938,60,60.0
61,24_05_08_cell7_ch0,1,234.9767,61,61.0
62,24_05_08_cell7_ch0,1,230.4729,62,62.0
63,24_05_08_cell7_ch0,1,240.3953,63,63.0
64,24_05_08_cell7_ch0,1,236.4884,64,64.0
65,24_05_08_cell7_ch0,1,232.3333,65,65.0
66,24_05_08_cell7_ch0,1,228.3411,66,66.0
67,24_05_08_cell7_ch0,1,229.5426,67,67.0
68,24_05_08_cell7_ch0,1,231.1705,68,68.0
69,24_05_08_cell7_ch0,1,227.4806,69,69.0
70,24_05_08_cell7_ch0,1,234.2946,70,70.0
71,24_05_08_cell7_ch0,1,230.3798,71,71.0
72,24_05_08_cell7_ch0,1,227.6977,72,72.0
73,24_05_08_cell7_ch0,1,228.0543,73,73.0
74,24_05_08_cell7_ch0,1,235.4186,74,74.0
75,24_05_08_cell7_ch0,1,229.1628,75,75.0
76,24_05_08_cell7_ch0,1,243.1783,76,76.0
77,24_05_08_cell7_ch0,1,239.4884,77,77.0
78,24_05_08_cell7_ch0,1,256.4031,78,78.0
79,24_05_08_cell7_ch0,1,242.876,79,79.0
80,24_05_08_cell7_ch0,1,235.3023,80,80.0
81,24_05_08_cell7_ch0,1,230.9147,81,81.0
82,24_05_08_cell7_ch0,1,232.9147,82,82.0
83,24_05_08_cell7_ch0,1,231.9302,83,83.0
84,24_05_08_cell7_ch0,1,245.8915,84,84.0
85,24_05_08_cell7_ch0,1,238.7519,85,85.0
86,24_05_08_cell7_ch0,1,233.2636,86,86.0
87,24_05_08_cell7_ch0,1,229.7984,87,87.0
88,24_05_08_cell7_ch0,1,227.7209,88,88.0
89,24_05_08_cell7_ch0,1,229.1705,90,89.0
90,24_05_08_cell7_ch0,2,251.0686,0,0.0
91,24_05_08_cell7_ch0,2,248.0514,1,1.0
92,24_05_08_cell7_ch0,2,255.5943,2,2.0
93,24_05_08_cell7_ch0,2,246.6457,3,3.0
94,24_05_08_cell7_ch0,2,257.1429,4,4.0
95,24_05_08_cell7_ch0,2,257.2171,5,5.0
96,24_05_08_cell7_ch0,2,268.0457,6,6.0
97,24_05_08_cell7_ch0,2,326.0629,7,7.0
98,24_05_08_cell7_ch0,2,371.9943,8,8.0
99,24_05_08_cell7_ch0,2,395.5257,9,9.0
100,24_05_08_cell7_ch0,2,422.88,10,10.0
101,24_05_08_cell7_ch0,2,443.8971,11,11.0
102,24_05_08_cell7_ch0,2,448.76,12,12.0
103,24_05_08_cell7_ch0,2,451.9371,13,13.0
104,24_05_08_cell7_ch0,2,451.3257,14,14.0
105,24_05_08_cell7_ch0,2,462.7657,15,15.0
106,24_05_08_cell7_ch0,2,464.3771,16,16.0
107,24_05_08_cell7_ch0,2,473.2,17,17.0
108,24_05_08_cell7_ch0,2,477.9371,18,18.0
109,24_05_08_cell7_ch0,2,486.8057,19,19.0
110,24_05_08_cell7_ch0,2,486.9886,20,20.0
111,24_05_08_cell7_ch0,2,500.6571,21,21.0
112,24_05_08_cell7_ch0,2,493.2057,22,22.0
113,24_05_08_cell7_ch0,2,489.8629,23,23.0
