,id,roi,int,index,time
0,24_05_08_cell7_ch0,1,0.0327,0,0.0
1,24_05_08_cell7_ch0,1,0.002,1,1.0
2,24_05_08_cell7_ch0,1,-0.006,2,2.0
3,24_05_08_cell7_ch0,1,-0.0287,3,3.0
4,24_05_08_cell7_ch0,1,0.0109,4,4.0
5,24_05_08_cell7_ch0,1,0.0019,5,5.0
6,24_05_08_cell7_ch0,1,0.1192,6,6.0
7,24_05_08_cell7_ch0,1,0.3136,7,7.0
8,24_05_08_cell7_ch0,1,0.5607,8,8.0
9,24_05_08_cell7_ch0,1,0.7123,9,9.0
10,24_05_08_cell7_ch0,1,0.7548,10,10.0
11,24_05_08_cell7_ch0,1,0.8721,11,11.0
12,24_05_08_cell7_ch0,1,0.9181,12,12.0
13,24_05_08_cell7_ch0,1,0.9344,13,13.0
14,24_05_08_cell7_ch0,1,0.9123,14,14.0
15,24_05_08_cell7_ch0,1,0.9976,15,15.0
16,24_05_08_cell7_ch0,1,1.0837,16,16.0
17,24_05_08_cell7_ch0,1,1.1156,17,17.0
18,24_05_08_cell7_ch0,1,1.1284,18,18.0
19,24_05_08_cell7_ch0,1,1.1528,19,19.0
20,24_05_08_cell7_ch0,1,1.1304,20,20.0
21,24_05_08_cell7_ch0,1,1.1872,21,21.0
22,24_05_08_cell7_ch0,1,1.156,22,22.0
23,24_05_08_cell7_ch0,1,1.1947,23,23.0
24,24_05_08_cell7_ch0,1,1.2191,24,24.0
25,24_05_08_cell7_ch0,1,1.2869,25,25.0
26,24_05_08_cell7_ch0,1,1.2819,26,26.0
27,24_05_08_cell7_ch0,1,1.2401,27,27.0
28,24_05_08_cell7_ch0,1,1.1221,28,28.0
29,24_05_08_cell7_ch0,1,0.9629,29,29.0
30,24_05_08_cell7_ch0,1,0.9343,30,30.0
31,24_05_08_cell7_ch0,1,0.8614,31,31.0
32,24_05_08_cell7_ch0,1,0.6662,32,32.0
33,24_05_08_cell7_ch0,1,0.6572,33,33.0
34,24_05_08_cell7_ch0,1,0.5524,34,34.0
35,24_05_08_cell7_ch0,1,0.4469,35,35.0
36,24_05_08_cell7_ch0,1,0.4625,36,36.0
37,24_05_08_cell7_ch0,1,0.5171,37,37.0
38,24_05_08_cell7_ch0,1,0.4796,38,38.0
39,24_05_08_cell7_ch0,1,0.4791,39,39.0
40,24_05_08_cell7_ch0,1,0.4798,40,40.0
41,24_05_08_cell7_ch0,1,0.351,41,41.0
42,24_05_08_cell7_ch0,1,0.4555,42,42.0
43,24_05_08_cell7_ch0,1,0.4008,43,43.0
44,24_05_08_cell7_ch0,1,0.3376,44,44.0
45,24_05_08_cell7_ch0,1,0.3219,45,45.0
46,24_05_08_cell7_ch0,1,0.3125,46,46.0
47,24_05_08_cell7_ch0,1,0.3509,47,47.0
48,24_05_08_cell7_ch0,1,0.4172,48,48.0
49,24_05_08_cell7_ch0,1,0.3546,49,49.0
50,24_05_08_cell7_ch0,1,0.3624,50,50.0
51,24_05_08_cell7_ch0,1,0.3496,51,51.0
52,24_05_08_cell7_ch0,1,0.3204,52,52.0
53,24_05_08_cell7_ch0,1,0.3332,53,53.0
54,24_05_08_cell7_ch0,1,0.3803,54,54.0
55,24_05_08_cell7_ch0,1,0.3061,55,55.0
56,24_05_08_cell7_ch0,1,0.2498,56,56.0
57,24_05_08_cell7_ch0,1,0.2836,57,57.0
58,24_05_08_cell7_ch0,1,0.3761,58,58.0
59,24_05_08_cell7_ch0,1,0.2922,59,59.0
60,24_05_08_cell7_ch0,1,0.279,60,60.0
61,24_05_08_cell7_ch0,1,0.2578,61,61.0
62,24_05_08_cell7_ch0,1,0.2337,62,62.0
63,24_05_08_cell7_ch0,1,0.2868,63,63.0
64,24_05_08_cell7_ch0,1,0.2659,64,64.0
65,24_05_08_cell7_ch0,1,0.2437,65,65.0
66,24_05_08_cell7_ch0,1,0.2223,66,66.0
67,24_05_08_cell7_ch0,1,0.2287,67,67.0
68,24_05_08_cell7_ch0,1,0.2375,68,68.0
69,24_05_08_cell7_ch0,1,0.2177,69,69.0
70,24_05_08_cell7_ch0,1,0.2542,70,70.0
71,24_05_08_cell7_ch0,1,0.2332,71,71.0
72,24_05_08_cell7_ch0,1,0.2189,72,72.0
73,24_05_08_cell7_ch0,1,0.2208,73,73.0
74,24_05_08_cell7_ch0,1,0.2602,74,74.0
75,24_05_08_cell7_ch0,1,0.2267,75,75.0
76,24_05_08_cell7_ch0,1,0.3017,76,76.0
77,24_05_08_cell7_ch0,1,0.282,77,77.0
78,24_05_08_cell7_ch0,1,0.3725,78,78.0
79,24_05_08_cell7_ch0,1,0.3001,79,79.0
80,24_05_08_cell7_ch0,1,0.2596,80,80.0
81,24_05_08_cell7_ch0,1,0.2361,81,81.0
82,24_05_08_cell7_ch0,1,0.2468,82,82.0
83,24_05_08_cell7_ch0,1,0.2415,83,83.0
84,24_05_08_cell7_ch0,1,0.3163,84,84.0
85,24_05_08_cell7_ch0,1,0.278,85,85.0
86,24_05_08_cell7_ch0,1,0.2487,86,86.0
87,24_05_08_cell7_ch0,1,0.2301,87,87.0
88,24_05_08_cell7_ch0,1,0.219,88,88.0
89,24_05_08_cell7_ch0,1,0.2268,90,89.0
90,24_05_08_cell7_ch0,2,0.0029,0,0.0
91,24_05_08_cell7_ch0,2,-0.0091,1,1.0
