,id,roi,int,index,time
0,24_05_08_cell7_ch0,1,395.1587,0,0.0
1,24_05_08_cell7_ch0,1,401.8783,1,1.0
2,24_05_08_cell7_ch0,1,405.4921,2,2.0
3,24_05_08_cell7_ch0,1,403.2063,3,3.0
4,24_05_08_cell7_ch0,1,403.4656,4,4.0
5,24_05_08_cell7_ch0,1,451.1852,5,5.0
6,24_05_08_cell7_ch0,1,447.0635,6,6.0
7,24_05_08_cell7_ch0,1,563.8307,7,7.0
8,24_05_08_cell7_ch0,1,623.9524,8,8.0
9,24_05_08_cell7_ch0,1,643.873,9,9.0
10,24_05_08_cell7_ch0,1,671.6984,10,10.0
11,24_05_08_cell7_ch0,1,682.1217,11,11.0
12,24_05_08_cell7_ch0,1,690.4392,12,12.0
13,24_05_08_cell7_ch0,1,705.3228,13,13.0
14,24_05_08_cell7_ch0,1,704.8466,14,14.0
15,24_05_08_cell7_ch0,1,718.2275,15,15.0
16,24_05_08_cell7_ch0,1,727.2328,16,16.0
17,24_05_08_cell7_ch0,1,718.8571,17,17.0
18,24_05_08_cell7_ch0,1,731.5873,18,18.0
19,24_05_08_cell7_ch0,1,741.8571,19,19.0
20,24_05_08_cell7_ch0,1,735.4656,20,20.0
21,24_05_08_cell7_ch0,1,743.545,21,21.0
22,24_05_08_cell7_ch0,1,759.254,22,22.0
23,24_05_08_cell7_ch0,1,743.8889,23,23.0
24,24_05_08_cell7_ch0,1,759.7143,24,24.0
25,24_05_08_cell7_ch0,1,756.8254,25,25.0
26,24_05_08_cell7_ch0,1,741.2116,26,26.0
27,24_05_08_cell7_ch0,1,738.2275,27,27.0
28,24_05_08_cell7_ch0,1,730.6772,28,28.0
29,24_05_08_cell7_ch0,1,685.2434,29,29.0
30,24_05_08_cell7_ch0,1,677.1429,30,30.0
31,24_05_08_cell7_ch0,1,651.8466,31,31.0
32,24_05_08_cell7_ch0,1,615.8307,32,32.0
33,24_05_08_cell7_ch0,1,617.9418,33,33.0
34,24_05_08_cell7_ch0,1,591.4339,34,34.0
35,24_05_08_cell7_ch0,1,553.5873,35,35.0
36,24_05_08_cell7_ch0,1,545.7831,36,36.0
37,24_05_08_cell7_ch0,1,534.8307,37,37.0
38,24_05_08_cell7_ch0,1,515.8307,38,38.0
39,24_05_08_cell7_ch0,1,525.1376,39,39.0
40,24_05_08_cell7_ch0,1,527.8836,40,40.0
41,24_05_08_cell7_ch0,1,514.037,41,41.0
42,24_05_08_cell7_ch0,1,525.9524,42,42.0
43,24_05_08_cell7_ch0,1,518.9206,43,43.0
44,24_05_08_cell7_ch0,1,505.1164,44,44.0
45,24_05_08_cell7_ch0,1,504.3386,45,45.0
46,24_05_08_cell7_ch0,1,501.9577,46,46.0
47,24_05_08_cell7_ch0,1,492.328,47,47.0
48,24_05_08_cell7_ch0,1,511.9101,48,48.0
49,24_05_08_cell7_ch0,1,510.7672,49,49.0
50,24_05_08_cell7_ch0,1,501.7513,50,50.0
51,24_05_08_cell7_ch0,1,504.0582,51,51.0
52,24_05_08_cell7_ch0,1,508.3968,52,52.0
53,24_05_08_cell7_ch0,1,497.4815,53,53.0
54,24_05_08_cell7_ch0,1,514.164,54,54.0
55,24_05_08_cell7_ch0,1,513.9947,55,55.0
56,24_05_08_cell7_ch0,1,496.7937,56,56.0
57,24_05_08_cell7_ch0,1,514.8413,57,57.0
58,24_05_08_cell7_ch0,1,502.3757,58,58.0
59,24_05_08_cell7_ch0,1,520.381,59,59.0
60,24_05_08_cell7_ch0,1,514.6614,60,60.0
61,24_05_08_cell7_ch0,1,508.0423,61,61.0
62,24_05_08_cell7_ch0,1,501.0741,62,62.0
63,24_05_08_cell7_ch0,1,535.3175,63,63.0
64,24_05_08_cell7_ch0,1,531.0265,64,64.0
65,24_05_08_cell7_ch0,1,516.2169,65,65.0
66,24_05_08_cell7_ch0,1,507.455,66,66.0
67,24_05_08_cell7_ch0,1,510.0688,67,67.0
68,24_05_08_cell7_ch0,1,510.3968,68,68.0
69,24_05_08_cell7_ch0,1,513.3228,69,69.0
70,24_05_08_cell7_ch0,1,531.4233,70,70.0
71,24_05_08_cell7_ch0,1,515.6508,71,71.0
72,24_05_08_cell7_ch0,1,501.455,72,72.0
73,24_05_08_cell7_ch0,1,523.9418,73,73.0
74,24_05_08_cell7_ch0,1,516.0053,74,74.0
75,24_05_08_cell7_ch0,1,502.1958,75,75.0
76,24_05_08_cell7_ch0,1,514.5767,76,76.0
77,24_05_08_cell7_ch0,1,499.963,77,77.0
78,24_05_08_cell7_ch0,1,509.8201,78,78.0
79,24_05_08_cell7_ch0,1,516.9683,79,79.0
80,24_05_08_cell7_ch0,1,508.6508,80,80.0
81,24_05_08_cell7_ch0,1,510.5291,81,81.0
82,24_05_08_cell7_ch0,1,526.5926,82,82.0
83,24_05_08_cell7_ch0,1,526.9735,83,83.0
84,24_05_08_cell7_ch0,1,537.9894,84,84.0
85,24_05_08_cell7_ch0,1,527.5291,85,85.0
86,24_05_08_cell7_ch0,1,525.6825,86,86.0
87,24_05_08_cell7_ch0,1,530.8307,87,87.0
88,24_05_08_cell7_ch0,1,526.6243,88,88.0
89,24_05_08_cell7_ch0,1,521.455,90,89.0
