,id,roi,int,index,time
0,24_05_08_cell7_ch0,1,-0.0156,0,0.0
1,24_05_08_cell7_ch0,1,0.0011,1,1.0
2,24_05_08_cell7_ch0,1,0.0101,2,2.0
3,24_05_08_cell7_ch0,1,0.0044,3,3.0
4,24_05_08_cell7_ch0,1,0.0051,4,4.0
5,24_05_08_cell7_ch0,1,0.1239,5,5.0
6,24_05_08_cell7_ch0,1,0.1137,6,6.0
7,24_05_08_cell7_ch0,1,0.4045,7,7.0
8,24_05_08_cell7_ch0,1,0.5543,8,8.0
9,24_05_08_cell7_ch0,1,0.6039,9,9.0
10,24_05_08_cell7_ch0,1,0.6732,10,10.0
11,24_05_08_cell7_ch0,1,0.6992,11,11.0
12,24_05_08_cell7_ch0,1,0.7199,12,12.0
13,24_05_08_cell7_ch0,1,0.757,13,13.0
14,24_05_08_cell7_ch0,1,0.7558,14,14.0
15,24_05_08_cell7_ch0,1,0.7892,15,15.0
16,24_05_08_cell7_ch0,1,0.8116,16,16.0
17,24_05_08_cell7_ch0,1,0.7907,17,17.0
18,24_05_08_cell7_ch0,1,0.8224,18,18.0
19,24_05_08_cell7_ch0,1,0.848,19,19.0
20,24_05_08_cell7_ch0,1,0.8321,20,20.0
21,24_05_08_cell7_ch0,1,0.8522,21,21.0
22,24_05_08_cell7_ch0,1,0.8914,22,22.0
23,24_05_08_cell7_ch0,1,0.8531,23,23.0
24,24_05_08_cell7_ch0,1,0.8925,24,24.0
25,24_05_08_cell7_ch0,1,0.8853,25,25.0
26,24_05_08_cell7_ch0,1,0.8464,26,26.0
27,24_05_08_cell7_ch0,1,0.839,27,27.0
28,24_05_08_cell7_ch0,1,0.8202,28,28.0
29,24_05_08_cell7_ch0,1,0.707,29,29.0
30,24_05_08_cell7_ch0,1,0.6868,30,30.0
31,24_05_08_cell7_ch0,1,0.6238,31,31.0
32,24_05_08_cell7_ch0,1,0.5341,32,32.0
33,24_05_08_cell7_ch0,1,0.5393,33,33.0
34,24_05_08_cell7_ch0,1,0.4733,34,34.0
35,24_05_08_cell7_ch0,1,0.379,35,35.0
36,24_05_08_cell7_ch0,1,0.3596,36,36.0
37,24_05_08_cell7_ch0,1,0.3323,37,37.0
38,24_05_08_cell7_ch0,1,0.285,38,38.0
39,24_05_08_cell7_ch0,1,0.3082,39,39.0
40,24_05_08_cell7_ch0,1,0.315,40,40.0
41,24_05_08_cell7_ch0,1,0.2805,41,41.0
42,24_05_08_cell7_ch0,1,0.3102,42,42.0
43,24_05_08_cell7_ch0,1,0.2927,43,43.0
44,24_05_08_cell7_ch0,1,0.2583,44,44.0
45,24_05_08_cell7_ch0,1,0.2563,45,45.0
46,24_05_08_cell7_ch0,1,0.2504,46,46.0
47,24_05_08_cell7_ch0,1,0.2264,47,47.0
48,24_05_08_cell7_ch0,1,0.2752,48,48.0
49,24_05_08_cell7_ch0,1,0.2724,49,49.0
50,24_05_08_cell7_ch0,1,0.2499,50,50.0
