,id,roi,int,index,time
0,24_05_08_cell7_ch0,1,469.1807,0,0.0
1,24_05_08_cell7_ch0,1,467.566,1,1.0
2,24_05_08_cell7_ch0,1,465.3151,2,2.0
3,24_05_08_cell7_ch0,1,473.4411,3,3.0
4,24_05_08_cell7_ch0,1,497.3329,4,4.0
5,24_05_08_cell7_ch0,1,480.8323,5,5.0
6,24_05_08_cell7_ch0,1,510.629,6,6.0
7,24_05_08_cell7_ch0,1,669.6147,7,7.0
8,24_05_08_cell7_ch0,1,749.7015,8,8.0
9,24_05_08_cell7_ch0,1,803.736,9,9.0
10,24_05_08_cell7_ch0,1,843.5589,10,10.0
11,24_05_08_cell7_ch0,1,855.7194,11,11.0
12,24_05_08_cell7_ch0,1,869.541,12,12.0
13,24_05_08_cell7_ch0,1,874.4614,13,13.0
14,24_05_08_cell7_ch0,1,873.4816,14,14.0
15,24_05_08_cell7_ch0,1,891.2794,15,15.0
16,24_05_08_cell7_ch0,1,893.5862,16,16.0
17,24_05_08_cell7_ch0,1,892.7325,17,17.0
18,24_05_08_cell7_ch0,1,896.5719,18,18.0
19,24_05_08_cell7_ch0,1,903.201,19,19.0
20,24_05_08_cell7_ch0,1,898.6029,20,20.0
21,24_05_08_cell7_ch0,1,911.0214,21,21.0
22,24_05_08_cell7_ch0,1,908.2818,22,22.0
23,24_05_08_cell7_ch0,1,895.7788,23,23.0
24,24_05_08_cell7_ch0,1,921.0642,24,24.0
25,24_05_08_cell7_ch0,1,921.7039,25,25.0
26,24_05_08_cell7_ch0,1,901.0511,26,26.0
27,24_05_08_cell7_ch0,1,907.3199,27,27.0
28,24_05_08_cell7_ch0,1,867.1094,28,28.0
29,24_05_08_cell7_ch0,1,823.8609,29,29.0
30,24_05_08_cell7_ch0,1,804.6778,30,30.0
31,24_05_08_cell7_ch0,1,769.39,31,31.0
32,24_05_08_cell7_ch0,1,724.9287,32,32.0
33,24_05_08_cell7_ch0,1,721.4982,33,33.0
34,24_05_08_cell7_ch0,1,688.8835,34,34.0
35,24_05_08_cell7_ch0,1,662.0048,35,35.0
36,24_05_08_cell7_ch0,1,672.6587,36,36.0
37,24_05_08_cell7_ch0,1,653.7741,37,37.0
38,24_05_08_cell7_ch0,1,623.893,38,38.0
39,24_05_08_cell7_ch0,1,631.3508,39,39.0
40,24_05_08_cell7_ch0,1,618.3793,40,40.0
41,24_05_08_cell7_ch0,1,598.1046,41,41.0
42,24_05_08_cell7_ch0,1,624.4744,42,42.0
43,24_05_08_cell7_ch0,1,628.566,43,43.0
44,24_05_08_cell7_ch0,1,631.9631,44,44.0
45,24_05_08_cell7_ch0,1,619.9132,45,45.0
46,24_05_08_cell7_ch0,1,620.5838,46,46.0
47,24_05_08_cell7_ch0,1,610.2331,47,47.0
48,24_05_08_cell7_ch0,1,613.9358,48,48.0
49,24_05_08_cell7_ch0,1,597.9738,49,49.0
50,24_05_08_cell7_ch0,1,598.4209,50,50.0
51,24_05_08_cell7_ch0,1,602.5482,51,51.0
52,24_05_08_cell7_ch0,1,605.3401,52,52.0
53,24_05_08_cell7_ch0,1,588.3543,53,53.0
54,24_05_08_cell7_ch0,1,595.7503,54,54.0
55,24_05_08_cell7_ch0,1,588.8716,55,55.0
56,24_05_08_cell7_ch0,1,576.4078,56,56.0
57,24_05_08_cell7_ch0,1,601.2889,57,57.0
58,24_05_08_cell7_ch0,1,602.5291,58,58.0
59,24_05_08_cell7_ch0,1,597.6397,59,59.0
60,24_05_08_cell7_ch0,1,624.6468,60,60.0
61,24_05_08_cell7_ch0,1,619.4637,61,61.0
62,24_05_08_cell7_ch0,1,609.2818,62,62.0
63,24_05_08_cell7_ch0,1,608.6956,63,63.0
64,24_05_08_cell7_ch0,1,618.7681,64,64.0
65,24_05_08_cell7_ch0,1,612.1748,65,65.0
66,24_05_08_cell7_ch0,1,613.1581,66,66.0
67,24_05_08_cell7_ch0,1,602.088,67,67.0
68,24_05_08_cell7_ch0,1,591.4126,68,68.0
69,24_05_08_cell7_ch0,1,579.8276,69,69.0
70,24_05_08_cell7_ch0,1,592.176,70,70.0
71,24_05_08_cell7_ch0,1,597.5208,71,71.0
72,24_05_08_cell7_ch0,1,584.1332,72,72.0
73,24_05_08_cell7_ch0,1,611.5196,73,73.0
74,24_05_08_cell7_ch0,1,592.2354,74,74.0
75,24_05_08_cell7_ch0,1,575.5684,75,75.0
76,24_05_08_cell7_ch0,1,586.0535,76,76.0
77,24_05_08_cell7_ch0,1,576.9453,77,77.0
78,24_05_08_cell7_ch0,1,593.1379,78,78.0
79,24_05_08_cell7_ch0,1,600.9703,79,79.0
80,24_05_08_cell7_ch0,1,600.1308,80,80.0
81,24_05_08_cell7_ch0,1,595.0107,81,81.0
82,24_05_08_cell7_ch0,1,617.5743,82,82.0
83,24_05_08_cell7_ch0,1,612.0547,83,83.0
84,24_05_08_cell7_ch0,1,611.8561,84,84.0
85,24_05_08_cell7_ch0,1,607.409,85,85.0
86,24_05_08_cell7_ch0,1,607.1344,86,86.0
87,24_05_08_cell7_ch0,1,604.6468,87,87.0
88,24_05_08_cell7_ch0,1,607.4209,88,88.0
89,24_05_08_cell7_ch0,1,604.3187,90,89.0
90,24_05_08_cell7_ch0,2,562.453,0,0.0
91,24_05_08_cell7_ch0,2,568.4181,1,1.0
92,24_05_08_cell7_ch0,2,558.9199,2,2.0
93,24_05_08_cell7_ch0,2,553.0209,3,3.0
94,24_05_08_cell7_ch0,2,574.777,4,4.0
95,24_05_08_cell7_ch0,2,573.3589,5,5.0
96,24_05_08_cell7_ch0,2,594.5122,6,6.0
97,24_05_08_cell7_ch0,2,712.6516,7,7.0
98,24_05_08_cell7_ch0,2,794.2404,8,8.0
99,24_05_08_cell7_ch0,2,843.0906,9,9.0
