,id,roi,int,index,time
0,24_05_08_cell7_ch0,1,0.0007,0,0.0
1,24_05_08_cell7_ch0,1,-0.0028,1,1.0
2,24_05_08_cell7_ch0,1,-0.0076,2,2.0
3,24_05_08_cell7_ch0,1,0.0097,3,3.0
4,24_05_08_cell7_ch0,1,0.0607,4,4.0
5,24_05_08_cell7_ch0,1,0.0255,5,5.0
6,24_05_08_cell7_ch0,1,0.089,6,6.0
7,24_05_08_cell7_ch0,1,0.4281,7,7.0
8,24_05_08_cell7_ch0,1,0.5989,8,8.0
9,24_05_08_cell7_ch0,1,0.7142,9,9.0
10,24_05_08_cell7_ch0,1,0.7991,10,10.0
11,24_05_08_cell7_ch0,1,0.825,11,11.0
12,24_05_08_cell7_ch0,1,0.8545,12,12.0
13,24_05_08_cell7_ch0,1,0.865,13,13.0
14,24_05_08_cell7_ch0,1,0.8629,14,14.0
15,24_05_08_cell7_ch0,1,0.9009,15,15.0
16,24_05_08_cell7_ch0,1,0.9058,16,16.0
17,24_05_08_cell7_ch0,1,0.904,17,17.0
18,24_05_08_cell7_ch0,1,0.9122,18,18.0
19,24_05_08_cell7_ch0,1,0.9263,19,19.0
20,24_05_08_cell7_ch0,1,0.9165,20,20.0
21,24_05_08_cell7_ch0,1,0.943,21,21.0
22,24_05_08_cell7_ch0,1,0.9371,22,22.0
23,24_05_08_cell7_ch0,1,0.9105,23,23.0
24,24_05_08_cell7_ch0,1,0.9644,24,24.0
25,24_05_08_cell7_ch0,1,0.9658,25,25.0
26,24_05_08_cell7_ch0,1,0.9217,26,26.0
27,24_05_08_cell7_ch0,1,0.9351,27,27.0
28,24_05_08_cell7_ch0,1,0.8493,28,28.0
29,24_05_08_cell7_ch0,1,0.7571,29,29.0
30,24_05_08_cell7_ch0,1,0.7162,30,30.0
31,24_05_08_cell7_ch0,1,0.6409,31,31.0
32,24_05_08_cell7_ch0,1,0.5461,32,32.0
33,24_05_08_cell7_ch0,1,0.5388,33,33.0
