,id,roi,int,index,time
0,24_05_08_cell7_ch0,1,500.46,0,0.0
1,24_05_08_cell7_ch0,1,496.0,1,1.0
2,24_05_08_cell7_ch0,1,497.81,2,2.0
3,24_05_08_cell7_ch0,1,487.15,3,3.0
4,24_05_08_cell7_ch0,1,502.05,4,4.0
5,24_05_08_cell7_ch0,1,504.15,5,5.0
6,24_05_08_cell7_ch0,1,509.58,6,6.0
7,24_05_08_cell7_ch0,1,558.67,7,7.0
8,24_05_08_cell7_ch0,1,576.77,8,8.0
9,24_05_08_cell7_ch0,1,576.51,9,9.0
10,24_05_08_cell7_ch0,1,601.36,10,10.0
11,24_05_08_cell7_ch0,1,599.15,11,11.0
12,24_05_08_cell7_ch0,1,596.57,12,12.0
13,24_05_08_cell7_ch0,1,601.26,13,13.0
14,24_05_08_cell7_ch0,1,591.88,14,14.0
15,24_05_08_cell7_ch0,1,608.84,15,15.0
16,24_05_08_cell7_ch0,1,608.75,16,16.0
17,24_05_08_cell7_ch0,1,601.25,17,17.0
18,24_05_08_cell7_ch0,1,599.97,18,18.0
19,24_05_08_cell7_ch0,1,612.48,19,19.0
20,24_05_08_cell7_ch0,1,595.63,20,20.0
21,24_05_08_cell7_ch0,1,617.44,21,21.0
22,24_05_08_cell7_ch0,1,615.78,22,22.0
23,24_05_08_cell7_ch0,1,599.89,23,23.0
24,24_05_08_cell7_ch0,1,611.64,24,24.0
25,24_05_08_cell7_ch0,1,610.1,25,25.0
26,24_05_08_cell7_ch0,1,597.8,26,26.0
27,24_05_08_cell7_ch0,1,596.89,27,27.0
28,24_05_08_cell7_ch0,1,586.41,28,28.0
29,24_05_08_cell7_ch0,1,562.1,29,29.0
30,24_05_08_cell7_ch0,1,577.76,30,30.0
31,24_05_08_cell7_ch0,1,565.86,31,31.0
32,24_05_08_cell7_ch0,1,546.54,32,32.0
33,24_05_08_cell7_ch0,1,551.93,33,33.0
34,24_05_08_cell7_ch0,1,548.16,34,34.0
35,24_05_08_cell7_ch0,1,539.75,35,35.0
36,24_05_08_cell7_ch0,1,554.96,36,36.0
37,24_05_08_cell7_ch0,1,552.9,37,37.0
38,24_05_08_cell7_ch0,1,533.01,38,38.0
39,24_05_08_cell7_ch0,1,555.63,39,39.0
40,24_05_08_cell7_ch0,1,542.31,40,40.0
41,24_05_08_cell7_ch0,1,532.45,41,41.0
42,24_05_08_cell7_ch0,1,548.71,42,42.0
43,24_05_08_cell7_ch0,1,539.48,43,43.0
44,24_05_08_cell7_ch0,1,543.33,44,44.0
45,24_05_08_cell7_ch0,1,544.95,45,45.0
46,24_05_08_cell7_ch0,1,542.98,46,46.0
47,24_05_08_cell7_ch0,1,533.47,47,47.0
48,24_05_08_cell7_ch0,1,553.91,48,48.0
49,24_05_08_cell7_ch0,1,546.45,49,49.0
50,24_05_08_cell7_ch0,1,540.53,50,50.0
51,24_05_08_cell7_ch0,1,550.05,51,51.0
52,24_05_08_cell7_ch0,1,556.59,52,52.0
53,24_05_08_cell7_ch0,1,539.57,53,53.0
54,24_05_08_cell7_ch0,1,560.04,54,54.0
55,24_05_08_cell7_ch0,1,557.76,55,55.0
56,24_05_08_cell7_ch0,1,546.26,56,56.0
57,24_05_08_cell7_ch0,1,565.9,57,57.0
58,24_05_08_cell7_ch0,1,554.48,58,58.0
59,24_05_08_cell7_ch0,1,552.29,59,59.0
60,24_05_08_cell7_ch0,1,558.29,60,60.0
61,24_05_08_cell7_ch0,1,562.6,61,61.0
62,24_05_08_cell7_ch0,1,554.28,62,62.0
63,24_05_08_cell7_ch0,1,561.14,63,63.0
64,24_05_08_cell7_ch0,1,565.39,64,64.0
65,24_05_08_cell7_ch0,1,568.19,65,65.0
66,24_05_08_cell7_ch0,1,568.27,66,66.0
67,24_05_08_cell7_ch0,1,576.18,67,67.0
68,24_05_08_cell7_ch0,1,568.37,68,68.0
69,24_05_08_cell7_ch0,1,562.87,69,69.0
70,24_05_08_cell7_ch0,1,584.39,70,70.0
71,24_05_08_cell7_ch0,1,582.88,71,71.0
72,24_05_08_cell7_ch0,1,571.49,72,72.0
73,24_05_08_cell7_ch0,1,582.14,73,73.0
74,24_05_08_cell7_ch0,1,584.58,74,74.0
75,24_05_08_cell7_ch0,1,571.22,75,75.0
76,24_05_08_cell7_ch0,1,585.87,76,76.0
77,24_05_08_cell7_ch0,1,577.78,77,77.0
78,24_05_08_cell7_ch0,1,583.01,78,78.0
79,24_05_08_cell7_ch0,1,586.26,79,79.0
80,24_05_08_cell7_ch0,1,583.81,80,80.0
81,24_05_08_cell7_ch0,1,576.55,81,81.0
82,24_05_08_cell7_ch0,1,589.27,82,82.0
83,24_05_08_cell7_ch0,1,587.74,83,83.0
84,24_05_08_cell7_ch0,1,589.38,84,84.0
85,24_05_08_cell7_ch0,1,587.82,85,85.0
86,24_05_08_cell7_ch0,1,594.06,86,86.0
87,24_05_08_cell7_ch0,1,599.78,87,87.0
88,24_05_08_cell7_ch0,1,594.48,88,88.0
89,24_05_08_cell7_ch0,1,592.11,90,89.0
90,24_05_08_cell7_ch0,2,553.4324,0,0.0
91,24_05_08_cell7_ch0,2,553.1568,1,1.0
92,24_05_08_cell7_ch0,2,554.573,2,2.0
93,24_05_08_cell7_ch0,2,539.5892,3,3.0
94,24_05_08_cell7_ch0,2,558.0649,4,4.0
95,24_05_08_cell7_ch0,2,554.4324,5,5.0
96,24_05_08_cell7_ch0,2,569.4865,6,6.0
97,24_05_08_cell7_ch0,2,615.2649,7,7.0
98,24_05_08_cell7_ch0,2,633.8757,8,8.0
99,24_05_08_cell7_ch0,2,632.4162,9,9.0
100,24_05_08_cell7_ch0,2,644.9243,10,10.0
101,24_05_08_cell7_ch0,2,652.7784,11,11.0
102,24_05_08_cell7_ch0,2,656.0,12,12.0
103,24_05_08_cell7_ch0,2,661.3838,13,13.0
104,24_05_08_cell7_ch0,2,650.5784,14,14.0
