,id,roi,int,index,time
0,24_05_08_cell7_ch0,1,0.0103,0,0.0
1,24_05_08_cell7_ch0,1,0.0013,1,1.0
2,24_05_08_cell7_ch0,1,0.005,2,2.0
3,24_05_08_cell7_ch0,1,-0.0166,3,3.0
4,24_05_08_cell7_ch0,1,0.0135,4,4.0
5,24_05_08_cell7_ch0,1,0.0178,5,5.0
6,24_05_08_cell7_ch0,1,0.0287,6,6.0
7,24_05_08_cell7_ch0,1,0.1278,7,7.0
8,24_05_08_cell7_ch0,1,0.1644,8,8.0
9,24_05_08_cell7_ch0,1,0.1638,9,9.0
10,24_05_08_cell7_ch0,1,0.214,10,10.0
11,24_05_08_cell7_ch0,1,0.2095,11,11.0
12,24_05_08_cell7_ch0,1,0.2043,12,12.0
13,24_05_08_cell7_ch0,1,0.2138,13,13.0
14,24_05_08_cell7_ch0,1,0.1949,14,14.0
15,24_05_08_cell7_ch0,1,0.2291,15,15.0
16,24_05_08_cell7_ch0,1,0.2289,16,16.0
17,24_05_08_cell7_ch0,1,0.2138,17,17.0
18,24_05_08_cell7_ch0,1,0.2112,18,18.0
19,24_05_08_cell7_ch0,1,0.2364,19,19.0
20,24_05_08_cell7_ch0,1,0.2024,20,20.0
21,24_05_08_cell7_ch0,1,0.2465,21,21.0
22,24_05_08_cell7_ch0,1,0.2431,22,22.0
23,24_05_08_cell7_ch0,1,0.211,23,23.0
24,24_05_08_cell7_ch0,1,0.2348,24,24.0
25,24_05_08_cell7_ch0,1,0.2316,25,25.0
26,24_05_08_cell7_ch0,1,0.2068,26,26.0
27,24_05_08_cell7_ch0,1,0.205,27,27.0
28,24_05_08_cell7_ch0,1,0.1838,28,28.0
29,24_05_08_cell7_ch0,1,0.1347,29,29.0
30,24_05_08_cell7_ch0,1,0.1664,30,30.0
31,24_05_08_cell7_ch0,1,0.1423,31,31.0
32,24_05_08_cell7_ch0,1,0.1033,32,32.0
33,24_05_08_cell7_ch0,1,0.1142,33,33.0
34,24_05_08_cell7_ch0,1,0.1066,34,34.0
35,24_05_08_cell7_ch0,1,0.0896,35,35.0
36,24_05_08_cell7_ch0,1,0.1203,36,36.0
37,24_05_08_cell7_ch0,1,0.1162,37,37.0
38,24_05_08_cell7_ch0,1,0.076,38,38.0
39,24_05_08_cell7_ch0,1,0.1217,39,39.0
40,24_05_08_cell7_ch0,1,0.0948,40,40.0
41,24_05_08_cell7_ch0,1,0.0749,41,41.0
42,24_05_08_cell7_ch0,1,0.1077,42,42.0
43,24_05_08_cell7_ch0,1,0.0891,43,43.0
44,24_05_08_cell7_ch0,1,0.0968,44,44.0
45,24_05_08_cell7_ch0,1,0.1001,45,45.0
46,24_05_08_cell7_ch0,1,0.0961,46,46.0
47,24_05_08_cell7_ch0,1,0.0769,47,47.0
48,24_05_08_cell7_ch0,1,0.1182,48,48.0
49,24_05_08_cell7_ch0,1,0.1031,49,49.0
50,24_05_08_cell7_ch0,1,0.0912,50,50.0
51,24_05_08_cell7_ch0,1,0.1104,51,51.0
52,24_05_08_cell7_ch0,1,0.1236,52,52.0
53,24_05_08_cell7_ch0,1,0.0893,53,53.0
54,24_05_08_cell7_ch0,1,0.1306,54,54.0
55,24_05_08_cell7_ch0,1,0.126,55,55.0
56,24_05_08_cell7_ch0,1,0.1028,56,56.0
