,id,roi,int,index,time
0,24_05_08_cell7_ch0,1,1149.9549,0,0.0
1,24_05_08_cell7_ch0,1,1152.4375,1,1.0
2,24_05_08_cell7_ch0,1,1136.3542,2,2.0
3,24_05_08_cell7_ch0,1,1112.3681,3,3.0
4,24_05_08_cell7_ch0,1,1154.25,4,4.0
5,24_05_08_cell7_ch0,1,1138.8958,5,5.0
6,24_05_08_cell7_ch0,1,1233.0208,6,6.0
7,24_05_08_cell7_ch0,1,1321.625,7,7.0
8,24_05_08_cell7_ch0,1,1368.3576,8,8.0
9,24_05_08_cell7_ch0,1,1349.1354,9,9.0
10,24_05_08_cell7_ch0,1,1402.7014,10,10.0
11,24_05_08_cell7_ch0,1,1405.5451,11,11.0
12,24_05_08_cell7_ch0,1,1416.3194,12,12.0
13,24_05_08_cell7_ch0,1,1431.1458,13,13.0
14,24_05_08_cell7_ch0,1,1436.6771,14,14.0
15,24_05_08_cell7_ch0,1,1468.0799,15,15.0
16,24_05_08_cell7_ch0,1,1443.4896,16,16.0
17,24_05_08_cell7_ch0,1,1417.8368,17,17.0
18,24_05_08_cell7_ch0,1,1441.684,18,18.0
19,24_05_08_cell7_ch0,1,1463.8681,19,19.0
20,24_05_08_cell7_ch0,1,1464.7257,20,20.0
21,24_05_08_cell7_ch0,1,1470.6424,21,21.0
22,24_05_08_cell7_ch0,1,1473.4722,22,22.0
23,24_05_08_cell7_ch0,1,1447.4167,23,23.0
24,24_05_08_cell7_ch0,1,1484.6736,24,24.0
25,24_05_08_cell7_ch0,1,1480.9861,25,25.0
26,24_05_08_cell7_ch0,1,1449.4688,26,26.0
27,24_05_08_cell7_ch0,1,1412.1354,27,27.0
28,24_05_08_cell7_ch0,1,1350.8889,28,28.0
29,24_05_08_cell7_ch0,1,1301.8125,29,29.0
30,24_05_08_cell7_ch0,1,1316.3299,30,30.0
31,24_05_08_cell7_ch0,1,1318.7847,31,31.0
32,24_05_08_cell7_ch0,1,1280.5174,32,32.0
33,24_05_08_cell7_ch0,1,1326.1042,33,33.0
34,24_05_08_cell7_ch0,1,1313.7188,34,34.0
35,24_05_08_cell7_ch0,1,1284.5972,35,35.0
36,24_05_08_cell7_ch0,1,1317.816,36,36.0
37,24_05_08_cell7_ch0,1,1309.0208,37,37.0
38,24_05_08_cell7_ch0,1,1282.9549,38,38.0
39,24_05_08_cell7_ch0,1,1329.191,39,39.0
40,24_05_08_cell7_ch0,1,1311.9062,40,40.0
41,24_05_08_cell7_ch0,1,1278.0382,41,41.0
42,24_05_08_cell7_ch0,1,1311.6215,42,42.0
