,id,roi,int,index,time
0,24_05_08_cell7_ch0,1,0.0107,0,0.0
1,24_05_08_cell7_ch0,1,0.0129,1,1.0
2,24_05_08_cell7_ch0,1,-0.0013,2,2.0
3,24_05_08_cell7_ch0,1,-0.0223,3,3.0
4,24_05_08_cell7_ch0,1,0.0145,4,4.0
5,24_05_08_cell7_ch0,1,0.001,5,5.0
6,24_05_08_cell7_ch0,1,0.0837,6,6.0
7,24_05_08_cell7_ch0,1,0.1616,7,7.0
8,24_05_08_cell7_ch0,1,0.2027,8,8.0
9,24_05_08_cell7_ch0,1,0.1858,9,9.0
10,24_05_08_cell7_ch0,1,0.2328,10,10.0
11,24_05_08_cell7_ch0,1,0.2353,11,11.0
12,24_05_08_cell7_ch0,1,0.2448,12,12.0
13,24_05_08_cell7_ch0,1,0.2578,13,13.0
14,24_05_08_cell7_ch0,1,0.2627,14,14.0
15,24_05_08_cell7_ch0,1,0.2903,15,15.0
16,24_05_08_cell7_ch0,1,0.2687,16,16.0
17,24_05_08_cell7_ch0,1,0.2461,17,17.0
18,24_05_08_cell7_ch0,1,0.2671,18,18.0
19,24_05_08_cell7_ch0,1,0.2866,19,19.0
20,24_05_08_cell7_ch0,1,0.2874,20,20.0
21,24_05_08_cell7_ch0,1,0.2926,21,21.0
22,24_05_08_cell7_ch0,1,0.295,22,22.0
23,24_05_08_cell7_ch0,1,0.2721,23,23.0
24,24_05_08_cell7_ch0,1,0.3049,24,24.0
25,24_05_08_cell7_ch0,1,0.3016,25,25.0
26,24_05_08_cell7_ch0,1,0.2739,26,26.0
27,24_05_08_cell7_ch0,1,0.2411,27,27.0
28,24_05_08_cell7_ch0,1,0.1873,28,28.0
29,24_05_08_cell7_ch0,1,0.1442,29,29.0
30,24_05_08_cell7_ch0,1,0.1569,30,30.0
31,24_05_08_cell7_ch0,1,0.1591,31,31.0
32,24_05_08_cell7_ch0,1,0.1255,32,32.0
33,24_05_08_cell7_ch0,1,0.1655,33,33.0
34,24_05_08_cell7_ch0,1,0.1546,34,34.0
35,24_05_08_cell7_ch0,1,0.129,35,35.0
36,24_05_08_cell7_ch0,1,0.1582,36,36.0
37,24_05_08_cell7_ch0,1,0.1505,37,37.0
38,24_05_08_cell7_ch0,1,0.1276,38,38.0
39,24_05_08_cell7_ch0,1,0.1682,39,39.0
40,24_05_08_cell7_ch0,1,0.153,40,40.0
41,24_05_08_cell7_ch0,1,0.1233,41,41.0
42,24_05_08_cell7_ch0,1,0.1528,42,42.0
43,24_05_08_cell7_ch0,1,0.1401,43,43.0
44,24_05_08_cell7_ch0,1,0.1394,44,44.0
45,24_05_08_cell7_ch0,1,0.1471,45,45.0
46,24_05_08_cell7_ch0,1,0.1455,46,46.0
47,24_05_08_cell7_ch0,1,0.124,47,47.0
48,24_05_08_cell7_ch0,1,0.1573,48,48.0
49,24_05_08_cell7_ch0,1,0.1438,49,49.0
50,24_05_08_cell7_ch0,1,0.1343,50,50.0
51,24_05_08_cell7_ch0,1,0.1455,51,51.0
52,24_05_08_cell7_ch0,1,0.1458,52,52.0
53,24_05_08_cell7_ch0,1,0.1247,53,53.0
54,24_05_08_cell7_ch0,1,0.1555,54,54.0
55,24_05_08_cell7_ch0,1,0.1439,55,55.0
56,24_05_08_cell7_ch0,1,0.1268,56,56.0
57,24_05_08_cell7_ch0,1,0.164,57,57.0
58,24_05_08_cell7_ch0,1,0.151,58,58.0
59,24_05_08_cell7_ch0,1,0.1382,59,59.0
60,24_05_08_cell7_ch0,1,0.1514,60,60.0
61,24_05_08_cell7_ch0,1,0.1655,61,61.0
62,24_05_08_cell7_ch0,1,0.1428,62,62.0
63,24_05_08_cell7_ch0,1,0.147,63,63.0
64,24_05_08_cell7_ch0,1,0.1639,64,64.0
65,24_05_08_cell7_ch0,1,0.1562,65,65.0
66,24_05_08_cell7_ch0,1,0.1535,66,66.0
