,id,roi,int,index,time
0,24_05_08_cell7_ch0,1,1006.3878,0,0.0
1,24_05_08_cell7_ch0,1,1008.1538,1,1.0
2,24_05_08_cell7_ch0,1,1015.0192,2,2.0
3,24_05_08_cell7_ch0,1,987.984,3,3.0
4,24_05_08_cell7_ch0,1,1013.9327,4,4.0
5,24_05_08_cell7_ch0,1,1015.9295,5,5.0
6,24_05_08_cell7_ch0,1,1038.2692,6,6.0
7,24_05_08_cell7_ch0,1,1081.1346,7,7.0
8,24_05_08_cell7_ch0,1,1122.6827,8,8.0
9,24_05_08_cell7_ch0,1,1132.6763,9,9.0
10,24_05_08_cell7_ch0,1,1175.9519,10,10.0
11,24_05_08_cell7_ch0,1,1164.9647,11,11.0
12,24_05_08_cell7_ch0,1,1180.4904,12,12.0
13,24_05_08_cell7_ch0,1,1180.5769,13,13.0
14,24_05_08_cell7_ch0,1,1183.984,14,14.0
15,24_05_08_cell7_ch0,1,1210.5,15,15.0
16,24_05_08_cell7_ch0,1,1219.6795,16,16.0
17,24_05_08_cell7_ch0,1,1202.5288,17,17.0
18,24_05_08_cell7_ch0,1,1217.8782,18,18.0
19,24_05_08_cell7_ch0,1,1237.4071,19,19.0
20,24_05_08_cell7_ch0,1,1242.7981,20,20.0
21,24_05_08_cell7_ch0,1,1250.1186,21,21.0
22,24_05_08_cell7_ch0,1,1244.8237,22,22.0
23,24_05_08_cell7_ch0,1,1228.3558,23,23.0
24,24_05_08_cell7_ch0,1,1261.2147,24,24.0
25,24_05_08_cell7_ch0,1,1261.7885,25,25.0
26,24_05_08_cell7_ch0,1,1239.4615,26,26.0
27,24_05_08_cell7_ch0,1,1255.8301,27,27.0
28,24_05_08_cell7_ch0,1,1225.5673,28,28.0
29,24_05_08_cell7_ch0,1,1186.3718,29,29.0
30,24_05_08_cell7_ch0,1,1200.9712,30,30.0
31,24_05_08_cell7_ch0,1,1199.4359,31,31.0
32,24_05_08_cell7_ch0,1,1164.9519,32,32.0
33,24_05_08_cell7_ch0,1,1208.5096,33,33.0
34,24_05_08_cell7_ch0,1,1185.4583,34,34.0
35,24_05_08_cell7_ch0,1,1160.5128,35,35.0
36,24_05_08_cell7_ch0,1,1207.3942,36,36.0
37,24_05_08_cell7_ch0,1,1197.4455,37,37.0
38,24_05_08_cell7_ch0,1,1165.8141,38,38.0
39,24_05_08_cell7_ch0,1,1208.125,39,39.0
40,24_05_08_cell7_ch0,1,1196.0609,40,40.0
41,24_05_08_cell7_ch0,1,1166.8974,41,41.0
42,24_05_08_cell7_ch0,1,1194.5256,42,42.0
43,24_05_08_cell7_ch0,1,1195.3397,43,43.0
44,24_05_08_cell7_ch0,1,1189.7596,44,44.0
45,24_05_08_cell7_ch0,1,1203.0737,45,45.0
46,24_05_08_cell7_ch0,1,1200.0705,46,46.0
47,24_05_08_cell7_ch0,1,1173.0192,47,47.0
48,24_05_08_cell7_ch0,1,1217.5641,48,48.0
49,24_05_08_cell7_ch0,1,1200.9295,49,49.0
50,24_05_08_cell7_ch0,1,1190.125,50,50.0
51,24_05_08_cell7_ch0,1,1207.0256,51,51.0
52,24_05_08_cell7_ch0,1,1211.1282,52,52.0
53,24_05_08_cell7_ch0,1,1187.8013,53,53.0
54,24_05_08_cell7_ch0,1,1226.484,54,54.0
55,24_05_08_cell7_ch0,1,1219.6186,55,55.0
56,24_05_08_cell7_ch0,1,1199.8942,56,56.0
57,24_05_08_cell7_ch0,1,1233.4808,57,57.0
58,24_05_08_cell7_ch0,1,1219.1795,58,58.0
59,24_05_08_cell7_ch0,1,1214.0321,59,59.0
60,24_05_08_cell7_ch0,1,1233.8269,60,60.0
61,24_05_08_cell7_ch0,1,1234.7628,61,61.0
62,24_05_08_cell7_ch0,1,1221.5801,62,62.0
63,24_05_08_cell7_ch0,1,1228.5192,63,63.0
64,24_05_08_cell7_ch0,1,1238.2949,64,64.0
65,24_05_08_cell7_ch0,1,1231.3814,65,65.0
66,24_05_08_cell7_ch0,1,1229.4647,66,66.0
67,24_05_08_cell7_ch0,1,1241.7372,67,67.0
