,id,roi,int,index,time
0,24_05_08_cell7_ch0,1,0.002,0,0.0
1,24_05_08_cell7_ch0,1,0.0038,1,1.0
2,24_05_08_cell7_ch0,1,0.0106,2,2.0
3,24_05_08_cell7_ch0,1,-0.0163,3,3.0
4,24_05_08_cell7_ch0,1,0.0095,4,4.0
5,24_05_08_cell7_ch0,1,0.0115,5,5.0
6,24_05_08_cell7_ch0,1,0.0337,6,6.0
7,24_05_08_cell7_ch0,1,0.0764,7,7.0
8,24_05_08_cell7_ch0,1,0.1178,8,8.0
9,24_05_08_cell7_ch0,1,0.1277,9,9.0
10,24_05_08_cell7_ch0,1,0.1708,10,10.0
11,24_05_08_cell7_ch0,1,0.1599,11,11.0
12,24_05_08_cell7_ch0,1,0.1753,12,12.0
13,24_05_08_cell7_ch0,1,0.1754,13,13.0
14,24_05_08_cell7_ch0,1,0.1788,14,14.0
15,24_05_08_cell7_ch0,1,0.2052,15,15.0
16,24_05_08_cell7_ch0,1,0.2144,16,16.0
17,24_05_08_cell7_ch0,1,0.1973,17,17.0
18,24_05_08_cell7_ch0,1,0.2126,18,18.0
19,24_05_08_cell7_ch0,1,0.232,19,19.0
20,24_05_08_cell7_ch0,1,0.2374,20,20.0
21,24_05_08_cell7_ch0,1,0.2447,21,21.0
22,24_05_08_cell7_ch0,1,0.2394,22,22.0
23,24_05_08_cell7_ch0,1,0.223,23,23.0
24,24_05_08_cell7_ch0,1,0.2557,24,24.0
25,24_05_08_cell7_ch0,1,0.2563,25,25.0
26,24_05_08_cell7_ch0,1,0.234,26,26.0
27,24_05_08_cell7_ch0,1,0.2503,27,27.0
28,24_05_08_cell7_ch0,1,0.2202,28,28.0
29,24_05_08_cell7_ch0,1,0.1812,29,29.0
30,24_05_08_cell7_ch0,1,0.1957,30,30.0
31,24_05_08_cell7_ch0,1,0.1942,31,31.0
32,24_05_08_cell7_ch0,1,0.1599,32,32.0
33,24_05_08_cell7_ch0,1,0.2032,33,33.0
34,24_05_08_cell7_ch0,1,0.1803,34,34.0
35,24_05_08_cell7_ch0,1,0.1554,35,35.0
36,24_05_08_cell7_ch0,1,0.2021,36,36.0
37,24_05_08_cell7_ch0,1,0.1922,37,37.0
38,24_05_08_cell7_ch0,1,0.1607,38,38.0
39,24_05_08_cell7_ch0,1,0.2028,39,39.0
40,24_05_08_cell7_ch0,1,0.1908,40,40.0
41,24_05_08_cell7_ch0,1,0.1618,41,41.0
42,24_05_08_cell7_ch0,1,0.1893,42,42.0
43,24_05_08_cell7_ch0,1,0.1901,43,43.0
44,24_05_08_cell7_ch0,1,0.1846,44,44.0
45,24_05_08_cell7_ch0,1,0.1978,45,45.0
46,24_05_08_cell7_ch0,1,0.1948,46,46.0
47,24_05_08_cell7_ch0,1,0.1679,47,47.0
48,24_05_08_cell7_ch0,1,0.2122,48,48.0
49,24_05_08_cell7_ch0,1,0.1957,49,49.0
50,24_05_08_cell7_ch0,1,0.1849,50,50.0
51,24_05_08_cell7_ch0,1,0.2018,51,51.0
52,24_05_08_cell7_ch0,1,0.2058,52,52.0
53,24_05_08_cell7_ch0,1,0.1826,53,53.0
54,24_05_08_cell7_ch0,1,0.2211,54,54.0
55,24_05_08_cell7_ch0,1,0.2143,55,55.0
56,24_05_08_cell7_ch0,1,0.1947,56,56.0
57,24_05_08_cell7_ch0,1,0.2281,57,57.0
58,24_05_08_cell7_ch0,1,0.2139,58,58.0
59,24_05_08_cell7_ch0,1,0.2087,59,59.0
60,24_05_08_cell7_ch0,1,0.2284,60,60.0
61,24_05_08_cell7_ch0,1,0.2294,61,61.0
62,24_05_08_cell7_ch0,1,0.2162,62,62.0
63,24_05_08_cell7_ch0,1,0.2232,63,63.0
64,24_05_08_cell7_ch0,1,0.2329,64,64.0
65,24_05_08_cell7_ch0,1,0.226,65,65.0
66,24_05_08_cell7_ch0,1,0.2241,66,66.0
67,24_05_08_cell7_ch0,1,0.2363,67,67.0
68,24_05_08_cell7_ch0,1,0.2396,68,68.0
69,24_05_08_cell7_ch0,1,0.2144,69,69.0
70,24_05_08_cell7_ch0,1,0.2593,70,70.0
71,24_05_08_cell7_ch0,1,0.2401,71,71.0
72,24_05_08_cell7_ch0,1,0.226,72,72.0
73,24_05_08_cell7_ch0,1,0.2476,73,73.0
74,24_05_08_cell7_ch0,1,0.2382,74,74.0
75,24_05_08_cell7_ch0,1,0.2196,75,75.0
76,24_05_08_cell7_ch0,1,0.2539,76,76.0
77,24_05_08_cell7_ch0,1,0.2463,77,77.0
78,24_05_08_cell7_ch0,1,0.257,78,78.0
79,24_05_08_cell7_ch0,1,0.2567,79,79.0
80,24_05_08_cell7_ch0,1,0.2546,80,80.0
81,24_05_08_cell7_ch0,1,0.2363,81,81.0
82,24_05_08_cell7_ch0,1,0.2707,82,82.0
83,24_05_08_cell7_ch0,1,0.2541,83,83.0
84,24_05_08_cell7_ch0,1,0.2605,84,84.0
85,24_05_08_cell7_ch0,1,0.2667,85,85.0
86,24_05_08_cell7_ch0,1,0.2636,86,86.0
87,24_05_08_cell7_ch0,1,0.2697,87,87.0
88,24_05_08_cell7_ch0,1,0.2746,88,88.0
89,24_05_08_cell7_ch0,1,0.2741,90,89.0
90,24_05_08_cell7_ch0,2,0.0098,0,0.0
91,24_05_08_cell7_ch0,2,0.0072,1,1.0
92,24_05_08_cell7_ch0,2,0.0024,2,2.0
93,24_05_08_cell7_ch0,2,-0.0194,3,3.0
94,24_05_08_cell7_ch0,2,0.0023,4,4.0
95,24_05_08_cell7_ch0,2,-0.0001,5,5.0
96,24_05_08_cell7_ch0,2,0.0244,6,6.0
97,24_05_08_cell7_ch0,2,0.0719,7,7.0
98,24_05_08_cell7_ch0,2,0.1018,8,8.0
99,24_05_08_cell7_ch0,2,0.1101,9,9.0
100,24_05_08_cell7_ch0,2,0.1333,10,10.0
101,24_05_08_cell7_ch0,2,0.143,11,11.0
102,24_05_08_cell7_ch0,2,0.1481,12,12.0
103,24_05_08_cell7_ch0,2,0.1437,13,13.0
104,24_05_08_cell7_ch0,2,0.1428,14,14.0
105,24_05_08_cell7_ch0,2,0.1674,15,15.0
106,24_05_08_cell7_ch0,2,0.1683,16,16.0
107,24_05_08_cell7_ch0,2,0.1586,17,17.0
108,24_05_08_cell7_ch0,2,0.1755,18,18.0
109,24_05_08_cell7_ch0,2,0.1737,19,19.0
110,24_05_08_cell7_ch0,2,0.1752,20,20.0
111,24_05_08_cell7_ch0,2,0.1915,21,21.0
112,24_05_08_cell7_ch0,2,0.1849,22,22.0
113,24_05_08_cell7_ch0,2,0.1946,23,23.0
114,24_05_08_cell7_ch0,2,0.2327,24,24.0
115,24_05_08_cell7_ch0,2,0.2292,25,25.0
116,24_05_08_cell7_ch0,2,0.1954,26,26.0
117,24_05_08_cell7_ch0,2,0.2149,27,27.0
118,24_05_08_cell7_ch0,2,0.1791,28,28.0
119,24_05_08_cell7_ch0,2,0.1399,29,29.0
120,24_05_08_cell7_ch0,2,0.1898,30,30.0
121,24_05_08_cell7_ch0,2,0.1857,31,31.0
122,24_05_08_cell7_ch0,2,0.168,32,32.0
123,24_05_08_cell7_ch0,2,0.199,33,33.0
124,24_05_08_cell7_ch0,2,0.1685,34,34.0
125,24_05_08_cell7_ch0,2,0.132,35,35.0
126,24_05_08_cell7_ch0,2,0.1712,36,36.0
127,24_05_08_cell7_ch0,2,0.1575,37,37.0
128,24_05_08_cell7_ch0,2,0.1314,38,38.0
129,24_05_08_cell7_ch0,2,0.1585,39,39.0
130,24_05_08_cell7_ch0,2,0.1507,40,40.0
131,24_05_08_cell7_ch0,2,0.1213,41,41.0
132,24_05_08_cell7_ch0,2,0.1548,42,42.0
133,24_05_08_cell7_ch0,2,0.1472,43,43.0
134,24_05_08_cell7_ch0,2,0.146,44,44.0
135,24_05_08_cell7_ch0,2,0.1559,45,45.0
136,24_05_08_cell7_ch0,2,0.1425,46,46.0
137,24_05_08_cell7_ch0,2,0.1315,47,47.0
138,24_05_08_cell7_ch0,2,0.1713,48,48.0
139,24_05_08_cell7_ch0,2,0.1514,49,49.0
140,24_05_08_cell7_ch0,2,0.1401,50,50.0
141,24_05_08_cell7_ch0,2,0.1483,51,51.0
142,24_05_08_cell7_ch0,2,0.1449,52,52.0
143,24_05_08_cell7_ch0,2,0.1402,53,53.0
144,24_05_08_cell7_ch0,2,0.1846,54,54.0
145,24_05_08_cell7_ch0,2,0.1766,55,55.0
146,24_05_08_cell7_ch0,2,0.1546,56,56.0
147,24_05_08_cell7_ch0,2,0.1829,57,57.0
148,24_05_08_cell7_ch0,2,0.1724,58,58.0
149,24_05_08_cell7_ch0,2,0.1633,59,59.0
150,24_05_08_cell7_ch0,2,0.1778,60,60.0
151,24_05_08_cell7_ch0,2,0.1768,61,61.0
152,24_05_08_cell7_ch0,2,0.1638,62,62.0
153,24_05_08_cell7_ch0,2,0.1737,63,63.0
154,24_05_08_cell7_ch0,2,0.1822,64,64.0
155,24_05_08_cell7_ch0,2,0.1785,65,65.0
156,24_05_08_cell7_ch0,2,0.1969,66,66.0
157,24_05_08_cell7_ch0,2,0.1948,67,67.0
158,24_05_08_cell7_ch0,2,0.1965,68,68.0
159,24_05_08_cell7_ch0,2,0.1662,69,69.0
160,24_05_08_cell7_ch0,2,0.2006,70,70.0
161,24_05_08_cell7_ch0,2,0.1907,71,71.0
162,24_05_08_cell7_ch0,2,0.1798,72,72.0
163,24_05_08_cell7_ch0,2,0.1965,73,73.0
164,24_05_08_cell7_ch0,2,0.1814,74,74.0
165,24_05_08_cell7_ch0,2,0.165,75,75.0
166,24_05_08_cell7_ch0,2,0.1895,76,76.0
167,24_05_08_cell7_ch0,2,0.1818,77,77.0
168,24_05_08_cell7_ch0,2,0.1961,78,78.0
169,24_05_08_cell7_ch0,2,0.2133,79,79.0
170,24_05_08_cell7_ch0,2,0.2062,80,80.0
171,24_05_08_cell7_ch0,2,0.1908,81,81.0
172,24_05_08_cell7_ch0,2,0.2176,82,82.0
173,24_05_08_cell7_ch0,2,0.2041,83,83.0
174,24_05_08_cell7_ch0,2,0.2141,84,84.0
175,24_05_08_cell7_ch0,2,0.2212,85,85.0
176,24_05_08_cell7_ch0,2,0.2151,86,86.0
177,24_05_08_cell7_ch0,2,0.2223,87,87.0
178,24_05_08_cell7_ch0,2,0.2245,88,88.0
179,24_05_08_cell7_ch0,2,0.2193,90,89.0
180,24_05_08_cell7_ch0,3,0.01,0,0.0
181,24_05_08_cell7_ch0,3,0.0025,1,1.0
182,24_05_08_cell7_ch0,3,0.006,2,2.0
183,24_05_08_cell7_ch0,3,-0.0185,3,3.0
184,24_05_08_cell7_ch0,3,0.0041,4,4.0
185,24_05_08_cell7_ch0,3,0.0014,5,5.0
186,24_05_08_cell7_ch0,3,0.0472,6,6.0
187,24_05_08_cell7_ch0,3,0.0974,7,7.0
188,24_05_08_cell7_ch0,3,0.1508,8,8.0
189,24_05_08_cell7_ch0,3,0.151,9,9.0
190,24_05_08_cell7_ch0,3,0.19,10,10.0
191,24_05_08_cell7_ch0,3,0.1892,11,11.0
192,24_05_08_cell7_ch0,3,0.1914,12,12.0
193,24_05_08_cell7_ch0,3,0.1875,13,13.0
194,24_05_08_cell7_ch0,3,0.1774,14,14.0
195,24_05_08_cell7_ch0,3,0.1993,15,15.0
196,24_05_08_cell7_ch0,3,0.1954,16,16.0
197,24_05_08_cell7_ch0,3,0.1838,17,17.0
198,24_05_08_cell7_ch0,3,0.2039,18,18.0
199,24_05_08_cell7_ch0,3,0.1995,19,19.0
200,24_05_08_cell7_ch0,3,0.1914,20,20.0
201,24_05_08_cell7_ch0,3,0.2118,21,21.0
202,24_05_08_cell7_ch0,3,0.2174,22,22.0
203,24_05_08_cell7_ch0,3,0.1862,23,23.0
204,24_05_08_cell7_ch0,3,0.2213,24,24.0
205,24_05_08_cell7_ch0,3,0.2237,25,25.0
206,24_05_08_cell7_ch0,3,0.1888,26,26.0
207,24_05_08_cell7_ch0,3,0.2054,27,27.0
208,24_05_08_cell7_ch0,3,0.1733,28,28.0
209,24_05_08_cell7_ch0,3,0.1382,29,29.0
210,24_05_08_cell7_ch0,3,0.1702,30,30.0
211,24_05_08_cell7_ch0,3,0.1696,31,31.0
212,24_05_08_cell7_ch0,3,0.1658,32,32.0
213,24_05_08_cell7_ch0,3,0.2253,33,33.0
214,24_05_08_cell7_ch0,3,0.2066,34,34.0
215,24_05_08_cell7_ch0,3,0.1602,35,35.0
216,24_05_08_cell7_ch0,3,0.191,36,36.0
217,24_05_08_cell7_ch0,3,0.1762,37,37.0
218,24_05_08_cell7_ch0,3,0.1389,38,38.0
219,24_05_08_cell7_ch0,3,0.1662,39,39.0
220,24_05_08_cell7_ch0,3,0.1518,40,40.0
221,24_05_08_cell7_ch0,3,0.1252,41,41.0
222,24_05_08_cell7_ch0,3,0.158,42,42.0
223,24_05_08_cell7_ch0,3,0.1606,43,43.0
224,24_05_08_cell7_ch0,3,0.1533,44,44.0
225,24_05_08_cell7_ch0,3,0.162,45,45.0
226,24_05_08_cell7_ch0,3,0.1445,46,46.0
227,24_05_08_cell7_ch0,3,0.1364,47,47.0
228,24_05_08_cell7_ch0,3,0.176,48,48.0
229,24_05_08_cell7_ch0,3,0.157,49,49.0
230,24_05_08_cell7_ch0,3,0.147,50,50.0
231,24_05_08_cell7_ch0,3,0.1663,51,51.0
