,id,roi,int,index,time
0,24_05_9_cell01_ch0,1,-0.0094,0,0.0
1,24_05_9_cell01_ch0,1,-0.0028,1,1.0
2,24_05_9_cell01_ch0,1,0.0123,2,2.0
3,24_05_9_cell01_ch0,1,0.0007,3,3.0
4,24_05_9_cell01_ch0,1,0.0333,4,4.0
5,24_05_9_cell01_ch0,1,0.0414,5,5.0
6,24_05_9_cell01_ch0,1,0.0345,6,6.0
7,24_05_9_cell01_ch0,1,0.2135,7,7.0
8,24_05_9_cell01_ch0,1,0.4084,8,8.0
9,24_05_9_cell01_ch0,1,0.5482,9,9.0
10,24_05_9_cell01_ch0,1,0.6779,10,10.0
11,24_05_9_cell01_ch0,1,0.7487,11,11.0
12,24_05_9_cell01_ch0,1,0.8692,12,12.0
13,24_05_9_cell01_ch0,1,0.9262,13,13.0
14,24_05_9_cell01_ch0,1,0.9572,14,14.0
15,24_05_9_cell01_ch0,1,0.9912,15,15.0
16,24_05_9_cell01_ch0,1,0.9973,16,16.0
17,24_05_9_cell01_ch0,1,0.9913,17,17.0
18,24_05_9_cell01_ch0,1,1.0048,18,18.0
19,24_05_9_cell01_ch0,1,1.0574,19,19.0
20,24_05_9_cell01_ch0,1,1.0379,20,20.0
21,24_05_9_cell01_ch0,1,1.0626,21,21.0
22,24_05_9_cell01_ch0,1,1.0899,22,22.0
23,24_05_9_cell01_ch0,1,1.0769,23,23.0
24,24_05_9_cell01_ch0,1,1.054,24,24.0
25,24_05_9_cell01_ch0,1,1.0702,25,25.0
26,24_05_9_cell01_ch0,1,1.0024,26,26.0
27,24_05_9_cell01_ch0,1,0.9185,27,27.0
28,24_05_9_cell01_ch0,1,0.7783,28,28.0
29,24_05_9_cell01_ch0,1,0.673,29,29.0
30,24_05_9_cell01_ch0,1,0.6019,30,30.0
31,24_05_9_cell01_ch0,1,0.5133,31,31.0
32,24_05_9_cell01_ch0,1,0.4284,32,32.0
33,24_05_9_cell01_ch0,1,0.4175,33,33.0
34,24_05_9_cell01_ch0,1,0.3812,34,34.0
35,24_05_9_cell01_ch0,1,0.3576,35,35.0
36,24_05_9_cell01_ch0,1,0.3608,36,36.0
37,24_05_9_cell01_ch0,1,0.3466,37,37.0
38,24_05_9_cell01_ch0,1,0.3285,38,38.0
39,24_05_9_cell01_ch0,1,0.3212,39,39.0
40,24_05_9_cell01_ch0,1,0.3192,40,40.0
41,24_05_9_cell01_ch0,1,0.2446,41,41.0
42,24_05_9_cell01_ch0,1,0.2155,42,42.0
43,24_05_9_cell01_ch0,1,0.22,43,43.0
44,24_05_9_cell01_ch0,1,0.2151,44,44.0
45,24_05_9_cell01_ch0,1,0.1997,45,45.0
46,24_05_9_cell01_ch0,1,0.2025,46,46.0
47,24_05_9_cell01_ch0,1,0.2069,47,47.0
48,24_05_9_cell01_ch0,1,0.2003,48,48.0
49,24_05_9_cell01_ch0,1,0.2104,49,49.0
50,24_05_9_cell01_ch0,1,0.1959,50,50.0
51,24_05_9_cell01_ch0,1,0.2138,51,51.0
52,24_05_9_cell01_ch0,1,0.2245,52,52.0
53,24_05_9_cell01_ch0,1,0.2103,53,53.0
54,24_05_9_cell01_ch0,1,0.2018,54,54.0
55,24_05_9_cell01_ch0,1,0.1921,55,55.0
56,24_05_9_cell01_ch0,1,0.1942,56,56.0
57,24_05_9_cell01_ch0,1,0.1907,57,57.0
58,24_05_9_cell01_ch0,1,0.1899,58,58.0
59,24_05_9_cell01_ch0,1,0.1932,59,59.0
60,24_05_9_cell01_ch0,1,0.2046,60,60.0
61,24_05_9_cell01_ch0,1,0.1992,61,61.0
62,24_05_9_cell01_ch0,1,0.1944,62,62.0
63,24_05_9_cell01_ch0,1,0.2322,63,63.0
64,24_05_9_cell01_ch0,1,0.2402,64,64.0
65,24_05_9_cell01_ch0,1,0.2109,65,65.0
66,24_05_9_cell01_ch0,1,0.2068,66,66.0
67,24_05_9_cell01_ch0,1,0.3191,67,67.0
68,24_05_9_cell01_ch0,1,0.411,68,68.0
