,id,roi,int,index,time
0,24_05_9_cell01_ch0,1,459.7306,0,0.0
1,24_05_9_cell01_ch0,1,453.5078,1,1.0
2,24_05_9_cell01_ch0,1,455.8497,2,2.0
3,24_05_9_cell01_ch0,1,458.5751,3,3.0
4,24_05_9_cell01_ch0,1,465.2332,4,4.0
5,24_05_9_cell01_ch0,1,463.1554,5,5.0
6,24_05_9_cell01_ch0,1,469.6839,6,6.0
7,24_05_9_cell01_ch0,1,471.0207,7,7.0
8,24_05_9_cell01_ch0,1,484.0777,8,8.0
9,24_05_9_cell01_ch0,1,503.1606,9,9.0
10,24_05_9_cell01_ch0,1,510.0311,10,10.0
11,24_05_9_cell01_ch0,1,521.7565,11,11.0
12,24_05_9_cell01_ch0,1,542.1969,12,12.0
13,24_05_9_cell01_ch0,1,552.1917,13,13.0
14,24_05_9_cell01_ch0,1,561.6632,14,14.0
15,24_05_9_cell01_ch0,1,564.1347,15,15.0
16,24_05_9_cell01_ch0,1,578.6062,16,16.0
17,24_05_9_cell01_ch0,1,586.5803,17,17.0
18,24_05_9_cell01_ch0,1,610.1762,18,18.0
19,24_05_9_cell01_ch0,1,617.2176,19,19.0
20,24_05_9_cell01_ch0,1,614.6062,20,20.0
21,24_05_9_cell01_ch0,1,626.0052,21,21.0
22,24_05_9_cell01_ch0,1,639.4093,22,22.0
23,24_05_9_cell01_ch0,1,642.4145,23,23.0
24,24_05_9_cell01_ch0,1,644.8964,24,24.0
25,24_05_9_cell01_ch0,1,658.3782,25,25.0
26,24_05_9_cell01_ch0,1,634.1658,26,26.0
27,24_05_9_cell01_ch0,1,623.456,27,27.0
28,24_05_9_cell01_ch0,1,594.6166,28,28.0
29,24_05_9_cell01_ch0,1,582.2642,29,29.0
30,24_05_9_cell01_ch0,1,569.0207,30,30.0
31,24_05_9_cell01_ch0,1,556.7254,31,31.0
32,24_05_9_cell01_ch0,1,552.2591,32,32.0
33,24_05_9_cell01_ch0,1,554.1244,33,33.0
34,24_05_9_cell01_ch0,1,529.0777,34,34.0
35,24_05_9_cell01_ch0,1,530.9793,35,35.0
36,24_05_9_cell01_ch0,1,526.7358,36,36.0
37,24_05_9_cell01_ch0,1,533.3782,37,37.0
38,24_05_9_cell01_ch0,1,529.7668,38,38.0
39,24_05_9_cell01_ch0,1,529.342,39,39.0
40,24_05_9_cell01_ch0,1,523.5492,40,40.0
41,24_05_9_cell01_ch0,1,526.0259,41,41.0
42,24_05_9_cell01_ch0,1,509.6632,42,42.0
43,24_05_9_cell01_ch0,1,521.2539,43,43.0
44,24_05_9_cell01_ch0,1,518.886,44,44.0
45,24_05_9_cell01_ch0,1,514.0363,45,45.0
46,24_05_9_cell01_ch0,1,516.9171,46,46.0
47,24_05_9_cell01_ch0,1,518.4093,47,47.0
48,24_05_9_cell01_ch0,1,516.7772,48,48.0
