,id,roi,int,index,time
0,24_05_9_cell01_ch0,1,0.0074,0,0.0
1,24_05_9_cell01_ch0,1,-0.0063,1,1.0
2,24_05_9_cell01_ch0,1,-0.0011,2,2.0
3,24_05_9_cell01_ch0,1,0.0048,3,3.0
4,24_05_9_cell01_ch0,1,0.0194,4,4.0
5,24_05_9_cell01_ch0,1,0.0149,5,5.0
6,24_05_9_cell01_ch0,1,0.0292,6,6.0
7,24_05_9_cell01_ch0,1,0.0321,7,7.0
8,24_05_9_cell01_ch0,1,0.0607,8,8.0
9,24_05_9_cell01_ch0,1,0.1025,9,9.0
10,24_05_9_cell01_ch0,1,0.1176,10,10.0
11,24_05_9_cell01_ch0,1,0.1433,11,11.0
12,24_05_9_cell01_ch0,1,0.1881,12,12.0
13,24_05_9_cell01_ch0,1,0.21,13,13.0
14,24_05_9_cell01_ch0,1,0.2307,14,14.0
15,24_05_9_cell01_ch0,1,0.2362,15,15.0
16,24_05_9_cell01_ch0,1,0.2679,16,16.0
17,24_05_9_cell01_ch0,1,0.2853,17,17.0
18,24_05_9_cell01_ch0,1,0.337,18,18.0
19,24_05_9_cell01_ch0,1,0.3525,19,19.0
20,24_05_9_cell01_ch0,1,0.3467,20,20.0
21,24_05_9_cell01_ch0,1,0.3717,21,21.0
22,24_05_9_cell01_ch0,1,0.4011,22,22.0
23,24_05_9_cell01_ch0,1,0.4077,23,23.0
24,24_05_9_cell01_ch0,1,0.4131,24,24.0
25,24_05_9_cell01_ch0,1,0.4427,25,25.0
26,24_05_9_cell01_ch0,1,0.3896,26,26.0
27,24_05_9_cell01_ch0,1,0.3661,27,27.0
28,24_05_9_cell01_ch0,1,0.3029,28,28.0
29,24_05_9_cell01_ch0,1,0.2759,29,29.0
30,24_05_9_cell01_ch0,1,0.2469,30,30.0
31,24_05_9_cell01_ch0,1,0.2199,31,31.0
32,24_05_9_cell01_ch0,1,0.2101,32,32.0
33,24_05_9_cell01_ch0,1,0.2142,33,33.0
34,24_05_9_cell01_ch0,1,0.1593,34,34.0
35,24_05_9_cell01_ch0,1,0.1635,35,35.0
36,24_05_9_cell01_ch0,1,0.1542,36,36.0
37,24_05_9_cell01_ch0,1,0.1688,37,37.0
