,id,roi,int,index,time
0,24_05_9_cell02_ch0,1,-0.02,0,0.0
1,24_05_9_cell02_ch0,1,0.0113,1,1.0
2,24_05_9_cell02_ch0,1,0.0087,2,2.0
3,24_05_9_cell02_ch0,1,0.0047,3,3.0
4,24_05_9_cell02_ch0,1,0.0193,4,4.0
5,24_05_9_cell02_ch0,1,0.0249,5,5.0
6,24_05_9_cell02_ch0,1,0.3473,6,6.0
7,24_05_9_cell02_ch0,1,0.8504,7,7.0
8,24_05_9_cell02_ch0,1,1.0261,8,8.0
9,24_05_9_cell02_ch0,1,1.0925,9,9.0
10,24_05_9_cell02_ch0,1,1.1849,10,10.0
11,24_05_9_cell02_ch0,1,1.2454,11,11.0
12,24_05_9_cell02_ch0,1,1.2826,12,12.0
13,24_05_9_cell02_ch0,1,1.268,13,13.0
14,24_05_9_cell02_ch0,1,1.2974,14,14.0
15,24_05_9_cell02_ch0,1,1.3329,15,15.0
16,24_05_9_cell02_ch0,1,1.359,16,16.0
17,24_05_9_cell02_ch0,1,1.377,17,17.0
18,24_05_9_cell02_ch0,1,1.3911,18,18.0
19,24_05_9_cell02_ch0,1,1.4389,19,19.0
20,24_05_9_cell02_ch0,1,1.4534,20,20.0
21,24_05_9_cell02_ch0,1,1.4552,21,21.0
22,24_05_9_cell02_ch0,1,1.4957,22,22.0
23,24_05_9_cell02_ch0,1,1.5111,23,23.0
24,24_05_9_cell02_ch0,1,1.5101,24,24.0
25,24_05_9_cell02_ch0,1,1.5307,25,25.0
26,24_05_9_cell02_ch0,1,1.5078,26,26.0
27,24_05_9_cell02_ch0,1,1.2614,27,27.0
28,24_05_9_cell02_ch0,1,1.0164,28,28.0
29,24_05_9_cell02_ch0,1,0.7983,29,29.0
30,24_05_9_cell02_ch0,1,0.7144,30,30.0
31,24_05_9_cell02_ch0,1,0.6507,31,31.0
32,24_05_9_cell02_ch0,1,0.6176,32,32.0
33,24_05_9_cell02_ch0,1,0.5777,33,33.0
34,24_05_9_cell02_ch0,1,0.5775,34,34.0
35,24_05_9_cell02_ch0,1,0.5713,35,35.0
36,24_05_9_cell02_ch0,1,0.5887,36,36.0
37,24_05_9_cell02_ch0,1,0.58,37,37.0
38,24_05_9_cell02_ch0,1,0.5543,38,38.0
39,24_05_9_cell02_ch0,1,0.5763,39,39.0
40,24_05_9_cell02_ch0,1,0.5784,40,40.0
41,24_05_9_cell02_ch0,1,0.5681,41,41.0
42,24_05_9_cell02_ch0,1,0.5472,42,42.0
43,24_05_9_cell02_ch0,1,0.571,43,43.0
44,24_05_9_cell02_ch0,1,0.5441,44,44.0
45,24_05_9_cell02_ch0,1,0.5481,45,45.0
46,24_05_9_cell02_ch0,1,0.5613,46,46.0
47,24_05_9_cell02_ch0,1,0.6268,47,47.0
48,24_05_9_cell02_ch0,1,0.6097,48,48.0
49,24_05_9_cell02_ch0,1,0.5712,49,49.0
50,24_05_9_cell02_ch0,1,0.5406,50,50.0
51,24_05_9_cell02_ch0,1,0.5059,51,51.0
52,24_05_9_cell02_ch0,1,0.4916,52,52.0
53,24_05_9_cell02_ch0,1,0.4915,53,53.0
54,24_05_9_cell02_ch0,1,0.4665,54,54.0
55,24_05_9_cell02_ch0,1,0.497,55,55.0
56,24_05_9_cell02_ch0,1,0.538,56,56.0
57,24_05_9_cell02_ch0,1,0.5162,57,57.0
58,24_05_9_cell02_ch0,1,0.5101,58,58.0
59,24_05_9_cell02_ch0,1,0.523,59,59.0
60,24_05_9_cell02_ch0,1,0.4932,60,60.0
61,24_05_9_cell02_ch0,1,0.4841,61,61.0
62,24_05_9_cell02_ch0,1,0.4753,62,62.0
63,24_05_9_cell02_ch0,1,0.4656,63,63.0
64,24_05_9_cell02_ch0,1,0.4598,64,64.0
65,24_05_9_cell02_ch0,1,0.4659,65,65.0
66,24_05_9_cell02_ch0,1,0.5075,66,66.0
67,24_05_9_cell02_ch0,1,0.8974,67,67.0
