,id,roi,int,index,time
0,24_05_9_cell02_ch0,1,-0.0229,0,0.0
1,24_05_9_cell02_ch0,1,0.0259,1,1.0
2,24_05_9_cell02_ch0,1,-0.003,2,2.0
3,24_05_9_cell02_ch0,1,0.0078,3,3.0
4,24_05_9_cell02_ch0,1,0.0098,4,4.0
5,24_05_9_cell02_ch0,1,0.0272,5,5.0
6,24_05_9_cell02_ch0,1,0.3187,6,6.0
7,24_05_9_cell02_ch0,1,1.4433,7,7.0
8,24_05_9_cell02_ch0,1,1.9505,8,8.0
9,24_05_9_cell02_ch0,1,2.0834,9,9.0
10,24_05_9_cell02_ch0,1,2.324,10,10.0
11,24_05_9_cell02_ch0,1,2.3867,11,11.0
12,24_05_9_cell02_ch0,1,2.4574,12,12.0
13,24_05_9_cell02_ch0,1,2.4823,13,13.0
14,24_05_9_cell02_ch0,1,2.5586,14,14.0
15,24_05_9_cell02_ch0,1,2.5849,15,15.0
16,24_05_9_cell02_ch0,1,2.6032,16,16.0
17,24_05_9_cell02_ch0,1,2.6471,17,17.0
18,24_05_9_cell02_ch0,1,2.7385,18,18.0
19,24_05_9_cell02_ch0,1,2.7465,19,19.0
20,24_05_9_cell02_ch0,1,2.7501,20,20.0
21,24_05_9_cell02_ch0,1,2.7714,21,21.0
22,24_05_9_cell02_ch0,1,2.8463,22,22.0
23,24_05_9_cell02_ch0,1,2.9473,23,23.0
24,24_05_9_cell02_ch0,1,2.949,24,24.0
25,24_05_9_cell02_ch0,1,2.945,25,25.0
26,24_05_9_cell02_ch0,1,2.9391,26,26.0
27,24_05_9_cell02_ch0,1,2.1958,27,27.0
28,24_05_9_cell02_ch0,1,1.7037,28,28.0
29,24_05_9_cell02_ch0,1,1.382,29,29.0
30,24_05_9_cell02_ch0,1,1.227,30,30.0
31,24_05_9_cell02_ch0,1,1.0429,31,31.0
32,24_05_9_cell02_ch0,1,0.9669,32,32.0
33,24_05_9_cell02_ch0,1,0.9263,33,33.0
34,24_05_9_cell02_ch0,1,0.8964,34,34.0
35,24_05_9_cell02_ch0,1,0.8604,35,35.0
36,24_05_9_cell02_ch0,1,0.864,36,36.0
37,24_05_9_cell02_ch0,1,0.8513,37,37.0
38,24_05_9_cell02_ch0,1,0.816,38,38.0
39,24_05_9_cell02_ch0,1,0.8731,39,39.0
40,24_05_9_cell02_ch0,1,0.8526,40,40.0
41,24_05_9_cell02_ch0,1,0.8122,41,41.0
42,24_05_9_cell02_ch0,1,0.7962,42,42.0
43,24_05_9_cell02_ch0,1,0.7631,43,43.0
44,24_05_9_cell02_ch0,1,0.757,44,44.0
45,24_05_9_cell02_ch0,1,0.7657,45,45.0
46,24_05_9_cell02_ch0,1,0.7624,46,46.0
47,24_05_9_cell02_ch0,1,0.7917,47,47.0
48,24_05_9_cell02_ch0,1,0.8087,48,48.0
49,24_05_9_cell02_ch0,1,0.7892,49,49.0
50,24_05_9_cell02_ch0,1,0.7634,50,50.0
51,24_05_9_cell02_ch0,1,0.7134,51,51.0
52,24_05_9_cell02_ch0,1,0.7128,52,52.0
53,24_05_9_cell02_ch0,1,0.6933,53,53.0
54,24_05_9_cell02_ch0,1,0.699,54,54.0
55,24_05_9_cell02_ch0,1,0.7634,55,55.0
56,24_05_9_cell02_ch0,1,0.7851,56,56.0
57,24_05_9_cell02_ch0,1,0.7523,57,57.0
58,24_05_9_cell02_ch0,1,0.7642,58,58.0
59,24_05_9_cell02_ch0,1,0.7709,59,59.0
60,24_05_9_cell02_ch0,1,0.7607,60,60.0
61,24_05_9_cell02_ch0,1,0.7205,61,61.0
62,24_05_9_cell02_ch0,1,0.6897,62,62.0
63,24_05_9_cell02_ch0,1,0.7214,63,63.0
64,24_05_9_cell02_ch0,1,0.6971,64,64.0
65,24_05_9_cell02_ch0,1,0.757,65,65.0
66,24_05_9_cell02_ch0,1,0.7845,66,66.0
67,24_05_9_cell02_ch0,1,1.2491,67,67.0
68,24_05_9_cell02_ch0,1,1.7313,68,68.0
69,24_05_9_cell02_ch0,1,1.8618,69,69.0
70,24_05_9_cell02_ch0,1,2.1345,70,70.0
71,24_05_9_cell02_ch0,1,2.2632,71,71.0
72,24_05_9_cell02_ch0,1,2.3051,72,72.0
73,24_05_9_cell02_ch0,1,2.3677,73,73.0
74,24_05_9_cell02_ch0,1,2.4504,74,74.0
75,24_05_9_cell02_ch0,1,2.4538,75,75.0
76,24_05_9_cell02_ch0,1,2.5134,76,76.0
77,24_05_9_cell02_ch0,1,2.548,77,77.0
78,24_05_9_cell02_ch0,1,2.5814,78,78.0
79,24_05_9_cell02_ch0,1,2.6086,79,79.0
80,24_05_9_cell02_ch0,1,2.6659,80,80.0
81,24_05_9_cell02_ch0,1,2.6922,81,81.0
82,24_05_9_cell02_ch0,1,2.7864,82,82.0
83,24_05_9_cell02_ch0,1,2.829,83,83.0
84,24_05_9_cell02_ch0,1,2.8858,84,84.0
85,24_05_9_cell02_ch0,1,2.977,85,85.0
86,24_05_9_cell02_ch0,1,2.9728,86,86.0
87,24_05_9_cell02_ch0,1,2.7036,87,87.0
88,24_05_9_cell02_ch0,1,2.1569,88,88.0
89,24_05_9_cell02_ch0,1,1.7447,89,89.0
90,24_05_9_cell02_ch0,1,1.5176,90,90.0
91,24_05_9_cell02_ch0,1,1.3494,91,91.0
92,24_05_9_cell02_ch0,1,1.2929,92,92.0
93,24_05_9_cell02_ch0,1,1.238,93,93.0
94,24_05_9_cell02_ch0,1,1.1925,94,94.0
95,24_05_9_cell02_ch0,1,1.156,95,95.0
96,24_05_9_cell02_ch0,1,1.0937,96,96.0
97,24_05_9_cell02_ch0,1,1.0768,97,97.0
98,24_05_9_cell02_ch0,1,1.1013,98,98.0
99,24_05_9_cell02_ch0,1,1.0896,99,99.0
100,24_05_9_cell02_ch0,1,1.079,100,100.0
101,24_05_9_cell02_ch0,1,1.0428,101,101.0
102,24_05_9_cell02_ch0,1,1.0428,102,102.0
103,24_05_9_cell02_ch0,1,1.0493,103,103.0
104,24_05_9_cell02_ch0,1,1.0063,104,104.0
105,24_05_9_cell02_ch0,1,1.0253,105,105.0
106,24_05_9_cell02_ch0,1,1.032,106,106.0
107,24_05_9_cell02_ch0,1,1.0314,107,107.0
108,24_05_9_cell02_ch0,1,1.0265,108,108.0
109,24_05_9_cell02_ch0,1,1.0111,109,109.0
110,24_05_9_cell02_ch0,1,1.0296,110,110.0
111,24_05_9_cell02_ch0,1,1.0457,111,111.0
112,24_05_9_cell02_ch0,1,1.0209,112,112.0
113,24_05_9_cell02_ch0,1,1.0137,113,113.0
114,24_05_9_cell02_ch0,1,1.0533,114,114.0
115,24_05_9_cell02_ch0,1,1.0535,115,115.0
116,24_05_9_cell02_ch0,1,1.0985,116,116.0
117,24_05_9_cell02_ch0,1,1.097,117,117.0
118,24_05_9_cell02_ch0,1,1.0805,118,118.0
