,id,roi,int,index,time
0,24_05_9_cell02_ch0,1,-0.0068,0,0.0
1,24_05_9_cell02_ch0,1,0.0074,1,1.0
2,24_05_9_cell02_ch0,1,-0.0005,2,2.0
3,24_05_9_cell02_ch0,1,0.0016,3,3.0
4,24_05_9_cell02_ch0,1,0.037,4,4.0
5,24_05_9_cell02_ch0,1,0.0265,5,5.0
6,24_05_9_cell02_ch0,1,0.0346,6,6.0
7,24_05_9_cell02_ch0,1,0.0913,7,7.0
8,24_05_9_cell02_ch0,1,0.1313,8,8.0
9,24_05_9_cell02_ch0,1,0.2046,9,9.0
10,24_05_9_cell02_ch0,1,0.2368,10,10.0
11,24_05_9_cell02_ch0,1,0.2695,11,11.0
12,24_05_9_cell02_ch0,1,0.3103,12,12.0
13,24_05_9_cell02_ch0,1,0.3171,13,13.0
14,24_05_9_cell02_ch0,1,0.3322,14,14.0
15,24_05_9_cell02_ch0,1,0.3503,15,15.0
16,24_05_9_cell02_ch0,1,0.3917,16,16.0
17,24_05_9_cell02_ch0,1,0.4419,17,17.0
18,24_05_9_cell02_ch0,1,0.4645,18,18.0
19,24_05_9_cell02_ch0,1,0.4833,19,19.0
20,24_05_9_cell02_ch0,1,0.5069,20,20.0
21,24_05_9_cell02_ch0,1,0.5117,21,21.0
22,24_05_9_cell02_ch0,1,0.5302,22,22.0
23,24_05_9_cell02_ch0,1,0.5737,23,23.0
24,24_05_9_cell02_ch0,1,0.6108,24,24.0
25,24_05_9_cell02_ch0,1,0.6106,25,25.0
26,24_05_9_cell02_ch0,1,0.6108,26,26.0
27,24_05_9_cell02_ch0,1,0.5041,27,27.0
28,24_05_9_cell02_ch0,1,0.4789,28,28.0
29,24_05_9_cell02_ch0,1,0.4889,29,29.0
30,24_05_9_cell02_ch0,1,0.5099,30,30.0
31,24_05_9_cell02_ch0,1,0.4867,31,31.0
32,24_05_9_cell02_ch0,1,0.528,32,32.0
33,24_05_9_cell02_ch0,1,0.5345,33,33.0
34,24_05_9_cell02_ch0,1,0.5408,34,34.0
35,24_05_9_cell02_ch0,1,0.5275,35,35.0
36,24_05_9_cell02_ch0,1,0.5585,36,36.0
37,24_05_9_cell02_ch0,1,0.5619,37,37.0
38,24_05_9_cell02_ch0,1,0.589,38,38.0
39,24_05_9_cell02_ch0,1,0.5919,39,39.0
40,24_05_9_cell02_ch0,1,0.5952,40,40.0
41,24_05_9_cell02_ch0,1,0.5714,41,41.0
42,24_05_9_cell02_ch0,1,0.5441,42,42.0
43,24_05_9_cell02_ch0,1,0.5558,43,43.0
44,24_05_9_cell02_ch0,1,0.5284,44,44.0
45,24_05_9_cell02_ch0,1,0.5408,45,45.0
46,24_05_9_cell02_ch0,1,0.5183,46,46.0
47,24_05_9_cell02_ch0,1,0.5366,47,47.0
48,24_05_9_cell02_ch0,1,0.509,48,48.0
49,24_05_9_cell02_ch0,1,0.5098,49,49.0
50,24_05_9_cell02_ch0,1,0.4958,50,50.0
51,24_05_9_cell02_ch0,1,0.4691,51,51.0
52,24_05_9_cell02_ch0,1,0.4585,52,52.0
53,24_05_9_cell02_ch0,1,0.4477,53,53.0
54,24_05_9_cell02_ch0,1,0.4362,54,54.0
55,24_05_9_cell02_ch0,1,0.4429,55,55.0
56,24_05_9_cell02_ch0,1,0.4779,56,56.0
57,24_05_9_cell02_ch0,1,0.4651,57,57.0
58,24_05_9_cell02_ch0,1,0.4622,58,58.0
59,24_05_9_cell02_ch0,1,0.459,59,59.0
60,24_05_9_cell02_ch0,1,0.4438,60,60.0
61,24_05_9_cell02_ch0,1,0.4508,61,61.0
62,24_05_9_cell02_ch0,1,0.4072,62,62.0
63,24_05_9_cell02_ch0,1,0.4128,63,63.0
64,24_05_9_cell02_ch0,1,0.3981,64,64.0
65,24_05_9_cell02_ch0,1,0.4166,65,65.0
66,24_05_9_cell02_ch0,1,0.4127,66,66.0
67,24_05_9_cell02_ch0,1,0.4293,67,67.0
