,id,roi,int,index,time
0,24_05_30_cell3_ch1,1,70.5549,0,0.0
1,24_05_30_cell3_ch1,1,70.4402,1,1.0
2,24_05_30_cell3_ch1,1,70.4142,2,2.0
3,24_05_30_cell3_ch1,1,70.1548,3,3.0
4,24_05_30_cell3_ch1,1,70.6344,4,4.0
5,24_05_30_cell3_ch1,1,91.3915,5,5.0
6,24_05_30_cell3_ch1,1,112.7329,6,6.0
7,24_05_30_cell3_ch1,1,130.4006,7,7.0
8,24_05_30_cell3_ch1,1,145.3565,8,8.0
9,24_05_30_cell3_ch1,1,158.6193,9,9.0
10,24_05_30_cell3_ch1,1,170.1166,10,10.0
11,24_05_30_cell3_ch1,1,179.3897,11,11.0
12,24_05_30_cell3_ch1,1,187.2331,12,12.0
13,24_05_30_cell3_ch1,1,194.6414,13,13.0
14,24_05_30_cell3_ch1,1,202.3255,14,14.0
15,24_05_30_cell3_ch1,1,208.5094,15,15.0
16,24_05_30_cell3_ch1,1,213.6822,16,16.0
17,24_05_30_cell3_ch1,1,219.8281,17,17.0
18,24_05_30_cell3_ch1,1,225.3408,18,18.0
19,24_05_30_cell3_ch1,1,230.4057,19,19.0
20,24_05_30_cell3_ch1,1,235.2805,20,20.0
21,24_05_30_cell3_ch1,1,240.6476,21,21.0
22,24_05_30_cell3_ch1,1,224.2448,22,22.0
23,24_05_30_cell3_ch1,1,190.2037,23,23.0
24,24_05_30_cell3_ch1,1,164.7442,24,24.0
25,24_05_30_cell3_ch1,1,146.8523,25,25.0
26,24_05_30_cell3_ch1,1,133.1745,26,26.0
27,24_05_30_cell3_ch1,1,124.0018,27,27.0
28,24_05_30_cell3_ch1,1,116.7419,28,28.0
29,24_05_30_cell3_ch1,1,111.3322,29,29.0
30,24_05_30_cell3_ch1,1,106.933,30,30.0
31,24_05_30_cell3_ch1,1,104.2338,31,31.0
32,24_05_30_cell3_ch1,1,101.1423,32,32.0
33,24_05_30_cell3_ch1,1,99.3809,33,33.0
34,24_05_30_cell3_ch1,1,97.041,34,34.0
35,24_05_30_cell3_ch1,1,95.6541,35,35.0
36,24_05_30_cell3_ch1,1,94.1584,36,36.0
37,24_05_30_cell3_ch1,1,93.0258,37,37.0
38,24_05_30_cell3_ch1,1,91.883,38,38.0
39,24_05_30_cell3_ch1,1,90.707,39,39.0
40,24_05_30_cell3_ch1,1,89.1729,40,40.0
41,24_05_30_cell3_ch1,1,89.7644,41,41.0
42,24_05_30_cell3_ch1,1,88.8695,42,42.0
43,24_05_30_cell3_ch1,1,87.1699,43,43.0
44,24_05_30_cell3_ch1,1,86.6184,44,44.0
45,24_05_30_cell3_ch1,1,87.016,45,45.0
46,24_05_30_cell3_ch1,1,85.7488,46,46.0
47,24_05_30_cell3_ch1,1,86.0307,47,47.0
48,24_05_30_cell3_ch1,1,84.5423,48,48.0
49,24_05_30_cell3_ch1,1,83.8234,49,49.0
50,24_05_30_cell3_ch1,1,83.2356,50,50.0
51,24_05_30_cell3_ch1,1,82.8576,51,51.0
52,24_05_30_cell3_ch1,1,82.8945,52,52.0
53,24_05_30_cell3_ch1,1,83.1548,53,53.0
54,24_05_30_cell3_ch1,1,82.572,54,54.0
55,24_05_30_cell3_ch1,1,81.9487,55,55.0
56,24_05_30_cell3_ch1,1,81.2459,56,56.0
57,24_05_30_cell3_ch1,1,96.1379,57,57.0
58,24_05_30_cell3_ch1,1,124.639,58,58.0
59,24_05_30_cell3_ch1,1,149.0721,59,59.0
60,24_05_30_cell3_ch1,1,168.7528,60,60.0
61,24_05_30_cell3_ch1,1,186.4753,61,61.0
62,24_05_30_cell3_ch1,1,200.8886,62,62.0
63,24_05_30_cell3_ch1,1,214.6838,63,63.0
64,24_05_30_cell3_ch1,1,226.362,64,64.0
